Cost,Prob,Real_Goal,Results,Time
0.21966636180877686/0.34924572706222534/0.4310879707336426/,0.21966636180877686/0.34924572706222534/0.4310879707336426/,0.0,2/,0.0004780292510986328
0.24841439723968506/0.6074855327606201/0.14410008490085602/,0.24841439723968506/0.6074855327606201/0.14410008490085602/,0.0,1/,0.0005631446838378906
0.14314556121826172/0.5992841124534607/0.2575702369213104/,0.14314556121826172/0.5992841124534607/0.2575702369213104/,0.0,1/,0.0007581710815429688
0.08030810952186584/0.5196031928062439/0.40008872747421265/,0.08030810952186584/0.5196031928062439/0.40008872747421265/,0.0,1/,0.0014579296112060547
0.22352778911590576/0.6641566753387451/0.1123155876994133/,0.22352778911590576/0.6641566753387451/0.1123155876994133/,0.0,1/,0.0009598731994628906
0.3689868152141571/0.5430094599723816/0.08800368010997772/,0.3689868152141571/0.5430094599723816/0.08800368010997772/,1.0,1/,0.0005109310150146484
0.41341227293014526/0.35408464074134827/0.23250316083431244/,0.41341227293014526/0.35408464074134827/0.23250316083431244/,1.0,0/,0.0005660057067871094
0.5145586729049683/0.2670692503452301/0.21837210655212402/,0.5145586729049683/0.2670692503452301/0.21837210655212402/,1.0,0/,0.0006186962127685547
0.3668992817401886/0.6003872752189636/0.03271343559026718/,0.3668992817401886/0.6003872752189636/0.03271343559026718/,1.0,1/,0.0009908676147460938
0.6039986610412598/0.370466947555542/0.025534311309456825/,0.6039986610412598/0.370466947555542/0.025534311309456825/,1.0,0/,0.0007779598236083984
0.28865373134613037/0.6407119035720825/0.07063433527946472/,0.28865373134613037/0.6407119035720825/0.07063433527946472/,2.0,1/,0.00047206878662109375
0.423866331577301/0.233169287443161/0.3429643511772156/,0.423866331577301/0.233169287443161/0.3429643511772156/,2.0,0/,0.0006279945373535156
0.20577535033226013/0.17754174768924713/0.6166828870773315/,0.20577535033226013/0.17754174768924713/0.6166828870773315/,2.0,2/,0.0006480216979980469
0.07231815159320831/0.26444196701049805/0.6632398962974548/,0.07231815159320831/0.26444196701049805/0.6632398962974548/,2.0,2/,0.0006401538848876953
0.03611966222524643/0.7527232766151428/0.21115703880786896/,0.03611966222524643/0.7527232766151428/0.21115703880786896/,2.0,1/,0.0009109973907470703
0.25402721762657166/0.3689042329788208/0.3770686388015747/,0.25402721762657166/0.3689042329788208/0.3770686388015747/,0.0,2/,0.0009961128234863281
0.0859793871641159/0.356158047914505/0.5578625798225403/,0.0859793871641159/0.356158047914505/0.5578625798225403/,0.0,2/,0.0006101131439208984
0.0570904016494751/0.3166542947292328/0.6262552738189697/,0.0570904016494751/0.3166542947292328/0.6262552738189697/,0.0,2/,0.0009589195251464844
0.06002132222056389/0.8808766603469849/0.05910203605890274/,0.06002132222056389/0.8808766603469849/0.05910203605890274/,0.0,1/,0.0008211135864257812
0.28143954277038574/0.6084412932395935/0.11011913418769836/,0.28143954277038574/0.6084412932395935/0.11011913418769836/,0.0,1/,0.0010159015655517578
0.5849664807319641/0.3131103515625/0.10192311555147171/,0.5849664807319641/0.3131103515625/0.10192311555147171/,1.0,0/,0.0005092620849609375
0.6296191811561584/0.35685890913009644/0.013521887362003326/,0.6296191811561584/0.35685890913009644/0.013521887362003326/,1.0,0/,0.0006952285766601562
0.5493276119232178/0.4400900602340698/0.010582362301647663/,0.5493276119232178/0.4400900602340698/0.010582362301647663/,1.0,0/,0.0008788108825683594
0.6536902189254761/0.342777818441391/0.003531911876052618/,0.6536902189254761/0.342777818441391/0.003531911876052618/,1.0,0/,0.0007278919219970703
0.2920164465904236/0.677618145942688/0.030365435406565666/,0.2920164465904236/0.677618145942688/0.030365435406565666/,1.0,1/,0.0008060932159423828
0.19335590302944183/0.26073578000068665/0.5459082722663879/,0.19335590302944183/0.26073578000068665/0.5459082722663879/,2.0,2/,0.0005471706390380859
0.10397426038980484/0.3414868116378784/0.554538905620575/,0.10397426038980484/0.3414868116378784/0.554538905620575/,2.0,2/,0.0006589889526367188
0.0414876826107502/0.1939065158367157/0.7646058201789856/,0.0414876826107502/0.1939065158367157/0.7646058201789856/,2.0,2/,0.0006527900695800781
0.012074507772922516/0.09469857066869736/0.8932269811630249/,0.012074507772922516/0.09469857066869736/0.8932269811630249/,2.0,2/,0.0006959438323974609
0.001990607939660549/0.07669021934270859/0.9213191270828247/,0.001990607939660549/0.07669021934270859/0.9213191270828247/,2.0,2/,0.0007922649383544922
0.34101602435112/0.5274914503097534/0.13149262964725494/,0.34101602435112/0.5274914503097534/0.13149262964725494/,0.0,1/,0.0007069110870361328
0.5255110263824463/0.36626458168029785/0.10822445154190063/,0.5255110263824463/0.36626458168029785/0.10822445154190063/,0.0,0/,0.0006330013275146484
0.6258797645568848/0.29921162128448486/0.07490856945514679/,0.6258797645568848/0.29921162128448486/0.07490856945514679/,0.0,0/,0.0006570816040039062
0.776899516582489/0.20868843793869019/0.01441208180040121/,0.776899516582489/0.20868843793869019/0.01441208180040121/,0.0,0/,0.0006909370422363281
0.6664628386497498/0.3295322358608246/0.004004886839538813/,0.6664628386497498/0.3295322358608246/0.004004886839538813/,0.0,0/,0.0007560253143310547
0.4214707314968109/0.3900774121284485/0.18845179677009583/,0.4214707314968109/0.3900774121284485/0.18845179677009583/,1.0,0/,0.0005049705505371094
0.5269340872764587/0.4352852404117584/0.03778066858649254/,0.5269340872764587/0.4352852404117584/0.03778066858649254/,1.0,0/,0.0009980201721191406
0.5879634022712708/0.371315598487854/0.04072099179029465/,0.5879634022712708/0.371315598487854/0.04072099179029465/,1.0,0/,0.0011360645294189453
0.39923882484436035/0.47816112637519836/0.12260010838508606/,0.39923882484436035/0.47816112637519836/0.12260010838508606/,1.0,1/,0.0010890960693359375
0.5204612016677856/0.4294152557849884/0.050123509019613266/,0.5204612016677856/0.4294152557849884/0.050123509019613266/,1.0,0/,0.0007488727569580078
0.3206908106803894/0.4204232394695282/0.2588859498500824/,0.3206908106803894/0.4204232394695282/0.2588859498500824/,2.0,1/,0.0012087821960449219
0.0655900165438652/0.43805304169654846/0.4963569939136505/,0.0655900165438652/0.43805304169654846/0.4963569939136505/,2.0,2/,0.0006039142608642578
0.108192577958107/0.34056538343429565/0.5512419939041138/,0.108192577958107/0.34056538343429565/0.5512419939041138/,2.0,2/,0.0006551742553710938
0.043135110288858414/0.22839941084384918/0.7284654974937439/,0.043135110288858414/0.22839941084384918/0.7284654974937439/,2.0,2/,0.0006999969482421875
0.0059197815135121346/0.1457778364419937/0.84830242395401/,0.0059197815135121346/0.1457778364419937/0.84830242395401/,2.0,2/,0.0008130073547363281
0.5314903855323792/0.2704874873161316/0.19802220165729523/,0.5314903855323792/0.2704874873161316/0.19802220165729523/,0.0,0/,0.0006821155548095703
0.6289532780647278/0.3012627959251404/0.06978393346071243/,0.6289532780647278/0.3012627959251404/0.06978393346071243/,0.0,0/,0.000530242919921875
0.6423113346099854/0.3188400864601135/0.038848571479320526/,0.6423113346099854/0.3188400864601135/0.038848571479320526/,0.0,0/,0.0005528926849365234
0.38614770770072937/0.5964314341545105/0.017420848831534386/,0.38614770770072937/0.5964314341545105/0.017420848831534386/,0.0,1/,0.0005979537963867188
0.5067930221557617/0.47939664125442505/0.013810361735522747/,0.5067930221557617/0.47939664125442505/0.013810361735522747/,0.0,0/,0.0006561279296875
0.45690402388572693/0.21724703907966614/0.3258490264415741/,0.45690402388572693/0.21724703907966614/0.3258490264415741/,1.0,0/,0.0004830360412597656
0.6954463124275208/0.2212890237569809/0.08326460421085358/,0.6954463124275208/0.2212890237569809/0.08326460421085358/,1.0,0/,0.0005717277526855469
0.7201533317565918/0.22409135103225708/0.05575528368353844/,0.7201533317565918/0.22409135103225708/0.05575528368353844/,1.0,0/,0.0007958412170410156
0.3882700502872467/0.4438728392124176/0.1678571105003357/,0.3882700502872467/0.4438728392124176/0.1678571105003357/,1.0,1/,0.0007271766662597656
0.11066324263811111/0.7161142230033875/0.17322252690792084/,0.11066324263811111/0.7161142230033875/0.17322252690792084/,1.0,1/,0.0007810592651367188
0.34755754470825195/0.26977548003196716/0.3826669752597809/,0.34755754470825195/0.26977548003196716/0.3826669752597809/,2.0,2/,0.0003898143768310547
0.12819668650627136/0.29646578431129456/0.5753375291824341/,0.12819668650627136/0.29646578431129456/0.5753375291824341/,2.0,2/,0.00043392181396484375
0.01320786215364933/0.4536661207675934/0.5331260561943054/,0.01320786215364933/0.4536661207675934/0.5331260561943054/,2.0,2/,0.0009720325469970703
0.008250825107097626/0.36034074425697327/0.6314085125923157/,0.008250825107097626/0.36034074425697327/0.6314085125923157/,2.0,2/,0.0012199878692626953
0.006981095764786005/0.14290772378444672/0.850111186504364/,0.006981095764786005/0.14290772378444672/0.850111186504364/,2.0,2/,0.0014529228210449219
0.402132511138916/0.48611125349998474/0.11175627261400223/,0.402132511138916/0.48611125349998474/0.11175627261400223/,0.0,1/,0.0004639625549316406
0.42519474029541016/0.4668567478656769/0.10794854909181595/,0.42519474029541016/0.4668567478656769/0.10794854909181595/,0.0,1/,0.0005590915679931641
0.17693941295146942/0.4343439042568207/0.3887166678905487/,0.17693941295146942/0.4343439042568207/0.3887166678905487/,0.0,1/,0.0006248950958251953
0.3196465075016022/0.47590747475624084/0.20444601774215698/,0.3196465075016022/0.47590747475624084/0.20444601774215698/,0.0,1/,0.0007448196411132812
0.4506987929344177/0.5061482191085815/0.04315292835235596/,0.4506987929344177/0.5061482191085815/0.04315292835235596/,0.0,1/,0.0008001327514648438
0.5089951753616333/0.4180515706539154/0.0729532241821289/,0.5089951753616333/0.4180515706539154/0.0729532241821289/,1.0,0/,0.0011947154998779297
0.30121973156929016/0.4655265510082245/0.2332536280155182/,0.30121973156929016/0.4655265510082245/0.2332536280155182/,1.0,1/,0.0005831718444824219
0.2340201437473297/0.3527679443359375/0.4132119417190552/,0.2340201437473297/0.3527679443359375/0.4132119417190552/,1.0,2/,0.0006399154663085938
0.3546764850616455/0.3310416340827942/0.3142818510532379/,0.3546764850616455/0.3310416340827942/0.3142818510532379/,1.0,0/,0.0006549358367919922
0.23280517756938934/0.5593757629394531/0.20781904458999634/,0.23280517756938934/0.5593757629394531/0.20781904458999634/,1.0,1/,0.0007319450378417969
0.3119862973690033/0.5201466679573059/0.16786709427833557/,0.3119862973690033/0.5201466679573059/0.16786709427833557/,2.0,1/,0.0004999637603759766
0.051425471901893616/0.20009037852287292/0.748484194278717/,0.051425471901893616/0.20009037852287292/0.748484194278717/,2.0,2/,0.0005810260772705078
0.12037166208028793/0.20164577662944794/0.6779825091362/,0.12037166208028793/0.20164577662944794/0.6779825091362/,2.0,2/,0.0006918907165527344
0.17161677777767181/0.2826728820800781/0.5457103252410889/,0.17161677777767181/0.2826728820800781/0.5457103252410889/,2.0,2/,0.0006871223449707031
0.02113960310816765/0.3642294406890869/0.614630937576294/,0.02113960310816765/0.3642294406890869/0.614630937576294/,2.0,2/,0.000720977783203125
0.7128267288208008/0.2513434886932373/0.035829804837703705/,0.7128267288208008/0.2513434886932373/0.035829804837703705/,0.0,0/,0.0004749298095703125
0.8060775399208069/0.18749606609344482/0.006426373962312937/,0.8060775399208069/0.18749606609344482/0.006426373962312937/,0.0,0/,0.000614166259765625
0.8895131349563599/0.10459741950035095/0.005889510735869408/,0.8895131349563599/0.10459741950035095/0.005889510735869408/,0.0,0/,0.0006351470947265625
0.919171154499054/0.07679566740989685/0.004033200442790985/,0.919171154499054/0.07679566740989685/0.004033200442790985/,0.0,0/,0.0006382465362548828
0.9456689953804016/0.05167253315448761/0.002658409532159567/,0.9456689953804016/0.05167253315448761/0.002658409532159567/,0.0,0/,0.0007297992706298828
0.514668881893158/0.3955353796482086/0.08979570865631104/,0.514668881893158/0.3955353796482086/0.08979570865631104/,1.0,0/,0.00048089027404785156
0.31822165846824646/0.6519791483879089/0.029799193143844604/,0.31822165846824646/0.6519791483879089/0.029799193143844604/,1.0,1/,0.0009143352508544922
0.39569756388664246/0.5600757002830505/0.04422679543495178/,0.39569756388664246/0.5600757002830505/0.04422679543495178/,1.0,1/,0.0006210803985595703
0.44639870524406433/0.5244479775428772/0.02915332093834877/,0.44639870524406433/0.5244479775428772/0.02915332093834877/,1.0,1/,0.0006878376007080078
0.5259732007980347/0.41795337200164795/0.056073445826768875/,0.5259732007980347/0.41795337200164795/0.056073445826768875/,1.0,0/,0.0007503032684326172
0.45957809686660767/0.29025208950042725/0.25016990303993225/,0.45957809686660767/0.29025208950042725/0.25016990303993225/,2.0,0/,0.0008008480072021484
0.06219061464071274/0.2863996922969818/0.6514096856117249/,0.06219061464071274/0.2863996922969818/0.6514096856117249/,2.0,2/,0.0007932186126708984
