Cost,Prob,Real_Goal,Results,Time
0.5902166962623596/0.16077420115470886/0.24900908768177032/,0.5902166962623596/0.16077420115470886/0.24900908768177032/,0.0,0/,0.0005218982696533203
0.6285763382911682/0.19053144752979279/0.18089225888252258/,0.6285763382911682/0.19053144752979279/0.18089225888252258/,0.0,0/,0.0006620883941650391
0.29743334650993347/0.4494483470916748/0.2531183362007141/,0.29743334650993347/0.4494483470916748/0.2531183362007141/,0.0,1/,0.0009961128234863281
0.26106590032577515/0.2798052728176117/0.45912879705429077/,0.26106590032577515/0.2798052728176117/0.45912879705429077/,0.0,2/,0.0019750595092773438
0.3816736042499542/0.1686474233865738/0.4496789574623108/,0.3816736042499542/0.1686474233865738/0.4496789574623108/,0.0,2/,0.0011148452758789062
0.7567398548126221/0.12044697999954224/0.1228131428360939/,0.7567398548126221/0.12044697999954224/0.1228131428360939/,1.0,0/,0.0005438327789306641
0.6188188195228577/0.15192216634750366/0.22925904393196106/,0.6188188195228577/0.15192216634750366/0.22925904393196106/,1.0,0/,0.0007927417755126953
0.26063284277915955/0.35439079999923706/0.3849763870239258/,0.26063284277915955/0.35439079999923706/0.3849763870239258/,1.0,2/,0.0008969306945800781
0.22131164371967316/0.36625760793685913/0.4124307632446289/,0.22131164371967316/0.36625760793685913/0.4124307632446289/,1.0,2/,0.0012359619140625
0.3978709578514099/0.1940174549818039/0.4081116020679474/,0.3978709578514099/0.1940174549818039/0.4081116020679474/,1.0,2/,0.0010111331939697266
0.8591190576553345/0.08057917654514313/0.06030170992016792/,0.8591190576553345/0.08057917654514313/0.06030170992016792/,2.0,0/,0.0006449222564697266
0.8223915696144104/0.07755380868911743/0.10005462169647217/,0.8223915696144104/0.07755380868911743/0.10005462169647217/,2.0,0/,0.0008697509765625
0.8469030857086182/0.04845190420746803/0.10464503616094589/,0.8469030857086182/0.04845190420746803/0.10464503616094589/,2.0,0/,0.0011479854583740234
0.4138297438621521/0.320801317691803/0.26536890864372253/,0.4138297438621521/0.320801317691803/0.26536890864372253/,2.0,0/,0.0013833045959472656
0.2749214470386505/0.21262115240097046/0.5124574303627014/,0.2749214470386505/0.21262115240097046/0.5124574303627014/,2.0,2/,0.0018610954284667969
0.2762801945209503/0.32479187846183777/0.3989279270172119/,0.2762801945209503/0.32479187846183777/0.3989279270172119/,0.0,2/,0.0005679130554199219
0.36045295000076294/0.3368634879589081/0.30268365144729614/,0.36045295000076294/0.3368634879589081/0.30268365144729614/,0.0,0/,0.0008361339569091797
0.46657273173332214/0.21312209963798523/0.3203051686286926/,0.46657273173332214/0.21312209963798523/0.3203051686286926/,0.0,0/,0.001049041748046875
0.3397209644317627/0.24819263815879822/0.4120863974094391/,0.3397209644317627/0.24819263815879822/0.4120863974094391/,0.0,2/,0.0012209415435791016
0.6296807527542114/0.20458665490150452/0.16573262214660645/,0.6296807527542114/0.20458665490150452/0.16573262214660645/,0.0,0/,0.0015938282012939453
0.36898577213287354/0.16249588131904602/0.46851831674575806/,0.36898577213287354/0.16249588131904602/0.46851831674575806/,1.0,2/,0.0008318424224853516
0.40973424911499023/0.18482433259487152/0.4054414629936218/,0.40973424911499023/0.18482433259487152/0.4054414629936218/,1.0,0/,0.0007359981536865234
0.2811501920223236/0.19053812325000763/0.5283116698265076/,0.2811501920223236/0.19053812325000763/0.5283116698265076/,1.0,2/,0.0008058547973632812
0.15698567032814026/0.49714162945747375/0.3458726406097412/,0.15698567032814026/0.49714162945747375/0.3458726406097412/,1.0,1/,0.0009028911590576172
0.07902686297893524/0.2468126267194748/0.6741604804992676/,0.07902686297893524/0.2468126267194748/0.6741604804992676/,1.0,2/,0.0011577606201171875
0.313589483499527/0.3764325976371765/0.3099778890609741/,0.313589483499527/0.3764325976371765/0.3099778890609741/,2.0,1/,0.0005869865417480469
0.2549566328525543/0.2907009720802307/0.45434242486953735/,0.2549566328525543/0.2907009720802307/0.45434242486953735/,2.0,2/,0.0007710456848144531
0.2580087184906006/0.19300945103168488/0.5489818453788757/,0.2580087184906006/0.19300945103168488/0.5489818453788757/,2.0,2/,0.0017092227935791016
0.3342650532722473/0.28533250093460083/0.38040244579315186/,0.3342650532722473/0.28533250093460083/0.38040244579315186/,2.0,2/,0.0012829303741455078
0.07274274528026581/0.18884536623954773/0.7384119033813477/,0.07274274528026581/0.18884536623954773/0.7384119033813477/,2.0,2/,0.0012481212615966797
0.4749903678894043/0.04234154522418976/0.4826680123806/,0.4749903678894043/0.04234154522418976/0.4826680123806/,0.0,2/,0.0005791187286376953
0.6820972561836243/0.07611797749996185/0.24178476631641388/,0.6820972561836243/0.07611797749996185/0.24178476631641388/,0.0,0/,0.0007379055023193359
0.22106216847896576/0.4958159625530243/0.28312191367149353/,0.22106216847896576/0.4958159625530243/0.28312191367149353/,0.0,1/,0.0009090900421142578
0.20006568729877472/0.5305802226066589/0.2693541646003723/,0.20006568729877472/0.5305802226066589/0.2693541646003723/,0.0,1/,0.0011889934539794922
0.14878426492214203/0.2309081107378006/0.6203076839447021/,0.14878426492214203/0.2309081107378006/0.6203076839447021/,0.0,2/,0.0012121200561523438
0.5173512101173401/0.15777574479579926/0.3248730003833771/,0.5173512101173401/0.15777574479579926/0.3248730003833771/,1.0,0/,0.0006268024444580078
0.6663975715637207/0.03190356120467186/0.30169886350631714/,0.6663975715637207/0.03190356120467186/0.30169886350631714/,1.0,0/,0.0007951259613037109
0.6267754435539246/0.07051152735948563/0.3027130365371704/,0.6267754435539246/0.07051152735948563/0.3027130365371704/,1.0,0/,0.00102996826171875
0.27803096175193787/0.22915364801883698/0.4928153455257416/,0.27803096175193787/0.22915364801883698/0.4928153455257416/,1.0,2/,0.001962900161743164
0.098627969622612/0.08947926759719849/0.8118928074836731/,0.098627969622612/0.08947926759719849/0.8118928074836731/,1.0,2/,0.0014688968658447266
0.300130695104599/0.034792933613061905/0.6650763750076294/,0.300130695104599/0.034792933613061905/0.6650763750076294/,2.0,2/,0.0005502700805664062
0.3552853763103485/0.09388123452663422/0.5508334040641785/,0.3552853763103485/0.09388123452663422/0.5508334040641785/,2.0,2/,0.0006792545318603516
0.3216429054737091/0.37785604596138/0.30050113797187805/,0.3216429054737091/0.37785604596138/0.30050113797187805/,2.0,1/,0.0008232593536376953
0.26996907591819763/0.45356807112693787/0.2764628827571869/,0.26996907591819763/0.45356807112693787/0.2764628827571869/,2.0,1/,0.0010690689086914062
0.11815096437931061/0.07345571368932724/0.8083932399749756/,0.11815096437931061/0.07345571368932724/0.8083932399749756/,2.0,2/,0.0010309219360351562
0.3234383761882782/0.40320006012916565/0.2733615040779114/,0.3234383761882782/0.40320006012916565/0.2733615040779114/,0.0,1/,0.0005221366882324219
0.3809799551963806/0.33841225504875183/0.28060775995254517/,0.3809799551963806/0.33841225504875183/0.28060775995254517/,0.0,0/,0.0006861686706542969
0.40568897128105164/0.4680694043636322/0.12624160945415497/,0.40568897128105164/0.4680694043636322/0.12624160945415497/,0.0,1/,0.0007548332214355469
0.41504746675491333/0.47698312997817993/0.10796933621168137/,0.41504746675491333/0.47698312997817993/0.10796933621168137/,0.0,1/,0.0008997917175292969
0.6006277799606323/0.31434008479118347/0.08503210544586182/,0.6006277799606323/0.31434008479118347/0.08503210544586182/,0.0,0/,0.0010061264038085938
0.14010974764823914/0.17473843693733215/0.6851518154144287/,0.14010974764823914/0.17473843693733215/0.6851518154144287/,1.0,2/,0.0005781650543212891
0.18864963948726654/0.35353732109069824/0.45781299471855164/,0.18864963948726654/0.35353732109069824/0.45781299471855164/,1.0,2/,0.0008597373962402344
0.1336665153503418/0.44275370240211487/0.4235798120498657/,0.1336665153503418/0.44275370240211487/0.4235798120498657/,1.0,1/,0.0007729530334472656
0.1613525152206421/0.37978366017341614/0.4588638246059418/,0.1613525152206421/0.37978366017341614/0.4588638246059418/,1.0,2/,0.0007784366607666016
0.2602709233760834/0.5385634303092957/0.2011656016111374/,0.2602709233760834/0.5385634303092957/0.2011656016111374/,1.0,1/,0.000946044921875
0.2128286212682724/0.16962800920009613/0.6175433993339539/,0.2128286212682724/0.16962800920009613/0.6175433993339539/,2.0,2/,0.0005490779876708984
0.1231299340724945/0.19672255218029022/0.6801474690437317/,0.1231299340724945/0.19672255218029022/0.6801474690437317/,2.0,2/,0.0009312629699707031
0.14838166534900665/0.4153366982936859/0.43628165125846863/,0.14838166534900665/0.4153366982936859/0.43628165125846863/,2.0,2/,0.0009369850158691406
0.14874641597270966/0.34407171607017517/0.5071818828582764/,0.14874641597270966/0.34407171607017517/0.5071818828582764/,2.0,2/,0.0018818378448486328
0.2265896499156952/0.2325449287891388/0.5408653616905212/,0.2265896499156952/0.2325449287891388/0.5408653616905212/,2.0,2/,0.002064943313598633
0.35803505778312683/0.22211843729019165/0.4198465049266815/,0.35803505778312683/0.22211843729019165/0.4198465049266815/,0.0,2/,0.0005218982696533203
0.6397966742515564/0.15195542573928833/0.20824794471263885/,0.6397966742515564/0.15195542573928833/0.20824794471263885/,0.0,0/,0.0006761550903320312
0.38927897810935974/0.4119107723236084/0.19881027936935425/,0.38927897810935974/0.4119107723236084/0.19881027936935425/,0.0,1/,0.0008382797241210938
0.277179092168808/0.4875659942626953/0.2352549284696579/,0.277179092168808/0.4875659942626953/0.2352549284696579/,0.0,1/,0.0010039806365966797
0.3535645008087158/0.34523311257362366/0.30120235681533813/,0.3535645008087158/0.34523311257362366/0.30120235681533813/,0.0,0/,0.001573801040649414
0.2854752540588379/0.3998680114746094/0.3146567642688751/,0.2854752540588379/0.3998680114746094/0.3146567642688751/,1.0,1/,0.0009491443634033203
0.5456735491752625/0.1616065353155136/0.2927199602127075/,0.5456735491752625/0.1616065353155136/0.2927199602127075/,1.0,0/,0.0007061958312988281
0.5787649750709534/0.16636532545089722/0.25486963987350464/,0.5787649750709534/0.16636532545089722/0.25486963987350464/,1.0,0/,0.0014269351959228516
0.413314551115036/0.47562992572784424/0.11105551570653915/,0.413314551115036/0.47562992572784424/0.11105551570653915/,1.0,1/,0.0014567375183105469
