Cost,Prob,Real_Goal,Results,Time
0.6631385087966919/0.06476972252130508/0.27209174633026123/,0.6631385087966919/0.06476972252130508/0.27209174633026123/,0.0,0/,0.0005168914794921875
0.8180572986602783/0.03778426721692085/0.1441585272550583/,0.8180572986602783/0.03778426721692085/0.1441585272550583/,0.0,0/,0.0006279945373535156
0.7182234525680542/0.09666154533624649/0.1851149946451187/,0.7182234525680542/0.09666154533624649/0.1851149946451187/,0.0,0/,0.0007791519165039062
0.9080576300621033/0.05717924237251282/0.03476320952177048/,0.9080576300621033/0.05717924237251282/0.03476320952177048/,0.0,0/,0.0007679462432861328
0.5833421945571899/0.14923995733261108/0.267417848110199/,0.5833421945571899/0.14923995733261108/0.267417848110199/,0.0,0/,0.0008778572082519531
0.36687639355659485/0.09303391724824905/0.5400897264480591/,0.36687639355659485/0.09303391724824905/0.5400897264480591/,1.0,2/,0.0005548000335693359
0.372097373008728/0.08866839110851288/0.5392341613769531/,0.372097373008728/0.08866839110851288/0.5392341613769531/,1.0,2/,0.0007467269897460938
0.6418307423591614/0.06560075283050537/0.2925684452056885/,0.6418307423591614/0.06560075283050537/0.2925684452056885/,1.0,0/,0.0011172294616699219
0.01505452673882246/0.14200621843338013/0.8429392576217651/,0.01505452673882246/0.14200621843338013/0.8429392576217651/,1.0,2/,0.0011029243469238281
0.4616670608520508/0.3163561224937439/0.22197677195072174/,0.4616670608520508/0.3163561224937439/0.22197677195072174/,1.0,0/,0.001249074935913086
0.6183467507362366/0.10367479175329208/0.27797847986221313/,0.6183467507362366/0.10367479175329208/0.27797847986221313/,2.0,0/,0.0004849433898925781
0.05944087356328964/0.16927988827228546/0.7712792158126831/,0.05944087356328964/0.16927988827228546/0.7712792158126831/,2.0,2/,0.0006010532379150391
0.017872970551252365/0.15406440198421478/0.8280625939369202/,0.017872970551252365/0.15406440198421478/0.8280625939369202/,2.0,2/,0.0006890296936035156
0.0770464539527893/0.21622824668884277/0.7067252993583679/,0.0770464539527893/0.21622824668884277/0.7067252993583679/,2.0,2/,0.0007941722869873047
0.18539872765541077/0.23435266315937042/0.5802486538887024/,0.18539872765541077/0.23435266315937042/0.5802486538887024/,2.0,2/,0.0008931159973144531
0.20273303985595703/0.03206514194607735/0.7652018666267395/,0.20273303985595703/0.03206514194607735/0.7652018666267395/,0.0,2/,0.00054931640625
0.2562118470668793/0.19680702686309814/0.546981155872345/,0.2562118470668793/0.19680702686309814/0.546981155872345/,0.0,2/,0.0006449222564697266
0.24606403708457947/0.6498256921768188/0.10411019623279572/,0.24606403708457947/0.6498256921768188/0.10411019623279572/,0.0,1/,0.0007190704345703125
0.42197197675704956/0.47957220673561096/0.09845583140850067/,0.42197197675704956/0.47957220673561096/0.09845583140850067/,0.0,1/,0.0008020401000976562
0.5020410418510437/0.3070122301578522/0.1909467577934265/,0.5020410418510437/0.3070122301578522/0.1909467577934265/,0.0,0/,0.0009098052978515625
