Cost,Prob,Real_Goal,Results,Time
0.05422872677445412/0.133026584982872/0.8127447366714478/,0.05422872677445412/0.133026584982872/0.8127447366714478/,0.0,2/,0.000698089599609375
0.06864962726831436/0.14995941519737244/0.781390905380249/,0.06864962726831436/0.14995941519737244/0.781390905380249/,0.0,2/,0.0011641979217529297
0.2351721227169037/0.2796242833137512/0.4852036237716675/,0.2351721227169037/0.2796242833137512/0.4852036237716675/,0.0,2/,0.0016722679138183594
0.1995653212070465/0.2737235128879547/0.5267111659049988/,0.1995653212070465/0.2737235128879547/0.5267111659049988/,0.0,2/,0.003511667251586914
0.3370334804058075/0.5441955924034119/0.11877087503671646/,0.3370334804058075/0.5441955924034119/0.11877087503671646/,0.0,1/,0.003143310546875
0.12127231806516647/0.23002174496650696/0.6487058997154236/,0.12127231806516647/0.23002174496650696/0.6487058997154236/,1.0,2/,0.000701904296875
0.31836673617362976/0.29562199115753174/0.3860112428665161/,0.31836673617362976/0.29562199115753174/0.3860112428665161/,1.0,2/,0.0009338855743408203
0.35309645533561707/0.24169011414051056/0.4052134156227112/,0.35309645533561707/0.24169011414051056/0.4052134156227112/,1.0,2/,0.0007941722869873047
0.6398900151252747/0.28470832109451294/0.07540170848369598/,0.6398900151252747/0.28470832109451294/0.07540170848369598/,1.0,0/,0.0013480186462402344
0.38176941871643066/0.4243793785572052/0.19385118782520294/,0.38176941871643066/0.4243793785572052/0.19385118782520294/,1.0,1/,0.0012769699096679688
0.4690360128879547/0.2671346664428711/0.26382923126220703/,0.4690360128879547/0.2671346664428711/0.26382923126220703/,2.0,0/,0.0007541179656982422
0.05281414836645126/0.0596596896648407/0.8875261545181274/,0.05281414836645126/0.0596596896648407/0.8875261545181274/,2.0,2/,0.00102996826171875
0.030284922569990158/0.055433791130781174/0.9142813086509705/,0.030284922569990158/0.055433791130781174/0.9142813086509705/,2.0,2/,0.0007288455963134766
0.06957311183214188/0.12141579389572144/0.8090111017227173/,0.06957311183214188/0.12141579389572144/0.8090111017227173/,2.0,2/,0.0011029243469238281
0.06048731505870819/0.13914479315280914/0.8003678917884827/,0.06048731505870819/0.13914479315280914/0.8003678917884827/,2.0,2/,0.0011990070343017578
0.2100844383239746/0.2529316544532776/0.5369839072227478/,0.2100844383239746/0.2529316544532776/0.5369839072227478/,0.0,2/,0.0005929470062255859
0.4513845443725586/0.2788138687610626/0.2698015868663788/,0.4513845443725586/0.2788138687610626/0.2698015868663788/,0.0,0/,0.0007071495056152344
0.5754700303077698/0.353758305311203/0.07077163457870483/,0.5754700303077698/0.353758305311203/0.07077163457870483/,0.0,0/,0.0007190704345703125
0.6337615251541138/0.30722615122795105/0.059012338519096375/,0.6337615251541138/0.30722615122795105/0.059012338519096375/,0.0,0/,0.0008320808410644531
0.532804012298584/0.38182586431503296/0.08537011593580246/,0.532804012298584/0.38182586431503296/0.08537011593580246/,0.0,0/,0.0010509490966796875
