Cost,Prob,Real_Goal,Results,Time
0.1801520437002182/0.5609572529792786/0.25889068841934204/,0.1801520437002182/0.5609572529792786/0.25889068841934204/,0.0,1/,0.0005021095275878906
0.3981471359729767/0.46408066153526306/0.13777221739292145/,0.3981471359729767/0.46408066153526306/0.13777221739292145/,0.0,1/,0.0006721019744873047
0.5425851941108704/0.4281443655490875/0.029270419850945473/,0.5425851941108704/0.4281443655490875/0.029270419850945473/,0.0,0/,0.0008120536804199219
0.6863813996315002/0.3041454553604126/0.009473263286054134/,0.6863813996315002/0.3041454553604126/0.009473263286054134/,0.0,0/,0.0008940696716308594
0.7141457796096802/0.2805200517177582/0.00533418171107769/,0.7141457796096802/0.2805200517177582/0.00533418171107769/,0.0,0/,0.0009999275207519531
0.40826138854026794/0.47969764471054077/0.1120409220457077/,0.40826138854026794/0.47969764471054077/0.1120409220457077/,1.0,1/,0.0005030632019042969
0.13555525243282318/0.7256909012794495/0.13875384628772736/,0.13555525243282318/0.7256909012794495/0.13875384628772736/,1.0,1/,0.0006661415100097656
0.08406785130500793/0.4506797194480896/0.4652523994445801/,0.08406785130500793/0.4506797194480896/0.4652523994445801/,1.0,2/,0.0006401538848876953
0.4718593955039978/0.5031085014343262/0.025032153353095055/,0.4718593955039978/0.5031085014343262/0.025032153353095055/,1.0,1/,0.0007288455963134766
0.21513885259628296/0.7651803493499756/0.019680779427289963/,0.21513885259628296/0.7651803493499756/0.019680779427289963/,1.0,1/,0.0008111000061035156
0.3553783893585205/0.37736788392066956/0.26725372672080994/,0.3553783893585205/0.37736788392066956/0.26725372672080994/,2.0,1/,0.0007998943328857422
0.13541798293590546/0.5676715970039368/0.29691049456596375/,0.13541798293590546/0.5676715970039368/0.29691049456596375/,2.0,1/,0.0007627010345458984
0.17877402901649475/0.31198152899742126/0.509244441986084/,0.17877402901649475/0.31198152899742126/0.509244441986084/,2.0,2/,0.0007810592651367188
0.32335659861564636/0.4718686044216156/0.20477484166622162/,0.32335659861564636/0.4718686044216156/0.20477484166622162/,2.0,1/,0.0010001659393310547
0.16950248181819916/0.7365215420722961/0.09397585690021515/,0.16950248181819916/0.7365215420722961/0.09397585690021515/,2.0,1/,0.0016448497772216797
0.2047923356294632/0.6678173542022705/0.1273902803659439/,0.2047923356294632/0.6678173542022705/0.1273902803659439/,0.0,1/,0.0005550384521484375
0.24624034762382507/0.5850899815559387/0.168669655919075/,0.24624034762382507/0.5850899815559387/0.168669655919075/,0.0,1/,0.0006430149078369141
0.18351426720619202/0.6641812324523926/0.15230442583560944/,0.18351426720619202/0.6641812324523926/0.15230442583560944/,0.0,1/,0.0011570453643798828
0.17622481286525726/0.7975429892539978/0.026232166215777397/,0.17622481286525726/0.7975429892539978/0.026232166215777397/,0.0,1/,0.0007760524749755859
0.757692277431488/0.23073814809322357/0.011569585651159286/,0.757692277431488/0.23073814809322357/0.011569585651159286/,0.0,0/,0.0009610652923583984
0.08512239903211594/0.24966269731521606/0.6652149558067322/,0.08512239903211594/0.24966269731521606/0.6652149558067322/,1.0,2/,0.0005948543548583984
0.08092882484197617/0.23358483612537384/0.6854863166809082/,0.08092882484197617/0.23358483612537384/0.6854863166809082/,1.0,2/,0.0007941722869873047
0.029863005504012108/0.15385474264621735/0.8162822723388672/,0.029863005504012108/0.15385474264621735/0.8162822723388672/,1.0,2/,0.0009870529174804688
0.11504562944173813/0.6206944584846497/0.264259934425354/,0.11504562944173813/0.6206944584846497/0.264259934425354/,1.0,1/,0.001276254653930664
0.1622515618801117/0.8062644004821777/0.03148405998945236/,0.1622515618801117/0.8062644004821777/0.03148405998945236/,1.0,1/,0.0016138553619384766
0.1660163253545761/0.5891939401626587/0.244789719581604/,0.1660163253545761/0.5891939401626587/0.244789719581604/,2.0,1/,0.0005807876586914062
0.11903762072324753/0.4360923171043396/0.44487011432647705/,0.11903762072324753/0.4360923171043396/0.44487011432647705/,2.0,2/,0.0006978511810302734
