Cost,Prob,Real_Goal,Results,Time
0.33190375566482544/0.3352898359298706/0.33280643820762634/,0.33190375566482544/0.3352898359298706/0.33280643820762634/,0.0,1/,0.0005478858947753906
0.33125877380371094/0.33354708552360535/0.3351941704750061/,0.33125877380371094/0.33354708552360535/0.3351941704750061/,0.0,2/,0.0008032321929931641
0.3312572240829468/0.3335593044757843/0.3351835012435913/,0.3312572240829468/0.3335593044757843/0.3351835012435913/,0.0,2/,0.0009257793426513672
0.3312571942806244/0.3335588574409485/0.3351839780807495/,0.3312571942806244/0.3335588574409485/0.3351839780807495/,0.0,2/,0.0011510848999023438
0.33125653862953186/0.33355599641799927/0.33518746495246887/,0.33125653862953186/0.33355599641799927/0.33518746495246887/,0.0,2/,0.0014820098876953125
0.33236318826675415/0.337504506111145/0.33013224601745605/,0.33236318826675415/0.337504506111145/0.33013224601745605/,1.0,1/,0.0004730224609375
0.3312671482563019/0.3335478603839874/0.3351849615573883/,0.3312671482563019/0.3335478603839874/0.3351849615573883/,1.0,2/,0.000659942626953125
0.3312554955482483/0.33355340361595154/0.3351910412311554/,0.3312554955482483/0.33355340361595154/0.3351910412311554/,1.0,2/,0.0008099079132080078
0.331257700920105/0.3335612118244171/0.3351811170578003/,0.331257700920105/0.3335612118244171/0.3351811170578003/,1.0,2/,0.0011250972747802734
0.331256628036499/0.33355647325515747/0.3351868689060211/,0.331256628036499/0.33355647325515747/0.3351868689060211/,1.0,2/,0.0014450550079345703
0.3323633074760437/0.33750486373901367/0.3301318287849426/,0.3323633074760437/0.33750486373901367/0.3301318287849426/,2.0,1/,0.0004949569702148438
0.33128830790519714/0.3335648775100708/0.33514684438705444/,0.33128830790519714/0.3335648775100708/0.33514684438705444/,2.0,2/,0.0006470680236816406
0.3312554359436035/0.33355286717414856/0.3351917266845703/,0.3312554359436035/0.33355286717414856/0.3351917266845703/,2.0,2/,0.0007717609405517578
0.331256628036499/0.3335567116737366/0.3351867198944092/,0.331256628036499/0.3335567116737366/0.3351867198944092/,2.0,2/,0.0009300708770751953
0.331257164478302/0.3335588276386261/0.3351839780807495/,0.331257164478302/0.3335588276386261/0.3351839780807495/,2.0,2/,0.0011758804321289062
0.3257181942462921/0.33653903007507324/0.33774277567863464/,0.3257181942462921/0.33653903007507324/0.33774277567863464/,0.0,2/,0.0005257129669189453
0.3276183009147644/0.33381378650665283/0.33856791257858276/,0.3276183009147644/0.33381378650665283/0.33856791257858276/,0.0,2/,0.0010628700256347656
0.32764512300491333/0.33378028869628906/0.33857452869415283/,0.32764512300491333/0.33378028869628906/0.33857452869415283/,0.0,2/,0.0010211467742919922
0.32764601707458496/0.3337799906730652/0.3385739326477051/,0.32764601707458496/0.3337799906730652/0.3385739326477051/,0.0,2/,0.0013020038604736328
0.32764530181884766/0.3337786793708801/0.3385760486125946/,0.32764530181884766/0.3337786793708801/0.3385760486125946/,0.0,2/,0.0015289783477783203
0.3257193863391876/0.33653998374938965/0.33774060010910034/,0.3257193863391876/0.33653998374938965/0.33774060010910034/,1.0,2/,0.0005130767822265625
0.3276313245296478/0.3338014781475067/0.33856719732284546/,0.3276313245296478/0.3338014781475067/0.33856719732284546/,1.0,2/,0.0008678436279296875
0.32764390110969543/0.333777517080307/0.3385785222053528/,0.32764390110969543/0.333777517080307/0.3385785222053528/,1.0,2/,0.0011000633239746094
0.3276464343070984/0.3337792754173279/0.3385743200778961/,0.3276464343070984/0.3337792754173279/0.3385743200778961/,1.0,2/,0.0013260841369628906
0.3276454210281372/0.33377936482429504/0.33857524394989014/,0.3276454210281372/0.33377936482429504/0.33857524394989014/,1.0,2/,0.0016930103302001953
0.32394593954086304/0.33907291293144226/0.3369811773300171/,0.32394593954086304/0.33907291293144226/0.3369811773300171/,2.0,1/,0.0004999637603759766
0.3275666832923889/0.333889901638031/0.3385433852672577/,0.3275666832923889/0.333889901638031/0.3385433852672577/,2.0,2/,0.0006649494171142578
0.3276418447494507/0.3337825536727905/0.3385756015777588/,0.3276418447494507/0.3337825536727905/0.3385756015777588/,2.0,2/,0.0008487701416015625
0.32764604687690735/0.33377963304519653/0.3385743498802185/,0.32764604687690735/0.33377963304519653/0.3385743498802185/,2.0,2/,0.0010371208190917969
0.3276447653770447/0.3337780833244324/0.33857712149620056/,0.3276447653770447/0.3337780833244324/0.33857712149620056/,2.0,2/,0.001325845718383789
0.32457491755485535/0.332380086183548/0.34304505586624146/,0.32457491755485535/0.332380086183548/0.34304505586624146/,0.0,2/,0.0006017684936523438
0.32506105303764343/0.33206266164779663/0.34287628531455994/,0.32506105303764343/0.33206266164779663/0.34287628531455994/,0.0,2/,0.0010218620300292969
0.3250604271888733/0.3320605456829071/0.342879056930542/,0.3250604271888733/0.3320605456829071/0.342879056930542/,0.0,2/,0.0012619495391845703
0.32506081461906433/0.3320618271827698/0.3428773283958435/,0.32506081461906433/0.3320618271827698/0.3428773283958435/,0.0,2/,0.0015859603881835938
0.32506081461906433/0.3320615887641907/0.3428776264190674/,0.32506081461906433/0.3320615887641907/0.3428776264190674/,0.0,2/,0.002093791961669922
0.320875346660614/0.3344055414199829/0.3447190821170807/,0.320875346660614/0.3344055414199829/0.3447190821170807/,1.0,2/,0.0005428791046142578
0.3248405456542969/0.3322240710258484/0.34293538331985474/,0.3248405456542969/0.3322240710258484/0.34293538331985474/,1.0,2/,0.0007169246673583984
0.32505711913108826/0.3320743143558502/0.34286850690841675/,0.32505711913108826/0.3320743143558502/0.34286850690841675/,1.0,2/,0.0007779598236083984
0.32506063580513/0.3320622146129608/0.3428771197795868/,0.32506063580513/0.3320622146129608/0.3428771197795868/,1.0,2/,0.0009388923645019531
0.3250606954097748/0.33206117153167725/0.34287819266319275/,0.3250606954097748/0.33206117153167725/0.34287819266319275/,1.0,2/,0.0011587142944335938
0.32087528705596924/0.33440497517585754/0.34471970796585083/,0.32087528705596924/0.33440497517585754/0.34471970796585083/,2.0,2/,0.0005319118499755859
0.32496607303619385/0.3321448266506195/0.34288910031318665/,0.32496607303619385/0.3321448266506195/0.34288910031318665/,2.0,2/,0.0006809234619140625
0.3250598907470703/0.3320675790309906/0.34287258982658386/,0.3250598907470703/0.3320675790309906/0.34287258982658386/,2.0,2/,0.0008141994476318359
0.3250606954097748/0.3320622146129608/0.3428770899772644/,0.3250606954097748/0.3320622146129608/0.3428770899772644/,2.0,2/,0.0009682178497314453
0.32506078481674194/0.33206114172935486/0.3428780734539032/,0.32506078481674194/0.33206114172935486/0.3428780734539032/,2.0,2/,0.0012500286102294922
0.3286956548690796/0.32836949825286865/0.34293490648269653/,0.3286956548690796/0.32836949825286865/0.34293490648269653/,0.0,2/,0.000579833984375
0.32848867774009705/0.3286523222923279/0.3428589999675751/,0.32848867774009705/0.3286523222923279/0.3428589999675751/,0.0,2/,0.0008528232574462891
0.32848888635635376/0.32865220308303833/0.3428589403629303/,0.32848888635635376/0.32865220308303833/0.3428589403629303/,0.0,2/,0.0011792182922363281
0.3284887969493866/0.32865169644355774/0.3428594768047333/,0.3284887969493866/0.32865169644355774/0.3428594768047333/,0.0,2/,0.0015780925750732422
0.32848870754241943/0.3286516070365906/0.34285968542099/,0.32848870754241943/0.3286516070365906/0.34285968542099/,0.0,2/,0.003059864044189453
0.3292708992958069/0.3265220522880554/0.3442070484161377/,0.3292708992958069/0.3265220522880554/0.3442070484161377/,1.0,2/,0.0005400180816650391
0.32860463857650757/0.3285082280635834/0.34288713335990906/,0.32860463857650757/0.3285082280635834/0.34288713335990906/,1.0,2/,0.0007600784301757812
0.3284964859485626/0.3286430537700653/0.3428604006767273/,0.3284964859485626/0.3286430537700653/0.3428604006767273/,1.0,2/,0.0007259845733642578
0.32848861813545227/0.3286513388156891/0.34286007285118103/,0.32848861813545227/0.3286513388156891/0.34286007285118103/,1.0,2/,0.0009081363677978516
0.32848867774009705/0.32865169644355774/0.3428596258163452/,0.32848867774009705/0.32865169644355774/0.3428596258163452/,1.0,2/,0.0010769367218017578
0.329263836145401/0.32464590668678284/0.34609025716781616/,0.329263836145401/0.32464590668678284/0.34609025716781616/,2.0,2/,0.0004870891571044922
0.32869526743888855/0.3283684253692627/0.34293636679649353/,0.32869526743888855/0.3283684253692627/0.34293636679649353/,2.0,2/,0.0009169578552246094
0.3285050094127655/0.3286338150501251/0.342861145734787/,0.3285050094127655/0.3286338150501251/0.342861145734787/,2.0,2/,0.0008380413055419922
0.32848888635635376/0.3286506235599518/0.3428604304790497/,0.32848888635635376/0.3286506235599518/0.3428604304790497/,2.0,2/,0.0008728504180908203
0.32848885655403137/0.3286522626876831/0.3428589105606079/,0.32848885655403137/0.3286522626876831/0.3428589105606079/,2.0,2/,0.0010840892791748047
0.3330724239349365/0.32710009813308716/0.33982744812965393/,0.3330724239349365/0.32710009813308716/0.33982744812965393/,0.0,2/,0.0005457401275634766
0.33276331424713135/0.3270687460899353/0.3401679992675781/,0.33276331424713135/0.3270687460899353/0.3401679992675781/,0.0,2/,0.000926971435546875
0.3327626883983612/0.32706910371780396/0.34016814827919006/,0.3327626883983612/0.32706910371780396/0.34016814827919006/,0.0,2/,0.001233816146850586
0.3327617049217224/0.3270696997642517/0.34016862511634827/,0.3327617049217224/0.3270696997642517/0.34016862511634827/,0.0,2/,0.0017218589782714844
0.33276209235191345/0.3270694613456726/0.34016847610473633/,0.33276209235191345/0.3270694613456726/0.34016847610473633/,0.0,2/,0.002206087112426758
0.34252244234085083/0.32180750370025635/0.3356701135635376/,0.34252244234085083/0.32180750370025635/0.3356701135635376/,1.0,0/,0.0005009174346923828
0.3330705463886261/0.3271012604236603/0.339828222990036/,0.3330705463886261/0.3271012604236603/0.339828222990036/,1.0,2/,0.0005841255187988281
0.3327430188655853/0.32710254192352295/0.34015437960624695/,0.3327430188655853/0.32710254192352295/0.34015437960624695/,1.0,2/,0.0006411075592041016
0.3327587842941284/0.3270723223686218/0.34016886353492737/,0.3327587842941284/0.3270723223686218/0.34016886353492737/,1.0,2/,0.0008041858673095703
0.3327619433403015/0.32706955075263977/0.3401685059070587/,0.3327619433403015/0.32706955075263977/0.3401685059070587/,1.0,2/,0.0009751319885253906
0.33736979961395264/0.3248705267906189/0.33775976300239563/,0.33736979961395264/0.3248705267906189/0.33775976300239563/,2.0,2/,0.00043320655822753906
0.3328475058078766/0.32715025544166565/0.34000226855278015/,0.3328475058078766/0.32715025544166565/0.34000226855278015/,2.0,2/,0.0006079673767089844
0.33274635672569275/0.32708969712257385/0.3401640057563782/,0.33274635672569275/0.32708969712257385/0.3401640057563782/,2.0,2/,0.0006778240203857422
0.33275967836380005/0.3270712196826935/0.34016913175582886/,0.33275967836380005/0.3270712196826935/0.34016913175582886/,2.0,2/,0.0008633136749267578
0.3327617049217224/0.3270696699619293/0.34016862511634827/,0.3327617049217224/0.3270696699619293/0.34016862511634827/,2.0,2/,0.0009379386901855469
0.3295217454433441/0.32710129022598267/0.34337693452835083/,0.3295217454433441/0.32710129022598267/0.34337693452835083/,0.0,2/,0.0004489421844482422
0.3287273943424225/0.3287706673145294/0.3425019383430481/,0.3287273943424225/0.3287706673145294/0.3425019383430481/,0.0,2/,0.0006530284881591797
0.328706294298172/0.32880154252052307/0.34249216318130493/,0.328706294298172/0.32880154252052307/0.34249216318130493/,0.0,2/,0.0007710456848144531
0.32870638370513916/0.32880184054374695/0.3424918055534363/,0.32870638370513916/0.32880184054374695/0.3424918055534363/,0.0,2/,0.0009469985961914062
0.32870641350746155/0.32880181074142456/0.3424917459487915/,0.32870641350746155/0.32880181074142456/0.3424917459487915/,0.0,2/,0.00209808349609375
0.32952171564102173/0.3271011710166931/0.34337714314460754/,0.32952171564102173/0.3271011710166931/0.34337714314460754/,1.0,2/,0.0005137920379638672
0.3287935256958008/0.3286793828010559/0.3425270915031433/,0.3287935256958008/0.3286793828010559/0.3425270915031433/,1.0,2/,0.000576019287109375
0.3287101984024048/0.3287942707538605/0.34249556064605713/,0.3287101984024048/0.3287942707538605/0.34249556064605713/,1.0,2/,0.0006771087646484375
