Cost,Prob,Real_Goal,Results,Time
0.3369430601596832/0.3320145606994629/0.3310423791408539/,0.3369430601596832/0.3320145606994629/0.3310423791408539/,0.0,0/,0.00032210350036621094
0.33248966932296753/0.33061012625694275/0.3369002342224121/,0.33248966932296753/0.33061012625694275/0.3369002342224121/,0.0,2/,0.0005271434783935547
0.3325447738170624/0.3303976058959961/0.33705756068229675/,0.3325447738170624/0.3303976058959961/0.33705756068229675/,0.0,2/,0.0006122589111328125
0.33255451917648315/0.33037859201431274/0.3370669484138489/,0.33255451917648315/0.33037859201431274/0.3370669484138489/,0.0,2/,0.0007460117340087891
0.33255475759506226/0.3303777873516083/0.3370674252510071/,0.33255475759506226/0.3303777873516083/0.3370674252510071/,0.0,2/,0.001010894775390625
0.3434866666793823/0.33297041058540344/0.32354289293289185/,0.3434866666793823/0.33297041058540344/0.32354289293289185/,1.0,0/,0.0003399848937988281
0.33405327796936035/0.3314240276813507/0.33452269434928894/,0.33405327796936035/0.3314240276813507/0.33452269434928894/,1.0,2/,0.0013151168823242188
0.3329353332519531/0.331032395362854/0.33603236079216003/,0.3329353332519531/0.331032395362854/0.33603236079216003/,1.0,2/,0.0005397796630859375
0.33248984813690186/0.3306102454662323/0.33689990639686584/,0.33248984813690186/0.3306102454662323/0.33689990639686584/,1.0,2/,0.0006761550903320312
0.33251726627349854/0.33045056462287903/0.33703210949897766/,0.33251726627349854/0.33045056462287903/0.33703210949897766/,1.0,2/,0.0007221698760986328
0.33694303035736084/0.3320145606994629/0.3310423493385315/,0.33694303035736084/0.3320145606994629/0.3310423493385315/,2.0,0/,0.0004100799560546875
0.3324902355670929/0.33061033487319946/0.33689939975738525/,0.3324902355670929/0.33061033487319946/0.33689939975738525/,2.0,2/,0.0006468296051025391
0.3325352072715759/0.33041679859161377/0.3370479941368103/,0.3325352072715759/0.33041679859161377/0.3370479941368103/,2.0,2/,0.0006167888641357422
0.33255454897880554/0.3303830027580261/0.33706244826316833/,0.33255454897880554/0.3303830027580261/0.33706244826316833/,2.0,2/,0.0007069110870361328
0.3325551152229309/0.3303779661655426/0.3370669484138489/,0.3325551152229309/0.3303779661655426/0.3370669484138489/,2.0,2/,0.0009379386901855469
0.34248653054237366/0.30714479088783264/0.3503686785697937/,0.34248653054237366/0.30714479088783264/0.3503686785697937/,0.0,2/,0.000308990478515625
0.3337525427341461/0.3211514949798584/0.3450959622859955/,0.3337525427341461/0.3211514949798584/0.3450959622859955/,0.0,2/,0.0004878044128417969
0.3323298692703247/0.32371366024017334/0.34395647048950195/,0.3323298692703247/0.32371366024017334/0.34395647048950195/,0.0,2/,0.00045800209045410156
0.3316657543182373/0.32543516159057617/0.34289902448654175/,0.3316657543182373/0.32543516159057617/0.34289902448654175/,0.0,2/,0.0006048679351806641
0.33177217841148376/0.32570120692253113/0.3425266146659851/,0.33177217841148376/0.32570120692253113/0.3425266146659851/,0.0,2/,0.0006051063537597656
0.3424864113330841/0.30714479088783264/0.350368857383728/,0.3424864113330841/0.30714479088783264/0.350368857383728/,1.0,2/,0.00035309791564941406
0.33683642745018005/0.3161151707172394/0.34704846143722534/,0.33683642745018005/0.3161151707172394/0.34704846143722534/,1.0,2/,0.0003838539123535156
0.3337520956993103/0.3211513161659241/0.3450965881347656/,0.3337520956993103/0.3211513161659241/0.3450965881347656/,1.0,2/,0.0004208087921142578
0.33232954144477844/0.3237135112285614/0.34395691752433777/,0.33232954144477844/0.3237135112285614/0.34395691752433777/,1.0,2/,0.0004496574401855469
0.331792950630188/0.32491591572761536/0.34329116344451904/,0.331792950630188/0.32491591572761536/0.34329116344451904/,1.0,2/,0.00043702125549316406
0.3368365168571472/0.316115140914917/0.3470483422279358/,0.3368365168571472/0.316115140914917/0.3470483422279358/,2.0,2/,0.0003609657287597656
0.33232933282852173/0.32371339201927185/0.34395724534988403/,0.33232933282852173/0.32371339201927185/0.34395724534988403/,2.0,2/,0.0004627704620361328
0.3316655457019806/0.3254351317882538/0.342899352312088/,0.3316655457019806/0.3254351317882538/0.342899352312088/,2.0,2/,0.0004627704620361328
0.33184489607810974/0.3257136344909668/0.34244146943092346/,0.33184489607810974/0.3257136344909668/0.34244146943092346/,2.0,2/,0.0005538463592529297
0.33196526765823364/0.32569411396980286/0.3423406183719635/,0.33196526765823364/0.32569411396980286/0.3423406183719635/,2.0,2/,0.0007569789886474609
0.3232840597629547/0.32148072123527527/0.3552352488040924/,0.3232840597629547/0.32148072123527527/0.3552352488040924/,0.0,2/,0.0009329319000244141
0.32649973034858704/0.3271671533584595/0.3463331162929535/,0.32649973034858704/0.3271671533584595/0.3463331162929535/,0.0,2/,0.0008182525634765625
0.32734861969947815/0.328069269657135/0.344582200050354/,0.32734861969947815/0.328069269657135/0.344582200050354/,0.0,2/,0.0005929470062255859
0.3279089629650116/0.32838451862335205/0.34370654821395874/,0.3279089629650116/0.32838451862335205/0.34370654821395874/,0.0,2/,0.0007550716400146484
0.3284641206264496/0.32840025424957275/0.3431355655193329/,0.3284641206264496/0.32840025424957275/0.3431355655193329/,0.0,2/,0.0008080005645751953
0.3232839107513428/0.32148072123527527/0.3552354574203491/,0.3232839107513428/0.32148072123527527/0.3552354574203491/,1.0,2/,0.0006461143493652344
0.3252505660057068/0.3251561224460602/0.34959331154823303/,0.3252505660057068/0.3251561224460602/0.34959331154823303/,1.0,2/,0.0007238388061523438
0.3264980912208557/0.32716667652130127/0.34633517265319824/,0.3264980912208557/0.32716667652130127/0.34633517265319824/,1.0,2/,0.0005810260772705078
0.32790666818618774/0.3283838629722595/0.34370946884155273/,0.32790666818618774/0.3283838629722595/0.34370946884155273/,1.0,2/,0.0009679794311523438
0.32825613021850586/0.32843825221061707/0.34330564737319946/,0.32825613021850586/0.32843825221061707/0.34330564737319946/,1.0,2/,0.0011429786682128906
0.32328373193740845/0.3214806318283081/0.3552356958389282/,0.32328373193740845/0.3214806318283081/0.3552356958389282/,2.0,2/,0.0007159709930419922
0.3252502977848053/0.325156033039093/0.3495936691761017/,0.3252502977848053/0.325156033039093/0.3495936691761017/,2.0,2/,0.0005490779876708984
0.32649797201156616/0.3271666467189789/0.34633535146713257/,0.32649797201156616/0.3271666467189789/0.34633535146713257/,2.0,2/,0.0005979537963867188
0.32790616154670715/0.32838374376296997/0.3437100946903229/,0.32790616154670715/0.32838374376296997/0.3437100946903229/,2.0,2/,0.0007228851318359375
0.3282552659511566/0.32843801379203796/0.34330669045448303/,0.3282552659511566/0.32843801379203796/0.34330669045448303/,2.0,2/,0.0006778240203857422
0.32034987211227417/0.33723074197769165/0.3424193859100342/,0.32034987211227417/0.33723074197769165/0.3424193859100342/,0.0,2/,0.0002968311309814453
0.32364770770072937/0.3343917429447174/0.341960608959198/,0.32364770770072937/0.3343917429447174/0.341960608959198/,0.0,2/,0.0004112720489501953
0.3255677819252014/0.3328882157802582/0.341543972492218/,0.3255677819252014/0.3328882157802582/0.341543972492218/,0.0,2/,0.00041985511779785156
0.32750147581100464/0.33158373832702637/0.340914785861969/,0.32750147581100464/0.33158373832702637/0.340914785861969/,0.0,2/,0.0004799365997314453
0.32797011733055115/0.3313073217868805/0.34072253108024597/,0.32797011733055115/0.3313073217868805/0.34072253108024597/,0.0,2/,0.0005512237548828125
0.32034972310066223/0.3372306823730469/0.3424196243286133/,0.32034972310066223/0.3372306823730469/0.3424196243286133/,1.0,2/,0.0003750324249267578
0.32364732027053833/0.3343915343284607/0.341961145401001/,0.32364732027053833/0.3343915343284607/0.341961145401001/,1.0,2/,0.00039005279541015625
0.32556700706481934/0.33288779854774475/0.3415451943874359/,0.32556700706481934/0.33288779854774475/0.3415451943874359/,1.0,2/,0.00044083595275878906
0.3274996280670166/0.33158281445503235/0.34091755747795105/,0.3274996280670166/0.33158281445503235/0.34091755747795105/,1.0,2/,0.0004899501800537109
0.32796820998191833/0.3313063681125641/0.34072545170783997/,0.32796820998191833/0.3313063681125641/0.34072545170783997/,1.0,2/,0.0006401538848876953
0.32364732027053833/0.3343915045261383/0.341961145401001/,0.32364732027053833/0.3343915045261383/0.341961145401001/,2.0,2/,0.0004451274871826172
0.3279680609703064/0.33130621910095215/0.34072569012641907/,0.3279680609703064/0.33130621910095215/0.34072569012641907/,2.0,2/,0.0006148815155029297
