Subject,Loc,Iteration,f11,f7,f17,f15,f22,f27,f30,f14,f25,f9,f3,f8,f24,f6,f26
10,1,10,4.25E-05,2.13E-05,30,24,62,32.68760169,2.830286037,4.83E-05,83,8.38E-06,-0.010249706,54,57,0.958288146,32.10435101
10,1,25,1.24E-05,3.88E-05,24,29,51,13.0080102,0.284992613,2.91E-05,85,6.62E-06,-0.0014002,72,53,0.065551289,17.33456596
10,1,25,1.14E-05,3.96E-05,26,30,46,21.61135829,0.157547235,3.09E-05,75,6.39E-06,-0.000401056,63,61,0.085306122,48.84381083
10,1,25,2.26E-05,3.42E-05,29,32,42,25.15061402,0.45942464,2.94E-05,82,6.82E-06,0.001458544,61,46,0.109861946,96.3036929
10,1,25,2.93E-05,2.96E-05,30,33,42,22.18149432,0.80110535,3.30E-05,83,9.17E-06,0.0033125,60,46,0.188363733,130.5189713
10,1,25,3.09E-05,1.82E-05,30,33,47,26.91287003,-1.01628842,2.97E-05,73,9.52E-06,0.003926383,65,50,0.175190407,127.0250249
10,1,25,3.47E-05,1.25E-05,28,34,51,32.28808983,0.78601719,2.52E-05,75,9.36E-06,0.002707961,67,58,0.169845466,90.85737487
10,1,25,3.85E-05,1.06E-05,38,37,56,26.97753341,1.735515703,2.85E-05,76,8.14E-06,0.000918906,63,60,0.30483842,50.96560915
10,1,25,4.57E-05,1.29E-05,37,35,56,23.78469914,0.924123631,3.73E-05,76,8.76E-06,-0.000343322,55,50,0.410761081,32.43221478
10,1,25,4.58E-05,1.45E-05,31,29,54,21.08908217,0.955952575,4.03E-05,79,1.06E-05,-0.001720367,53,46,0.504684583,23.8727449
10,0,76,1.78E-05,3.29E-05,27,25,52,6.804905346,0.933001838,3.35E-05,85,4.87E-06,-0.005884017,77,50,0.044643453,36.12607053
10,0,76,2.06E-05,2.88E-05,33,30,54,5.438509333,1.383844191,3.20E-05,84,5.10E-06,-0.007108706,71,48,0.174826731,76.09663456
10,0,76,2.08E-05,2.21E-05,32,31,46,4.939357355,-0.856528985,2.42E-05,89,5.39E-06,-0.008072861,76,43,0.212121273,100.4275387
10,0,76,2.05E-05,1.94E-05,28,24,45,7.506572057,2.038876354,2.40E-05,87,6.12E-06,-0.010709783,66,53,0.255655165,95.53364099
10,0,76,2.03E-05,1.70E-05,28,25,48,9.648285871,5.527763724,2.76E-05,79,7.48E-06,-0.014338117,47,61,0.662760047,66.72122984
10,0,76,3.01E-05,1.79E-05,27,27,52,11.16998793,3.854059249,3.07E-05,77,8.36E-06,-0.017497283,58,59,1.154435731,42.53291134
10,0,76,3.36E-05,2.05E-05,25,27,50,6.251967129,2.689735738,3.40E-05,91,9.90E-06,-0.0195814,61,52,1.474658093,26.10192588
10,0,76,3.19E-05,2.19E-05,24,26,50,-1.607850105,1.092422559,3.36E-05,97,1.09E-05,-0.019942011,49,46,1.643284865,10.53801403
10,1,86,1.26E-05,4.31E-05,29,26,43,12.72385094,1.044722093,3.19E-05,88,6.69E-06,-0.000426667,65,58,0.119883131,24.89582724
10,1,86,1.98E-05,4.80E-05,29,28,48,9.813543397,1.119218147,3.15E-05,85,7.44E-06,0.002236012,70,43,0.239905565,58.39673373
10,1,86,2.68E-05,4.38E-05,28,30,47,5.912268332,0.414732289,3.96E-05,86,8.92E-06,0.005143733,75,46,0.305045008,104.9814112
10,1,86,3.61E-05,3.49E-05,28,32,44,6.727193007,-0.470670561,4.38E-05,84,1.03E-05,0.006663839,54,52,0.307910209,142.1339836
10,1,86,4.15E-05,2.21E-05,39,30,52,16.58959477,-0.967709384,3.81E-05,82,9.40E-06,0.005400478,62,52,0.196920089,136.728193
10,1,86,4.28E-05,1.49E-05,44,30,60,31.70352529,1.20365095,3.62E-05,78,8.88E-06,0.002532783,70,56,0.222450714,98.97026827
10,1,86,4.78E-05,1.78E-05,43,34,58,41.32531592,2.461941172,4.09E-05,80,9.71E-06,-0.000520978,63,59,0.453763019,61.41774051
10,1,86,4.47E-05,1.84E-05,34,36,48,36.71074922,1.028960169,4.14E-05,85,8.77E-06,-0.00307065,76,59,0.606694308,33.14930154
