Subject,Loc,LocO,Iteration,Sfe,Saa,Scpr,Scde,Tfe,Tb,BSH_MAV,TLAH_MAV,TLH_MAV,DA_MAV,DM_MAV,DP_MAV,BLH_RMS,BSH_ZC,BLH_ZC,TLAH_ZC,TLH_ZC,DA_ZC,DM_ZC,DP_ZC,BSH_SC,BLH_SC,DA_SC,DP_SC,Efe,dSfe,dSaa,dScpr,dTfe,dTb
10,1,7,3,34.11354678,15.34448318,0.005308328,0.004923278,15.52391201,0.150500712,2.45E-05,7.17E-06,4.00E-06,2.92E-05,1.83E-05,3.84E-06,2.57E-05,41,27,31,30,32,30,34,52,51,56,81,68.93337085,143.5516975,25.52596009,0.007418819,-6.903049609,0.210799276
10,1,7,3,47.36053135,18.19991752,0.004637978,0.005888778,14.88087383,0.32866703,1.44E-05,1.02E-05,5.13E-06,3.85E-05,2.25E-05,5.09E-06,3.21E-05,39,30,28,28,26,32,34,53,46,57,73,71.01300404,117.2770648,31.9891326,-0.017569611,-5.898089607,2.656400933
10,1,7,3,56.7731234,21.75491154,0.00175035,0.007036111,14.37141386,0.701155158,1.30E-05,1.06E-05,5.11E-06,3.85E-05,2.38E-05,4.98E-06,3.27E-05,31,29,27,27,33,32,38,50,52,59,68,70.7979441,74.29876946,34.05585154,-0.030312071,-4.517860126,3.96531643
10,1,7,3,62.58395981,25.08513503,-0.001513989,0.008056167,14.05730854,1.081817626,1.48E-05,9.22E-06,4.35E-06,4.21E-05,2.51E-05,4.23E-06,3.34E-05,35,27,32,35,33,33,49,53,54,55,78,70.64219252,45.47666527,30.06029414,-0.032442944,-1.649661149,3.37081453
10,1,7,3,66.07810577,27.79341899,-0.003928806,0.008415667,14.01510494,1.286935651,1.73E-05,1.11E-05,5.07E-06,4.66E-05,2.49E-05,5.13E-06,4.18E-05,31,27,29,37,35,37,46,53,51,55,83,70.55773595,31.12348852,27.93006152,-0.020410008,0.736850666,1.085568197
10,1,7,3,68.698362,30.44094937,-0.005368683,0.008695444,14.14855606,1.276343016,1.58E-05,1.07E-05,5.39E-06,4.50E-05,2.49E-05,5.42E-06,4.29E-05,26,28,27,37,37,31,42,51,55,61,82,69.68600014,22.72790765,24.06600961,-0.011614765,1.15953642,-0.709468693
10,1,7,10,12.18506705,6.814799594,-0.005345478,0.000359444,14.41975267,0.171930987,3.25E-05,5.38E-06,3.08E-06,1.34E-05,4.54E-06,2.75E-06,3.15E-05,19,15,25,32,25,23,31,43,45,46,85,27.24675572,9.803822421,1.543484595,-0.022261293,5.532974185,-0.000384329
10,1,7,10,13.87917339,7.131040882,-0.0070932,0.0009155,14.85108759,0.143590176,4.44E-05,7.93E-06,4.77E-06,1.67E-05,5.78E-06,3.36E-06,4.27E-05,27,18,18,19,26,33,32,43,38,45,73,34.57810512,24.71769471,5.265606407,-0.010845268,3.013830879,-0.492455391
10,1,7,10,17.84476168,8.300903127,-0.006845111,0.001365889,14.79897724,0.092099454,4.93E-05,9.82E-06,5.51E-06,1.87E-05,9.01E-06,3.31E-06,4.53E-05,30,24,24,22,31,37,36,43,41,54,77,47.1674901,53.67008568,17.67861765,0.01108383,-2.790894208,-0.260970085
10,1,7,10,26.11565315,10.75159954,-0.004765333,0.001778833,14.36739556,0.090895829,4.30E-05,1.00E-05,5.19E-06,2.51E-05,1.55E-05,3.40E-06,4.20E-05,31,26,29,31,33,37,36,43,44,49,84,60.92574253,107.7913498,30.33321945,0.023796368,-5.468382988,0.43079
