Real_Goal,Time,Cost,Prob,Results
2,151534956,357/62/50/,0.0013557924155527296/0.4408478556583351/0.5577963519261121/,2/
2,157604100,1177/66/50/,1.4612240047602786E-10/0.42220565035551394/0.5777943494983636/,2/
0,148309870,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
0,153021556,54/53/70/,0.3620226471797444/0.36878923045042283/0.26918812236983286/,0/1/
0,173231771,50/53/100/,0.4313994819131436/0.4067549857688099/0.16184553231804646/,0/1/
0,147909281,59/53/289/,0.4691197610770035/0.5242502785271786/0.006629960395817848/,1/
0,141342790,56/90/972/,0.6448531012286342/0.3551468311206687/6.765069717571799E-8/,0/
1,156892638,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,140335800,50/50/53/,0.3398039776495762/0.3398039776495762/0.32039204470084753/,0/1/2/
1,146066124,50/54/61/,0.3662260975848342/0.33860001807667717/0.2951738843384885/,0/1/
1,141869322,70/53/120/,0.36151067913293367/0.4952716486274851/0.14321767223958123/,1/
1,137694694,100/53/201/,0.2823373975107964/0.674163842553136/0.04349875993606774/,1/
2,135584069,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,137344150,70/56/50/,0.2634313537057762/0.34664549195988276/0.389923154334341/,2/
2,150578204,100/52/50/,0.16055239618593237/0.4114949779830611/0.42795262583100646/,1/2/
2,143063545,163/52/50/,0.052679163354372054/0.46437414919910824/0.48294668744651975/,1/2/
2,142255182,528/63/50/,4.7900093397519426E-5/0.4365964155218804/0.5633556843847222/,2/
0,139038264,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,164056758,100/50/100/,0.2143392379333584/0.5713215241332831/0.2143392379333584/,1/
0,147096766,60/55/289/,0.47390126136529287/0.5181603264672251/0.007938412167481883/,0/1/
0,168080607,60/101/1779/,0.6619801944204033/0.3380198055792144/3.821942108472296E-13/,0/
0,160710302,60/475/10170/,0.998891101614765/0.0011088983852349291/1.048449350820865E-72/,0/
1,127967220,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,150251043,50/50/70/,0.37374820567603406/0.37374820567603406/0.25250358864793193/,0/1/
1,149519059,56/56/54/,0.32926874329273453/0.32926874329273453/0.3414625134145309/,0/1/2/
1,143013211,100/100/54/,0.2321284794141085/0.2321284794141085/0.535743041171783/,2/
1,148352896,72/67/61/,0.3050530877653969/0.33067333376145885/0.3642735784731443/,1/2/
2,124952248,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,141484506,56/51/56/,0.3224840638296153/0.3550318723407692/0.3224840638296153/,0/1/2/
2,141535861,93/55/51/,0.18799098809719106/0.39039664345597336/0.42161236844683553/,1/2/
2,175973696,247/75/51/,0.013953090492706493/0.38122636483288813/0.6048205446744054/,2/
2,140855364,784/68/51/,4.388357280041629E-7/0.4189892898685888/0.5810102712956833/,2/
0,144260820,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,152489799,50/52/61/,0.36133284489676465/0.3474371743055168/0.29122998079771845/,0/1/
0,141444186,50/55/80/,0.40618708677727805/0.3682546353042031/0.22555827791851882/,0/1/
0,139818512,50/65/120/,0.500338008902417/0.37284628896087235/0.1268157021367107/,0/
0,132671868,50/127/357/,0.8174048908589838/0.18060830634527267/0.001986802795743486/,0/
1,129700600,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,131674942,50/50/61/,0.3563806961381494/0.3563806961381494/0.28723860772370124/,0/1/
1,140359721,56/50/80/,0.363704903565782/0.4091123829230397/0.2271827135111783/,1/
1,149521330,100/50/201/,0.26291459946384443/0.7007992149775099/0.036286185558645545/,1/
1,153981295,277/71/648/,0.05409287597456143/0.9455942877425463/3.128362828922485E-4/,1/
2,130088212,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,144403901,163/50/163/,0.08954396458784748/0.8209120708243051/0.08954396458784748/,1/
2,149743612,89/50/71/,0.21874132679203517/0.46993564408686583/0.3113230291210988/,1/
2,188496326,566/122/80/,0.0015512748475654565/0.37261978502347587/0.6258289401289587/,2/
2,210690996,4893/98/119/,5.102997561098315E-22/0.5528323503326417/0.4471676496673582/,1/
0,159835297,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,143608047,50/52/61/,0.36133284489676465/0.3474371743055168/0.29122998079771845/,0/1/
0,137357699,50/52/80/,0.39732210178407207/0.3820424029607029/0.2206354952552249/,0/1/
0,140920370,57/52/120/,0.4160501780335621/0.4572112307900778/0.12673859117635997/,0/1/
0,143813034,55/83/357/,0.6207017885237215/0.3764746652781043/0.0028235461981742857/,0/
1,149586213,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,157890940,54/54/61/,0.3471627338076755/0.3471627338076755/0.3056745323846491/,0/1/
1,166819247,65/65/80/,0.35756382854493124/0.35756382854493124/0.28487234291013747/,0/1/
1,167465001,55/54/55/,0.33130704687138157/0.3373859062572369/0.33130704687138157/,0/1/2/
1,169733809,95/54/55/,0.19316847580760158/0.407083077087851/0.39974844710454743/,1/2/
2,133959207,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
2,161703632,54/53/52/,0.32706417423118256/0.33329378145612326/0.3396420443126942/,0/1/2/
2,145493700,65/55/59/,0.3022425006147332/0.3613334101401992/0.33642408924506756/,1/2/
2,160381598,141/55/55/,0.09718849342159232/0.4514057532892038/0.4514057532892038/,1/2/
2,148838401,425/95/55/,9.059579305226801E-4/0.3283548011363662/0.6707392409331111/,2/
0,129481107,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,135564014,61/50/61/,0.30857406286040057/0.382851874279199/0.30857406286040057/,1/
0,141840699,80/50/80/,0.2631019707681251/0.4737960584637499/0.2631019707681251/,1/
0,143166514,62/50/201/,0.4290381726646105/0.5428537861253411/0.028108041210048392/,1/
0,166287286,80/50/80/,0.2631019707681251/0.4737960584637499/0.2631019707681251/,1/
1,136086116,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
1,141477806,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,133793448,54/50/50/,0.31613773249241023/0.34193113375379486/0.34193113375379486/,0/1/2/
1,131875591,90/50/70/,0.2140835854059645/0.469036340379587/0.31688007421444847/,1/
1,155242370,141/50/100/,0.10881656727245452/0.6480561352318687/0.24312729749567677/,1/
2,136015775,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,177857972,54/61/50/,0.33860001807667717/0.2951738843384885/0.3662260975848342/,0/2/
2,178948947,90/60/57/,0.22503097265414543/0.3774655960640175/0.3975034312818371/,1/2/
2,143369844,239/101/55/,0.025327258803852178/0.2977240209146717/0.6769487202814761/,2/
2,164132986,767/98/55/,2.054527857090235E-6/0.31694218031442384/0.683055765157719/,2/
