Obs,Real_Goal,STime,Cost,Prob,Results
2,0,111531019/24995958/12183914/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
5,0,139977934/48882751/19615340/,51/53/70/,0.37647789911809126/0.36227290397054573/0.261249196911363/,0/1/
7,0,112892593/47842138/9732819/,51/86/161/,0.6132247770701216/0.31282834741252036/0.07394687551735796/,0/
10,0,119192700/32057477/9357852/,51/70/887/,0.5903432334972024/0.4096567049871485/6.151564916919564E-8/,0/
14,0,126687428/32934847/9482717/,51/249/8613/,0.9782827594467356/0.02171724055326441/3.035341719469666E-72/,0/
48,1,107569095/52223481/53893889/,2147483647/43452/42991/,0.0/0.4973192943869833/0.5026807056130167/,1/2/
144,1,141452264/66675073/45115164/,2867379/6226244/578488/,0.01876664621265245/5.646175700766138E-5/0.98117689203034/,2/
240,1,153492934/113365154/60256228/,27126262/25740000/2147483647/,0.4865391708261664/0.5134608291738336/8.160023042826378E-37/,0/1/
336,1,212159315/145844646/97923644/,177193/177851/4614781/,0.5009283599353014/0.49907164005803906/6.6595990727378225E-12/,0/1/
479,1,232196883/230787923/167897168/,105227/98006/2722403/,0.4815887253774687/0.5184112746213143/1.2169968130676773E-12/,0/1/
2,2,102238974/18165135/10638295/,50/51/50/,0.33550481664848303/0.32899036670303383/0.33550481664848303/,0/1/2/
5,2,127785716/27891827/13189341/,90/51/50/,0.1872916868934535/0.40237041990729794/0.4103378931992486/,1/2/
8,2,179203159/16572197/8909275/,66/51/50/,0.26950866904762527/0.36166494034054975/0.36882639061182504/,1/2/
11,2,118589265/18821145/7370828/,205/68/50/,0.027347997385199583/0.4013836946126559/0.5712683080021446/,2/
15,2,117369593/16326566/10152359/,1758/101/72/,5.5757674763154634E-11/0.40197076609516225/0.5980292338490801/,2/
2,0,111476372/31028790/9159518/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
6,0,123132931/39166391/9989645/,56/50/88/,0.3761097839223707/0.42306597582982686/0.20082424024780254/,1/
9,0,135409842/48386578/11404122/,72/88/135/,0.4494245896997552/0.360968245837633/0.18960716446261183/,0/
13,0,145086545/78408234/15481403/,73/767/1006/,0.9999121307659253/8.452474286664722E-5/3.3444912079399168E-6/,0/
18,0,131085179/70408642/14726451/,73/12419/14235/,1.0/3.493394678561433E-73/7.681151210460172E-84/,0/
3,1,116499254/62830100/9800519/,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
8,1,112767374/45896834/10906182/,108/84/56/,0.19945908840651488/0.30388877909844436/0.4966521324950408/,2/
12,1,148849232/80843432/17239939/,824/543/115/,0.0021572904068776523/0.02431921518124178/0.9735234944118806/,2/
17,1,153607276/63058907/11667196/,12419/218/80/,5.886449805420746E-67/0.15398215890614783/0.8460178410938523/,2/
24,1,112523964/61668668/20293196/,428638/170/3074/,0.0/0.9999999578679112/4.213208879282641E-8/,1/
2,2,109391162/23452287/9869224/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
4,2,113365439/26851293/11529879/,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
6,2,112300046/46089296/8802037/,100/65/55/,0.19601119350692603/0.36619711988077963/0.43779168661229434/,2/
9,2,111637100/47208429/6411044/,494/63/55/,2.1097642170263416E-4/0.46424836303907013/0.5355406605392271/,2/
12,2,108876708/38466744/6421613/,2817/205/55/,3.557424581862217E-22/0.0642497110808936/0.9357502889191064/,2/
2,0,108821582/29429073/9979359/,50/56/50/,0.3461393630355498/0.3077212739289003/0.3461393630355498/,0/2/
6,0,165058498/35302094/12209620/,58/59/50/,0.3174181786743016/0.31125491444040565/0.37132690688529263/,2/
9,0,172762773/49216250/12173443/,58/201/131/,0.7252890135547935/0.06425383439188392/0.21045715205332255/,0/
12,0,162607296/54731882/11387137/,58/74/699/,0.5673779937985437/0.4326111539318691/1.0852269587270985E-5/,0/
17,0,112001453/52662397/11155730/,58/293/11467/,0.9817119635218128/0.018288036478187338/1.0261450651047879E-84/,0/
2,1,118463285/23419108/9701967/,51/51/53/,0.3375790977878761/0.3375790977878761/0.3248418044242478/,0/1/2/
6,1,126397216/25208913/12897224/,66/52/62/,0.29579520033761414/0.3852214129302419/0.31898338673214394/,1/
9,1,121296003/35439827/10981253/,227/137/58/,0.0432231747687111/0.1987008710323329/0.758075954198956/,2/
13,1,137834247/49784840/14796515/,2125/59/113/,7.900091011418292E-16/0.7109495026250033/0.28905049737499583/,1/
18,1,124467979/38670318/20066053/,31383/59/1439/,1.8592058661639275E-227/0.9999999998973812/1.026187963064882E-10/,1/
2,2,112497584/25146989/8741126/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
4,2,113399561/29697929/8402408/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
6,2,115643332/32989889/8196359/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
8,2,112578079/34275938/7479603/,62/62/50/,0.306252369787455/0.306252369787455/0.38749526042509/,2/
11,2,116025559/24117943/6675067/,242/242/50/,0.022147897559969272/0.022147897559969272/0.9557042048800615/,2/
2,0,114257634/24191903/9304479/,50/53/53/,0.3465308105078227/0.3267345947460887/0.3267345947460887/,0/1/2/
4,0,116211265/26581892/8922665/,50/80/80/,0.4737960584637499/0.2631019707681251/0.2631019707681251/,0/
6,0,123950166/24169585/7331227/,62/64/201/,0.48103415613553746/0.4660030813838055/0.05296276248065712/,0/1/
9,0,133662505/28563200/7963892/,69/178/1177/,0.8259428980989159/0.17405699157230942/1.1032877480551656E-7/,0/
12,0,128259185/29694811/8912191/,96/858/6710/,0.999612601847627/3.873981523730037E-4/2.439024846385123E-30/,0/
3,1,134673556/35461239/6626905/,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
7,1,113979937/40372597/6312679/,528/50/528/,8.501192153916424E-5/0.9998299761569216/8.501192153916424E-5/,1/
12,1,140103893/50673261/8814777/,114/108/232/,0.417481909576805/0.44110682715422156/0.14141126326897346/,0/1/
17,1,136165507/51651678/9069490/,108/132/3356/,0.5548245556121493/0.44517544438778717/6.35297262366384E-14/,0/
23,1,161462476/72813610/10218407/,108/2385/73616/,0.9999999991534978/8.46502248838691E-10/1.3127328975461688E-293/,0/
2,2,104003686/20391767/12286242/,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
4,2,108124734/31873542/14700685/,100/100/50/,0.2143392379333584/0.2143392379333584/0.5713215241332831/,2/
7,2,105560902/63724004/11432280/,528/528/50/,8.501192153916424E-5/8.501192153916424E-5/0.9998299761569216/,2/
10,2,109615801/45437664/8334143/,3221/75/50/,6.160280729009039E-28/0.3798473776772155/0.6201526223227845/,2/
13,2,105298527/50309814/8073919/,17760/255/50/,1.5183837550854107E-151/0.017643135860322384/0.9823568641396776/,2/
2,0,114878757/29887057/10132266/,53/51/51/,0.3248418044242478/0.3375790977878761/0.3375790977878761/,0/1/2/
5,0,133427788/39935610/14968247/,59/59/59/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
8,0,119228298/45759937/10428328/,59/80/186/,0.547909031101413/0.3861049684664859/0.06598600043210116/,0/
12,0,113670049/57131955/10426191/,59/108/1818/,0.693528308197832/0.3064716918020396/1.2852796504956264E-13/,0/
16,0,115999703/48871045/11517350/,88/152/16527/,0.6724090476531628/0.32759095234683727/4.0740555061665E-81/,0/
3,1,112574203/36941108/6429843/,70/50/70/,0.2873422951834218/0.4253154096331565/0.2873422951834218/,1/
8,1,129651632/45265690/5582252/,972/50/972/,1.4081113567947132E-8/0.9999999718377728/1.4081113567947132E-8/,1/
13,1,126679948/48748889/8287683/,128/61/128/,0.20215987786181921/0.5956802442763615/0.20215987786181921/,1/
19,1,122230685/79486144/13758304/,2066/75/344/,4.075679344862311E-12/0.9717902872265483/0.028209712769376054/,1/
