Obs,Real_Goal,STime,Cost,Prob,Results
1,0,112122409/23949581/11807656/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
3,0,113529618/16064910/12530700/,51/56/61/,0.36584778309637084/0.33230841799671673/0.3018437989069123/,0/1/
5,0,126288252/14532824/9821446/,72/93/120/,0.44089077375524083/0.33067166463733616/0.22843756160742304/,0/
7,0,136639211/13776906/10274061/,60/247/357/,0.9484883050790084/0.04422524097604654/0.007286453944945127/,0/
10,0,156939070/12867025/8945351/,115/1408/2125/,0.9999855454314049/1.4424734102950943E-5/2.9834492045630154E-8/,0/
1,1,110445574/15118148/8896834/,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
3,1,121812760/20241720/10306042/,70/54/51/,0.26306440063300485/0.35784186796434797/0.37909373140264724/,1/2/
5,1,135027327/19325354/10829173/,163/57/63/,0.07796333433911033/0.4848428658441712/0.43719379981671846/,1/2/
7,1,138453369/19924440/10742173/,528/61/124/,3.9303943245133763E-4/0.7339293197769879/0.26567764079056055/,1/
9,1,135282117/22669487/11251908/,1779/61/346/,9.15129119562203E-13/0.9900163647294452/0.009983635269639697/,1/
1,2,128800072/17366086/14661459/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
3,2,108866736/15897122/17799815/,70/70/52/,0.293736004362442/0.293736004362442/0.41252799127511597/,2/
4,2,125919471/18555825/17402998/,100/100/59/,0.25122672105772026/0.25122672105772026/0.49754655788455954/,2/
6,2,110130024/16079968/17183516/,289/289/53/,0.012334575984269666/0.012334575984269666/0.9753308480314606/,2/
8,2,111117127/15232842/17512381/,972/972/60/,3.2132257406122596E-7/3.2132257406122596E-7/0.9999993573548519/,2/
2,0,108458134/26433669/10320900/,56/51/51/,0.31231877223642546/0.3438406138817872/0.3438406138817872/,0/1/2/
4,0,109365133/18496019/16517350/,100/68/57/,0.2068221349446329/0.359093683170915/0.43408418188445214/,2/
6,0,105659384/22707689/20364999/,289/146/104/,0.09322148415176695/0.3639014079548124/0.5428771078934206/,2/
