Real_Goal,Time,Cost,Prob,Results
0,162597624,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,161596406,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,180533258,54/163/163/,0.7839221574063271/0.10803892129683644/0.10803892129683644/,0/
0,199104767,88/528/528/,0.9859457022287933/0.007027148885603302/0.007027148885603302/,0/
0,181742364,95/119/3221/,0.5621765008857958/0.4378234991142001/4.056566698246875E-15/,0/
1,168286374,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
1,212042337,70/61/70/,0.3168340880154897/0.36633182396902075/0.3168340880154897/,1/
1,185080914,163/120/163/,0.29182500538453293/0.4163499892309342/0.29182500538453293/,1/
1,208783151,69/357/528/,0.982552285690437/0.01605255207990666/0.0013951622296564843/,0/
1,182986781,71/1177/1779/,0.9999997867664019/2.1318375910871084E-7/4.983904337989718E-11/,0/
2,165145963,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,169652847,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,171612300,100/100/100/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,194557734,289/289/289/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,225411427,972/972/972/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,146774939,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,153683990,100/100/100/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,159443996,289/289/74/,0.051076889785869335/0.051076889785869335/0.8978462204282613/,2/
0,174161462,1779/1779/252/,0.002380735120851732/0.002380735120851732/0.9952385297582965/,2/
0,203224469,10170/10170/1297/,0.0010721941982690603/0.0010721941982690603/0.9978556116034618/,2/
1,138499377,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,153456680,56/70/70/,0.3899474426422088/0.3050262786788956/0.3050262786788956/,0/
1,218499887,93/163/163/,0.5128805671546827/0.24355971642265864/0.24355971642265864/,0/
1,183226327,75/71/528/,0.48567751198569903/0.5134231729262047/8.99315088096409E-4/,0/1/
1,185591062,164/135/86/,0.20632387834933125/0.2879481682162775/0.5057279534343913/,2/
2,176138032,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,155113003,70/70/61/,0.3168340880154897/0.3168340880154897/0.36633182396902075/,2/
2,159116997,100/100/80/,0.30487168320885744/0.30487168320885744/0.39025663358228513/,2/
2,166208251,163/163/120/,0.29182500538453293/0.29182500538453293/0.4163499892309342/,2/
2,163019052,528/528/357/,0.27683293613164855/0.27683293613164855/0.4463341277367029/,2/
0,169316483,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,180364662,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,194935445,100/100/100/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,184049524,163/163/163/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,181855009,528/528/528/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,151700112,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,155778112,61/70/70/,0.36633182396902075/0.3168340880154897/0.3168340880154897/,0/
1,189686093,80/100/100/,0.39025663358228513/0.30487168320885744/0.30487168320885744/,0/
1,202219991,201/289/72/,0.13979098301410467/0.04187415774877879/0.8183348592371165/,2/
1,226115158,78/972/151/,0.7158604935024848/8.712727514160775E-6/0.2841307937700011/,0/
2,138056962,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,184883063,56/70/70/,0.3899474426422088/0.3050262786788956/0.3050262786788956/,0/
2,200723418,93/163/66/,0.3511167995143828/0.12351255500482117/0.525370645480796/,2/
2,186438155,247/528/63/,0.053368009438980506/6.613887369218849E-4/0.9459706018240975/,2/
2,219084154,784/1779/71/,5.0032997906775874E-5/4.983656040748937E-11/0.9999499669522567/,2/
0,151750532,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,166636832,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,166706365,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,204855270,163/163/163/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,193064846,65/289/289/,0.9370733744609169/0.03146331276954155/0.03146331276954155/,0/
1,151627773,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
