Real_Goal,Time,Cost,Prob,Results
0,181452743,29/29/26/,0.3207678856006388/0.3207678856006388/0.3584642287987225/,2/
0,170906975,27/309/1199/,0.99995773160189/4.2268398110027145E-5/6.632167278522615E-19/,0/
0,167456175,10650/40587/144022/,0.9432492346354042/0.056747326748425475/3.4386161702765224E-6/,0/
0,164316782,895/2391255/8385204/,1.0/0.0/0.0/,0/
0,194276360,208848/553043363/1934200526/,1.0/0.0/0.0/,0/
1,174375702,29/26/29/,0.3207678856006388/0.3584642287987225/0.3207678856006388/,1/
1,188098285,4171/306/27/,5.3014692284787045E-65/4.7048443992664195E-5/0.9999529515560074/,2/
1,188578936,503856/2178/2462/,5.4622366771998867E-101/0.5325377066289659/0.46746229337103407/,1/
1,398744738,29314933/1916/184961/,0.0/1.0/3.3988627331087265E-42/,1/
1,190328591,1171814182/1916/7710978/,0.0/1.0/0.0/,1/
2,202738721,29/29/26/,0.3207678856006388/0.3207678856006388/0.3584642287987225/,2/
2,166598229,4171/4171/41/,1.9695905242034885E-43/1.9695905242034885E-43/1.0/,2/
2,191324937,52246/52246/965/,8.812057083133327E-24/8.812057083133327E-24/1.0/,2/
2,186054877,4085938/4085938/106/,0.0/0.0/1.0/,2/
2,182761564,191996370/191996370/2464/,0.0/0.0/1.0/,2/
0,160273021,232/27/27/,3.3049920443876826E-4/0.49983475039778064/0.49983475039778064/,1/2/
0,174603688,52246/4106/913/,3.9419052678422945E-25/0.02949959033066448/0.9705004096693356/,2/
0,172075960,4085938/332098/91607/,1.0797934364376003E-19/0.0675329416440849/0.9324670583559151/,2/
0,194932119,1171814182/95815610/27266662/,5.447777209454677E-19/0.07488112159193876/0.9251188784080612/,2/
0,184895155,527977/2147483647/2147483647/,1.0/0.0/0.0/,0/
1,170718570,26/29/29/,0.3584642287987225/0.3207678856006388/0.3207678856006388/,0/
1,158574285,26/4171/4171/,1.0/2.1269365650096513E-67/2.1269365650096513E-67/,0/
1,184096079,10638/503856/503856/,1.0/7.351134649598085E-21/7.351134649598085E-21/,0/
1,172196155,672038/29314933/29314933/,1.0/3.0901963898085404E-19/3.0901963898085404E-19/,0/
1,188311461,27264838/2265/38580/,0.0/0.999999890357107/1.0964289301483544E-7/,1/
2,151901542,29/29/29/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,177077820,4171/4171/41/,1.9695905242034885E-43/1.9695905242034885E-43/1.0/,2/
2,170302661,52246/52246/965/,8.812057083133327E-24/8.812057083133327E-24/1.0/,2/
2,171617095,503856/503856/10832/,1.7166827924670236E-20/1.7166827924670236E-20/1.0/,2/
2,168814835,29314933/29314933/738/,0.0/0.0/1.0/,2/
0,157341628,26/29/29/,0.3584642287987225/0.3207678856006388/0.3207678856006388/,0/
0,179675317,306/4171/4171/,0.9999931853522481/3.4073238758977235E-6/3.4073238758977235E-6/,0/
0,166759565,4093/52246/52246/,0.9999844074140599/7.796292970016299E-6/7.796292970016299E-6/,0/
0,174317886,278/503856/503856/,1.0/0.0/0.0/,0/
