Real_Goal,Time,Cost,Prob,Results
0,182085143,51/56/51/,0.3438406138817872/0.31231877223642546/0.3438406138817872/,0/1/2/
0,175755171,51/55/55/,0.3506407064602768/0.3246796467698616/0.3246796467698616/,0/1/2/
0,167512859,51/55/55/,0.3506407064602768/0.3246796467698616/0.3246796467698616/,0/1/2/
0,170124100,51/55/95/,0.42462428868257157/0.39318556436624014/0.18219014695118835/,0/1/
0,196465833,68/74/429/,0.5202750130820732/0.4769449242076183/0.002780062710308339/,0/1/
1,146057287,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,186736517,289/50/289/,0.009054001456680819/0.9818919970866383/0.009054001456680819/,1/
1,194814741,3221/50/3221/,9.933491381421044E-28/1.0/9.933491381421044E-28/,1/
1,168652894,170/50/116/,0.06944718235916097/0.7303381704479129/0.20021464719292614/,1/
1,182537930,178/83/758/,0.24392569248201112/0.7558296505707137/2.446569472751411E-4/,1/
2,157772279,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
2,146016863,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
2,151828631,57/50/59/,0.32168161668294437/0.36900758164253744/0.30931080167451813/,1/
2,159942991,110/50/62/,0.14693126654604907/0.47648464172622246/0.3765840917277284/,1/
2,159618316,68/88/62/,0.35361725787805764/0.25743179682680983/0.38895094529513247/,0/2/
0,139104929,51/53/53/,0.3419344167653373/0.32903279161733134/0.32903279161733134/,0/1/2/
0,170014994,52/80/53/,0.3889666804864977/0.22933683060523813/0.38169648890826424/,0/2/
0,138446532,52/201/81/,0.6102359033872565/0.036690756415734174/0.3530733401970093/,0/
0,156195459,52/648/196/,0.9380097576919497/1.2258659824949509E-5/0.0619779836482253/,0/
0,163212097,101/3798/88/,0.4635479338644428/4.224688127254197E-19/0.5364520661355572/,2/
1,137204546,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,197434487,51/61/51/,0.3539756640629704/0.2920486718740592/0.3539756640629704/,0/2/
1,139845040,57/80/57/,0.374162509579134/0.2516749808417321/0.374162509579134/,0/2/
