Real_Goal,Time,Cost,Prob,Results
0,165181573,50/53/56/,0.3531219446718367/0.3329491981368819/0.3139288571912815/,0/1/
0,157466450,141/201/289/,0.4979974927639744/0.3263791789696524/0.17562332826637334/,0/
0,188412152,60/85/3221/,0.6010485697969138/0.39895143020308627/1.878935653885834E-23/,0/
0,234123945,215/115/259/,0.24676806303849563/0.5843603586163948/0.1688715783451095/,1/
0,199287184,448/1189/282/,0.34834260159880104/0.02540159391294067/0.6262558044882583/,2/
1,156163124,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,183194134,61/55/289/,0.46945133107262965/0.5225431108456606/0.008005558081709692/,1/
1,180520695,74/61/99/,0.34465628363747924/0.42505775782626976/0.23028595853625097/,1/
1,222614704,158/70/125/,0.1654165292628249/0.5712936395627726/0.2632898311744026/,1/
1,209792503,2151/465/461/,0.012782211373644718/0.4914720726210554/0.49574571600529993/,1/2/
2,166019290,56/56/51/,0.3224840638296153/0.3224840638296153/0.3550318723407692/,0/1/2/
2,155364194,289/289/77/,0.05831170684933781/0.05831170684933781/0.8833765863013243/,2/
2,193001634,155/107/78/,0.18227091858420089/0.33465129545803357/0.4830777859577656/,2/
2,167908484,1154/718/144/,9.25337042854769E-4/0.018714512914495423/0.9803601500426498/,2/
2,166968109,26258/16744/2920/,3.3585526229401623E-4/0.0087235717009497/0.9909405730367563/,2/
0,164179819,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,189894585,52/52/56/,0.3416110268801933/0.3416110268801933/0.31677794623961325/,0/1/2/
0,185217147,74/60/59/,0.281942081113407/0.3560371207031414/0.36202079818345145/,1/2/
0,187198000,171/117/80/,0.16602467319654027/0.32337190763987933/0.5106034191635804/,2/
0,206984763,63/64/174/,0.46274724521997285/0.4555730141531313/0.08167974062689581/,0/1/
1,167440333,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
1,168485422,50/51/70/,0.37648032962640243/0.3691702638953133/0.2543494064782842/,0/1/
1,194380132,70/72/163/,0.446013998381536/0.433625528441237/0.12036047317722702/,0/1/
1,209837822,161/166/69/,0.17689239819475108/0.16469792797171576/0.6584096738335332/,2/
1,166619875,887/82/85/,3.12320858289253E-5/0.5090192627190429/0.4909495051951282/,1/2/
2,168175215,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,184398569,56/100/56/,0.4061539807907088/0.18769203841858234/0.4061539807907088/,0/2/
2,168543307,77/65/74/,0.30808100760053264/0.3695111596272129/0.3224078327722543/,1/
2,181324407,277/191/101/,0.11187035830874366/0.25994704590048523/0.6281825957907712/,2/
2,169309202,1433/938/107/,4.651886713002144E-6/4.5514052406717386E-4/0.9995402075892198/,2/
0,189559448,56/51/56/,0.3224840638296153/0.3550318723407692/0.3224840638296153/,0/1/2/
0,161491108,56/68/56/,0.35585191093340746/0.2882961781331851/0.35585191093340746/,0/2/
0,198233381,72/58/88/,0.33000243263588763/0.41837918465745894/0.2516183827066535/,1/
0,192172440,247/106/361/,0.19686522703467838/0.735298380895161/0.06783639207016066/,1/
0,199615075,104/490/1946/,0.9753059652535435/0.024694011283927172/2.3462529222106377E-8/,0/
1,157882730,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,153165452,56/50/52/,0.3118727301465317/0.3508091162589585/0.33731815359450984/,1/2/
1,163561745,93/62/63/,0.2355369918027706/0.38526502377280514/0.3791979844244243/,1/2/
1,158371882,247/120/66/,0.0443302076943853/0.29506294958330015/0.6606068427223145/,2/
1,175273457,784/64/144/,1.196913930607759E-5/0.7739439157332674/0.22604411512742661/,1/
2,144718655,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
2,150538712,54/52/56/,0.3331751680519487/0.34598804793399013/0.32083678401406124/,0/1/2/
2,170334642,65/59/52/,0.29430398572955957/0.3295805368265169/0.3761154774439235/,2/
2,164354933,90/74/52/,0.22723922934147456/0.3073201778617165/0.4654405927968089/,2/
2,162139596,239/171/52/,0.02585744293208629/0.09328108509279798/0.8808614719751158/,2/
0,142911124,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,156115082,56/52/53/,0.3188135918059423/0.34380625221242583/0.33738015598163174/,0/1/2/
0,174584761,68/59/60/,0.30262084285955504/0.3515952577975259/0.34578389934291914/,1/2/
0,164268594,93/74/77/,0.28359865398712913/0.365363731417577/0.3510376145952938/,1/2/
0,190207236,67/67/66/,0.33167085388158857/0.33167085388158857/0.3366582922368229/,0/1/2/
1,142899551,50/51/50/,0.33550481664848303/0.32899036670303383/0.33550481664848303/,0/1/2/
1,161481342,50/54/56/,0.35541967166701705/0.3286087694047565/0.31597155892822637/,0/1/
1,169771912,56/65/68/,0.3753616514889107/0.3205362031603384/0.3041021453507509/,0/
1,192756900,70/90/93/,0.40358408018398884/0.30450719090334977/0.29190872891266134/,0/
1,216950953,161/60/247/,0.15429419748637893/0.8080297346694422/0.037676067844178956/,1/
2,142721084,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
