Obs,Real_Goal,STime,Cost,Prob,Results
6,0,139865929/27414404/27972455/,289/55/289/,0.014864906225264327/0.9702701875494713/0.014864906225264327/,1/
18,0,149231075/41496512/30274017/,108/5086/69/,0.3642088048298853/4.7512575261344125E-32/0.6357911951701147/,2/
29,0,172402620/52757828/48651823/,228/1313526/468/,0.7403973741686514/0.0/0.2596026258313487/,0/
40,0,221009318/62501599/56350681/,435/1206/1386/,0.779106667895415/0.13292689851694212/0.08796643358764286/,0/
57,0,213406349/100639745/64187643/,1149/564/4086790/,0.262038883964067/0.737961116035933/0.0/,1/
2,1,177515162/33555865/24277822/,50/50/56/,0.3461393630355498/0.3461393630355498/0.3077212739289003/,0/1/
6,1,151282944/31378951/18903206/,56/100/64/,0.4289684731719806/0.19823508067115275/0.37279644615686663/,0/
10,1,172258697/40163762/25933342/,56/113/72/,0.4710020534593634/0.17327197221723242/0.3557259743234041/,0/
14,1,167656420/76646002/22681115/,56/276/414/,0.977567294559051/0.020602615015140456/0.0018300904258084334/,0/
19,1,175531674/49118929/22926552/,56/458/6085/,0.9991356184987489/8.643815012511854E-4/1.1573347102603227E-46/,0/
2,2,139193325/19994858/14946272/,53/50/50/,0.32039204470084753/0.3398039776495762/0.3398039776495762/,0/1/2/
5,2,160551707/39835918/21324834/,120/50/50/,0.11247594983960106/0.4437620250801994/0.4437620250801994/,1/2/
7,2,181599979/24934501/10762572/,357/79/50/,0.0015494178388933315/0.3609933960685002/0.6374571860926064/,2/
10,2,150606797/24349756/11716484/,2125/353/50/,2.133218087443825E-18/0.0026220417889590347/0.997377958211041/,2/
14,2,147476969/25940178/9718683/,20290/3509/50/,4.4126525324859435E-173/3.504414214739412E-30/1.0/,2/
2,0,139115172/23208718/14118224/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
5,0,131880747/22007500/15358880/,57/60/57/,0.3390300798596932/0.3219398402806136/0.3390300798596932/,0/1/2/
8,0,144279027/23216210/21372870/,61/61/95/,0.38791548226478567/0.38791548226478567/0.22416903547042863/,0/1/
11,0,162414649/39224561/36007130/,61/61/83/,0.37019397365211276/0.37019397365211276/0.2596120526957744/,0/1/
15,0,131619842/24042320/27426699/,61/61/627/,0.4999728838442065/0.4999728838442065/5.423231158699715E-5/,0/1/
2,1,134636606/19078966/12944511/,53/53/56/,0.33944798309499363/0.33944798309499363/0.32110403381001285/,0/1/2/
6,1,209203529/33477368/22441412/,107/55/289/,0.28013831323409244/0.7089995455869408/0.010862141178966741/,1/
10,1,223278059/27608217/24990974/,67/55/71/,0.3154534947351184/0.39083949758945397/0.2937070076754276/,1/
14,1,279303152/41212452/29260702/,67/55/409/,0.4461888441506301/0.5528175359866678/9.936198627020824E-4/,1/
20,1,165341454/41200477/23554404/,105/109/152/,0.38390366949160504/0.3696866708616139/0.24640965964678105/,0/1/
2,2,124091239/19574579/10861243/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
5,2,172011098/19281689/14170382/,70/50/51/,0.2543494064782842/0.3764803296264025/0.3691702638953133/,1/2/
7,2,144608582/19641683/12297742/,161/60/51/,0.06147187198464079/0.4287557443936092/0.50977238362175/,2/
10,2,151095193/25026598/12207582/,887/222/51/,1.004550809681775E-7/0.03596915093219813/0.9640307486127209/,2/
14,2,151017412/17025506/10336020/,8613/2202/51/,3.1027243301172897E-72/1.0845303742591403E-18/1.0/,2/
3,0,128130527/14858779/17015548/,50/70/70/,0.4253154096331565/0.2873422951834218/0.2873422951834218/,0/
8,0,154661881/23995646/19894685/,56/131/196/,0.7385372789101582/0.19812182241946785/0.06334089867037399/,0/
12,0,163072312/32048976/20585177/,56/83/1869/,0.6162553880980713/0.3837446119019192/9.465608203434858E-15/,0/
17,0,167197984/27550841/23390563/,394/83/28464/,0.024071025583762957/0.975928974416237/1.7978573302182825E-147/,1/
24,0,211262138/30686563/21471912/,149/1895/974350/,0.9999911933972616/8.806602738395519E-6/0.0/,0/
4,1,139846564/22999438/14215150/,56/56/100/,0.4061539807907088/0.4061539807907088/0.18769203841858234/,0/1/
12,1,156658639/27865665/20015937/,498/64/64/,6.294274991994412E-4/0.4996852862504003/0.4996852862504003/,1/2/
19,1,152816730/46912311/27831624/,1849/475/106/,8.163440521223373E-8/0.030810691087301497/0.9691892272782933/,2/
26,1,151183780/45765814/26873255/,62133/155/173/,1.5147208149476643E-173/0.5288141925286174/0.4711858074713826/,1/
37,1,156582223/49615898/32666935/,11295739/191/317/,0.0/0.658417500561683/0.34158249943831703/,1/
2,2,127400919/19505581/12316811/,50/56/56/,0.35996867153415113/0.3200156642329245/0.3200156642329245/,0/
6,2,145638611/22584319/14509969/,81/53/107/,0.30326878660098777/0.5093513305546404/0.1873798828443717/,1/
10,2,144637180/28760570/20628455/,151/69/106/,0.16317190735685635/0.526490276305355/0.31033781633778856/,1/
14,2,146220041/29691295/23764549/,1416/225/86/,1.908756271549903E-7/0.1683031240927727/0.8316966850316002/,2/
19,2,164633192/34737905/20547870/,21458/3561/86/,2.0573783703691697E-107/4.499664949153495E-18/1.0/,2/
6,0,165617205/19645434/17856689/,53/53/53/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
17,0,159124330/35401648/32752734/,80/80/80/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
28,0,172077417/43619469/47006321/,98/485/485/,0.9614298791589782/0.01928506042051086/0.01928506042051086/,0/
40,0,210767754/72961142/61919688/,431/307/2115/,0.4000118019506741/0.5982994936893318/0.001688704359994275/,1/
56,0,226289275/92409351/58152315/,521/785/63308/,0.623808973670288/0.376191026329712/3.60921264205584E-53/,0/
3,1,124656799/20404940/13264022/,61/54/50/,0.2951738843384885/0.33860001807667717/0.3662260975848342/,1/2/
7,1,138841002/24786722/15585142/,57/120/50/,0.41019418698137294/0.11926364619343564/0.47054216682519134/,2/
11,1,137436215/23862438/16603796/,277/53/66/,0.008765287389586117/0.55498853412534/0.4362461784850739/,1/
