Obs,Real_Goal,STime,Cost,Prob,Results
7,1,137776821/24385524/21031436/,77/97/66/,0.3424246973450805/0.254053356286029/0.4035219463688905/,2/
1,2,130378696/14754616/11966029/,50/51/50/,0.33550481664848303/0.32899036670303383/0.33550481664848303/,0/1/2/
3,2,130343800/23685619/17845543/,61/53/51/,0.29600206266209306/0.34523059207839213/0.3587673452595148/,1/2/
4,2,131949993/32406118/16091774/,55/60/57/,0.34728249372190834/0.31761909088442475/0.33509841539366686/,0/1/2/
5,2,135389693/21787749/16947586/,65/53/55/,0.2896627911132418/0.3617450490736426/0.34859215981311553/,1/2/
7,2,133909587/32299441/16774387/,66/65/68/,0.3349614261883433/0.34007524251466775/0.324963331296989/,0/1/2/
1,0,136851399/14818298/18353372/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,0,124254116/16644466/15595411/,51/53/53/,0.3419344167653373/0.32903279161733134/0.32903279161733134/,0/1/2/
3,0,136908606/22477778/11876791/,51/61/61/,0.3773434062333182/0.31132829688334085/0.31132829688334085/,0/
5,0,145362118/22722703/18166342/,55/65/120/,0.46517542138048057/0.3891026366147453/0.14572194200477417/,0/
6,0,144657344/24152375/15817126/,66/55/201/,0.4335010383721964/0.5275917389700321/0.038907222657771585/,1/
1,1,124581004/19437336/13648493/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,1,144232477/20246090/21158295/,61/52/54/,0.3006365370882839/0.35627871715330034/0.3430847457584157/,1/2/
4,1,129717862/17289494/16976736/,50/59/65/,0.3870849494571104/0.32446367497322254/0.288451375569667/,0/
5,1,138098662/23811591/14296661/,50/74/90/,0.4805226024175857/0.3001511050590927/0.2193262925233216/,0/
7,1,128441981/31218822/18514683/,50/62/60/,0.38280645792832035/0.3025466292978145/0.3146469127738652/,0/
1,2,117155466/14812956/15188063/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
3,2,129751341/19150769/17055044/,51/54/50/,0.33753286282920664/0.31825067153011033/0.34421646564068303/,0/1/2/
4,2,138546814/19614779/14062219/,57/53/56/,0.32304148764829155/0.34787904022072047/0.329079472130988/,0/1/2/
5,2,120135913/20118719/21331668/,72/53/70/,0.2890650166479598/0.4109631231448294/0.29997186020721067/,1/
7,2,128788719/22589553/19723988/,60/86/62/,0.38157580428803806/0.249156203584841/0.3692679921271209/,0/2/
1,0,123725777/20130978/11183370/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,0,138681652/13604450/16783399/,61/52/54/,0.3006365370882839/0.35627871715330034/0.3430847457584157/,1/2/
4,0,129151396/21328812/11244305/,52/59/65/,0.3761154774439235/0.3295805368265169/0.29430398572955957/,0/
5,0,147061110/22149040/11519366/,52/52/90/,0.4018930905581997/0.4018930905581997/0.19621381888360057/,0/1/
7,0,130035511/32398476/15808175/,52/71/239/,0.5786752592664927/0.40433788982817426/0.016986850905333136/,0/
1,1,118148695/15012478/9861284/,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
3,1,132992245/17860145/13809742/,56/54/53/,0.3231164765746777/0.3353081312490595/0.3415753921762628/,0/1/2/
5,1,136902223/20313564/11030231/,93/57/57/,0.21184551093540202/0.394077244532299/0.394077244532299/,1/2/
7,1,138633337/16947645/13803104/,247/63/63/,0.02743420381703035/0.4862828980914848/0.4862828980914848/,1/2/
9,1,155983647/26324680/10891595/,76/117/63/,0.36334719461440557/0.19147051654025615/0.4451822888453382/,2/
1,2,117890095/14958253/15412939/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,133293072/15053135/19993417/,54/51/50/,0.31825067153011033/0.33753286282920664/0.34421646564068303/,0/1/2/
4,2,162945447/19023898/11661358/,65/57/56/,0.3010488184037137/0.3464100940665345/0.35254108752975183/,1/2/
6,2,142747965/18832226/11368476/,141/55/100/,0.12946368244958686/0.6013124500885235/0.26922386746188953/,1/
8,2,136864067/23628756/14761546/,425/62/65/,0.0016074044619437179/0.511079678454458/0.4873129170835982/,1/2/
1,0,111511224/11111072/12393475/,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
3,0,117686650/10522855/9596887/,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
5,0,126787171/9707558/8783991/,62/163/163/,0.7130057742346632/0.14349711288266837/0.14349711288266837/,0/
7,0,122523714/15647446/11438851/,58/83/65/,0.3932788281341738/0.257440862385775/0.3492803094800511/,0/
10,0,121082467/24174529/18469945/,168/140/191/,0.3258220212454586/0.3973958334217249/0.2767821453328164/,1/
1,1,112065772/16812690/22046845/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
3,1,128810036/19454282/15278711/,70/52/56/,0.2697786693370046/0.3788818901926149/0.3513394404703805/,1/2/
4,1,127957568/35703975/24429045/,100/59/51/,0.17343330940943852/0.38155487487081485/0.44501181571974663/,2/
5,1,131144544/22322533/16126029/,163/74/51/,0.06598301758486164/0.36537925215065004/0.5686377302644883/,2/
7,1,126790147/27337351/12964495/,62/171/57/,0.44588570450603665/0.06808468557398459/0.48602960991997873/,0/2/
1,2,115869704/25689096/26273284/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
3,2,129482548/16009671/15948371/,70/52/54/,0.26618216990776/0.37383090337746894/0.35998692671477106/,1/2/
4,2,115660878/26645499/15468545/,100/59/53/,0.18101225087032177/0.38676759100747304/0.4322201581222053/,2/
5,2,132207656/19253214/15473595/,163/74/53/,0.07212300193872528/0.374848209678556/0.5530287883827186/,2/
7,2,133212279/24489660/19814497/,65/61/86/,0.359798671085063/0.3837766554938992/0.2564246734210377/,0/1/
1,0,124177813/18202455/10236602/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,0,137516005/25224510/10176057/,54/56/54/,0.33734895777262397/0.32530208445475217/0.33734895777262397/,0/1/2/
5,0,137193847/17365897/16911581/,90/52/90/,0.24702089708430694/0.5059582058313862/0.24702089708430694/,1/
7,0,137946762/19753586/20633582/,55/57/239/,0.49941822876916586/0.48189661184957605/0.018685159381258143/,0/1/
10,0,132341497/24253965/18551203/,63/87/1382/,0.5926665995604444/0.4073333997753958/6.641598451310696E-10/,0/
1,1,121326693/17768335/11320750/,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
3,1,125148672/23760029/7475040/,51/54/70/,0.37909373140264724/0.35784186796434797/0.26306440063300485/,0/1/
4,1,127781088/20708224/9079241/,57/53/100/,0.39558795954057124/0.42600336164151187/0.17840867881791683/,0/1/
5,1,133137299/26382635/10171828/,72/57/56/,0.2758551608509143/0.3588964271789753/0.3652484119701105/,1/2/
7,1,131797068/26311270/7944785/,166/63/56/,0.07152793342671177/0.43576608389976423/0.4927059826735239/,2/
1,2,121358309/16677287/10480609/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,123442748/24044083/13298428/,54/52/54/,0.3291144278487413/0.34177114430251737/0.3291144278487413/,0/1/2/
4,2,142001342/17763685/18532811/,65/54/53/,0.28778769502861745/0.3528089675222926/0.35940333744909/,1/2/
