Obs,Real_Goal,STime,Cost,Prob,Results
2,0,126948334/19463879/11161470/,56/53/56/,0.32710442071449247/0.34579115857101506/0.32710442071449247/,0/1/2/
6,0,143896215/21287251/9879840/,62/79/52/,0.34091822558764306/0.2473706759129792/0.41171109849937776/,2/
10,0,134899537/22743242/7860811/,368/585/61/,0.007020842592014/2.120110756987912E-4/0.9927671463322871/,2/
14,0,152938010/21379513/9692588/,128/340/358/,0.7345047158798679/0.1419941079472177/0.12350117617291444/,0/
20,0,165566202/43863649/25746295/,171/7392/9622/,1.0/5.850684291751784E-19/1.3693933249411805E-24/,0/
1,1,108372019/23110699/12014175/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
3,1,114018355/36060467/9839629/,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
4,1,129292470/30285743/8740864/,100/55/56/,0.18424767146416876/0.41151781896494677/0.40423450957088447/,1/2/
6,1,122119438/31629693/17534180/,65/65/100/,0.3863350762227192/0.3863350762227192/0.22732984755456162/,0/1/
8,1,118977422/28692370/15041269/,84/84/277/,0.4754543311364045/0.4754543311364045/0.04909133772719098/,0/1/
2,2,130282939/18720331/10662215/,50/53/50/,0.3398039776495762/0.32039204470084753/0.3398039776495762/,0/1/2/
6,2,178000164/14777312/8529703/,74/65/74/,0.31785399416768056/0.3642920116646389/0.31785399416768056/,1/
9,2,155326667/16989640/7890405/,81/222/315/,0.8085469227919541/0.14485402613913598/0.04659905106890989/,0/
12,2,153838242/23797379/8372636/,164/1194/1792/,0.9980069704154395/0.0019412576150849752/5.1771969475577375E-5/,0/
17,2,182445247/25838184/16194117/,2202/657/27880/,0.08722293848311925/0.9127770615168808/9.830725447778099E-19/,1/
1,0,124252187/12987724/6369985/,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
3,0,188889432/11337162/8833332/,53/51/70/,0.36227290397054573/0.37647789911809126/0.261249196911363/,0/1/
4,0,136228561/9952878/10357582/,56/57/100/,0.4090432034237157/0.40192958945055685/0.18902720712572743/,0/1/
6,0,155990439/20017920/8778366/,59/104/289/,0.6693422850481783/0.3161749077920016/0.014482807159820055/,0/
8,0,143013162/14675837/15396981/,104/285/972/,0.8484338803035126/0.15134812281260707/2.1799688388028377E-4/,0/
1,1,123735854/17194465/8754937/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,1,125300323/22033359/7373070/,56/56/53/,0.32710442071449247/0.32710442071449247/0.34579115857101506/,0/1/2/
3,1,129219943/25623753/8690624/,70/53/50/,0.2580124274623045/0.3600853495930155/0.3819022229446798/,1/2/
4,1,119787114/26392874/17262779/,100/56/56/,0.18769203841858234/0.4061539807907088/0.4061539807907088/,1/2/
5,1,125854387/23173897/11158702/,60/66/70/,0.3629606426453475/0.32895920633813075/0.3080801510165218/,0/1/
2,2,111217504/25913458/10455391/,56/50/53/,0.3139288571912815/0.3531219446718367/0.3329491981368819/,1/2/
4,2,164611852/19979547/15284755/,100/56/59/,0.1916836052525183/0.4147914849323589/0.3935249098151228/,1/2/
6,2,134199004/22990470/16535578/,289/88/107/,0.05465451268968319/0.5229358254660372/0.4224096618442795/,1/
9,2,149054283/30274844/15150387/,1779/361/517/,0.011916528590504264/0.5988753414869268/0.3892081299225689/,1/
12,2,162367148/28172577/18781567/,10170/1946/2894/,0.008986754789963252/0.6138103849575655/0.37720286025247135/,1/
1,0,121136630/14093436/11793901/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
3,0,143320342/15019328/7350675/,56/61/70/,0.37061167340638174/0.33948695217216585/0.2899013744214525/,0/1/
4,0,127442555/14339966/9882930/,68/80/100/,0.40497645733836773/0.340330053357161/0.2546934893044713/,0/
5,0,195501885/16226291/6945025/,93/120/163/,0.4493933774743003/0.33719607319043804/0.21341054933526163/,0/
7,0,140667733/15605506/5202948/,247/357/528/,0.5092168215660438/0.3267925331425165/0.16399064529143972/,0/
1,1,117379818/18774398/8573582/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
2,1,120692064/16902175/11716012/,53/53/56/,0.33944798309499363/0.33944798309499363/0.32110403381001285/,0/1/2/
3,1,125157744/22080449/20571643/,61/61/53/,0.3164872759462787/0.3164872759462787/0.36702544810744253/,2/
5,1,130258062/27033586/11037814/,120/120/77/,0.2677034598820532/0.2677034598820532/0.46459308023589374/,2/
6,1,156489755/29204091/10516166/,65/201/110/,0.6123423269077153/0.07799817455045281/0.309659498541832/,0/
1,2,133793203/25189603/8958987/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,2,122216177/16035850/16618791/,56/53/50/,0.31392885719128144/0.3329491981368818/0.35312194467183666/,1/2/
3,2,140428593/20136175/12137370/,70/61/50/,0.27224446834348776/0.3247874705155017/0.4029680611410105/,2/
5,2,128998867/24091505/10852453/,163/120/50/,0.08005543722038488/0.18602045017392507/0.7339241126056901/,2/
6,2,163472212/20076739/12836905/,289/201/59/,0.019398228902588414/0.08408670214254282/0.8965150689548688/,2/
1,0,147807400/13500460/6024181/,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
2,0,119044213/15800028/6060128/,53/51/56/,0.33521600655674466/0.3483600802490606/0.3164239131941947/,0/1/2/
3,0,126915953/15616443/12480213/,61/56/70/,0.33948695217216585/0.37061167340638174/0.2899013744214525/,0/1/
5,0,138161943/20097848/8607607/,120/93/163/,0.33719607319043804/0.4493933774743003/0.21341054933526163/,1/
6,0,155721116/21894901/8614603/,201/146/289/,0.3329655695678405/0.48405026266570844/0.18298416776645102/,1/
1,1,120167938/17131299/7796381/,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
2,1,131084694/13965860/10179852/,53/51/56/,0.33521600655674466/0.3483600802490606/0.3164239131941947/,0/1/2/
3,1,147122656/16683913/10659813/,61/56/53/,0.3070593496198232/0.33684862408043637/0.3560920262997404/,1/2/
5,1,140988515/24375424/8239072/,57/66/77/,0.3899228337579419/0.3338782626972109/0.27619890354484733/,0/
6,1,143558141/20178817/12242275/,61/88/110/,0.4760431368491392/0.3079768453739315/0.21598001777692946/,0/
2,2,149514314/17595714/8342149/,56/53/56/,0.32710442071449247/0.34579115857101506/0.32710442071449247/,0/1/2/
6,2,142456285/17738279/11168034/,50/50/289/,0.497705335796265/0.497705335796265/0.0045893284074700405/,0/1/
10,2,147430560/23223747/6982246/,50/50/3221/,0.5/0.5/4.966745690710522E-28/,0/1/
14,2,140636571/33972066/8819186/,181/303/116/,0.32306020325854673/0.11387526138177832/0.5630645353596749/,2/
19,2,165551718/41431900/10810146/,3227/5239/738/,0.03323582279318275/0.00218372075105069/0.9645804564557666/,2/
1,0,137528360/22277139/12106934/,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
3,0,120782907/16754165/9247598/,53/61/56/,0.3560920262997404/0.3070593496198232/0.33684862408043637/,0/2/
4,0,135240750/17086260/13013007/,60/80/68/,0.38497876635363687/0.2773608394598336/0.33766039418652943/,0/
5,0,138297964/15867695/9878548/,77/120/93/,0.41827817286885505/0.2410163190835339/0.340705508047611/,0/
7,0,148406392/23977991/10016094/,176/357/247/,0.49279968714049016/0.1772398512904391/0.32996046156907066/,0/
1,1,123616406/18005529/10059668/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,1,144210087/39564678/10967665/,56/51/51/,0.31231877223642546/0.3438406138817872/0.3438406138817872/,0/1/2/
3,1,152021606/41765104/12248602/,53/56/56/,0.34579115857101506/0.32710442071449247/0.32710442071449247/,0/1/2/
5,1,154516418/21714202/13434380/,60/93/93/,0.46203233607188887/0.26898383196405556/0.26898383196405556/,0/
6,1,168895046/17435921/16828570/,74/146/146/,0.5663201141866427/0.2168399429066786/0.2168399429066786/,0/
1,2,116627857/19549262/9420935/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
3,2,119966054/21245563/7972535/,70/56/54/,0.2756705706798399/0.3555806271695542/0.36874880215060585/,1/2/
4,2,121949722/26301903/11008485/,100/68/65/,0.23130071595810697/0.37561592657121373/0.39308335747067935/,1/2/
5,2,142769298/34398230/13119080/,163/93/90/,0.18557891696992188/0.40049888769694747/0.41392219533313074/,1/2/
7,2,131415560/27269013/15529565/,528/75/239/,0.00230609671563681/0.8943370142963987/0.10335688898796455/,1/
1,0,124190227/11499804/7689249/,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
2,0,159064314/14485630/11273703/,51/51/56/,0.3438406138817872/0.3438406138817872/0.31231877223642546/,0/1/2/
3,0,131397129/11327245/8231094/,56/56/70/,0.35942468042350306/0.35942468042350306/0.2811506391529939/,0/1/
5,0,153592851/13221539/8731441/,63/93/163/,0.5448417282551956/0.3409532413074314/0.11420503043737303/,0/
6,0,189441178/14052181/9645120/,83/146/289/,0.6416611641568012/0.30309927214053456/0.05523956370266438/,0/
1,1,126139904/14982472/8268664/,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
3,1,128249066/14161271/14180261/,54/70/70/,0.4007747337654535/0.29961263311727326/0.29961263311727326/,0/
4,1,136116918/16091489/8974947/,65/100/100/,0.45937868984714275/0.2703106550764286/0.2703106550764286/,0/
5,1,132392592/17511509/9111962/,90/163/163/,0.5272356701219932/0.2363821649390034/0.2363821649390034/,0/
7,1,138494876/22673301/8922514/,239/528/528/,0.6250454353849402/0.18747728230752989/0.18747728230752989/,0/
1,2,121026716/19695771/9527966/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,2,115673536/21743565/11014446/,56/56/51/,0.3224840638296153/0.3224840638296153/0.3550318723407692/,0/1/2/
3,2,113224665/23762040/10587688/,70/70/51/,0.29060743755181756/0.29060743755181756/0.4187851248963649/,2/
5,2,153443374/26657272/13496231/,163/163/59/,0.13055703860480092/0.13055703860480092/0.7388859227903982/,2/
6,2,142028657/18890976/17053857/,289/65/77/,0.01798084065524395/0.5355242517489999/0.4464949075957563/,1/
1,0,117962636/13909491/8086120/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
2,0,129232039/18942258/9393297/,53/53/56/,0.33944798309499363/0.33944798309499363/0.32110403381001285/,0/1/2/
3,0,135087135/14368551/11647115/,61/61/70/,0.3490544204330145/0.3490544204330145/0.30189115913397085/,0/1/
4,0,130267448/12733297/11745402/,80/80/100/,0.359555965326419/0.359555965326419/0.2808880693471621/,0/1/
5,0,140992332/13164727/5409168/,120/120/163/,0.3702452103881432/0.3702452103881432/0.2595095792237136/,0/1/
1,1,124645724/16283211/9587961/,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
3,1,144742769/17953428/8511835/,53/61/56/,0.3560920262997404/0.3070593496198232/0.33684862408043637/,0/2/
4,1,138630728/17443975/12539865/,60/80/68/,0.38497876635363687/0.2773608394598336/0.33766039418652943/,0/
