Real_Goal,Time,Cost,Prob,Results
0,228427353,48/48/47/,0.3310105372669594/0.3310105372669594/0.3379789254660814/,0/1/2/
0,172315973,55/55/55/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,152930443,51/47/82/,0.3829760182132283/0.41625818506547374/0.20076579672129796/,0/1/
0,170426460,51/47/362/,0.47882649839749514/0.5204384601263077/7.3504147619726E-4/,0/1/
0,238029401,66/47/2008/,0.4023138366932815/0.5976861633067185/1.0807719279308975E-18/,1/
1,162540647,48/47/47/,0.3287198894683713/0.33564005526581436/0.33564005526581436/,0/1/2/
1,142669915,91/69/55/,0.22814830251509935/0.33793481099007566/0.433916886494825/,2/
1,163192198,461/272/160/,0.09328270191270437/0.3017345723091101/0.6049827257781856/,2/
1,144305754,2758/72/51/,1.4774111175240796E-23/0.4003886118524843/0.5996113881475157/,2/
1,151845808,33331/134/128/,8.451609109721566E-113/0.4883741888213494/0.5116258111786506/,1/2/
2,194016520,51/47/48/,0.3173194368538645/0.34489578090826123/0.33778478223787434/,0/1/2/
2,226200317,123/82/48/,0.1261062543780149/0.2911560955488064/0.5827376500731786/,2/
2,210518285,1552/144/132/,1.2058323098381246E-5/0.4774531412004991/0.5225348004764026/,1/2/
2,164298945,18736/1652/48/,2.3195433513060448E-166/6.074395738462305E-15/0.9999999999999939/,2/
2,154220274,187934/17643/109/,0.0/5.935531096591893E-70/1.0/,2/
0,143630229,58/47/47/,0.2844866666588949/0.35775666667055256/0.35775666667055256/,0/1/2/
0,204100706,50/65/58/,0.3846138763070721/0.28660995949223617/0.3287761642006918/,0/2/
0,232705071,124/88/53/,0.14988469397168225/0.29193552068170814/0.5581797853466097/,2/
0,167290234,106/58/376/,0.3061646424595209/0.6906839417219125/0.0031514158185667125/,1/
0,180113903,80/85/4356/,0.515427200432863/0.48457279956713695/6.105314175851242E-24/,0/1/
1,187803517,48/48/47/,0.3310105372669594/0.3310105372669594/0.3379789254660814/,0/1/2/
1,198068331,48/47/47/,0.3287198894683713/0.33564005526581436/0.33564005526581436/,0/1/2/
