Real_Goal,Time,Cost,Prob,Results
0,169087306,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,167450555,62/79/52/,0.34091822558764306/0.2473706759129792/0.41171109849937776/,2/
0,191440520,368/585/61/,0.007020842592014/2.120110756987912E-4/0.9927671463322871/,2/
0,217102621,128/340/358/,0.7345047158798679/0.1419941079472177/0.12350117617291444/,0/
0,255241334,2134/7392/9622/,0.8967177320532695/0.07639961573469972/0.026882652212030855/,0/
1,159337514,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,141463145,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
1,142160583,100/100/56/,0.24015725988861727/0.24015725988861727/0.5196854802227655/,2/
1,167600429,60/289/100/,0.6483063844444383/0.015184346162516132/0.33650926939304554/,0/
1,208607920,77/84/277/,0.5022213755904001/0.459113483376677/0.03866514103292283/,0/1/
2,202802175,50/56/50/,0.3461393630355498/0.3077212739289003/0.3461393630355498/,0/2/
2,198920506,74/100/74/,0.36940704309202915/0.2611859138159418/0.36940704309202915/,0/2/
2,212614299,62/494/315/,0.9812780732228614/0.0010322212371821676/0.017689705539956396/,0/
2,184632815,201/2817/1792/,0.9996181120589533/2.374135918697787E-6/3.795138051280563E-4/,0/
2,206445554,3125/682/27880/,0.02720250783790957/0.9727974921620903/4.941041045969268E-18/,1/
0,176627793,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,197323708,53/51/70/,0.36227290397054573/0.37647789911809126/0.261249196911363/,0/1/
0,197786211,60/57/100/,0.39141482430280644/0.4121931570382256/0.19639201865896794/,0/1/
0,201304900,57/104/289/,0.6835175000473982/0.3039634402476033/0.012519059704998496/,0/
0,212509630,99/285/972/,0.8651759220230008/0.13468421151237783/1.3986646462140406E-4/,0/
1,177749289,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,176271715,56/56/53/,0.32710442071449247/0.32710442071449247/0.34579115857101506/,0/1/2/
1,163872672,70/70/53/,0.2967354134739606/0.2967354134739606/0.40652917305207875/,2/
1,191499411,100/56/60/,0.19300447722476738/0.41764977031390194/0.38934575246133063/,1/2/
1,166129015,60/66/77/,0.3755025785545249/0.3403262384564259/0.2841711829890492/,0/1/
2,183669578,56/50/53/,0.3139288571912815/0.3531219446718367/0.3329491981368819/,1/2/
2,155072162,100/56/59/,0.1916836052525183/0.4147914849323589/0.3935249098151228/,1/2/
2,190645343,289/88/107/,0.05465451268968319/0.5229358254660372/0.4224096618442795/,1/
2,185346246,1779/361/517/,0.011916528590504264/0.5988753414869268/0.3892081299225689/,1/
2,223645671,10170/1946/2894/,0.008986754789963252/0.6138103849575655/0.37720286025247135/,1/
0,200807065,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,202410876,54/61/70/,0.3805063344190444/0.33503335616481644/0.28446030941613903/,0/
0,239248865,65/80/100/,0.419264340922669/0.3340293552156856/0.24670630386164538/,0/
0,179032113,90/120/163/,0.4613603141373601/0.3317922435272344/0.20684744233540553/,0/
0,177546753,239/357/528/,0.5231362095731937/0.31995334952894783/0.1569104408978583/,0/
1,181406130,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,181191867,51/56/56/,0.3550318723407692/0.3224840638296153/0.3224840638296153/,0/1/2/
1,173836047,56/70/70/,0.3899474426422088/0.3050262786788956/0.3050262786788956/,0/
1,214846147,93/56/163/,0.311845274754254/0.5968285925864177/0.09132613265932842/,1/
1,220893481,146/68/289/,0.2368053255314635/0.7333867397373367/0.029807934731199665/,1/
2,165639049,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,169769548,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
2,180734525,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
2,174040876,163/163/57/,0.12167141247940508/0.12167141247940508/0.7566571750411899/,2/
2,187366339,289/289/55/,0.014864906225264329/0.014864906225264329/0.9702701875494714/,2/
0,146955903,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
0,176351665,53/56/56/,0.34579115857101506/0.32710442071449247/0.32710442071449247/,0/1/2/
0,168757933,61/70/70/,0.36633182396902075/0.3168340880154897/0.3168340880154897/,0/
0,182812578,120/163/163/,0.4163499892309342/0.29182500538453293/0.29182500538453293/,0/
0,175294337,201/289/289/,0.43597747334505754/0.28201126332747123/0.28201126332747123/,0/
1,164427800,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,167572490,53/56/56/,0.34579115857101506/0.32710442071449247/0.32710442071449247/,0/1/2/
1,169356910,61/51/70/,0.3275341972961515/0.3969856608053122/0.2754801418985362/,1/
1,217706720,62/72/163/,0.4867404226625784/0.41529985821685506/0.0979597191205666/,0/
1,185164600,58/104/289/,0.6763625908148183/0.31015379651386527/0.013483612671316423/,0/
2,157062061,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,173851468,50/50/289/,0.497705335796265/0.497705335796265/0.0045893284074700405/,0/1/
2,227811659,50/50/3221/,0.5/0.5/4.966745690710522E-28/,0/1/
2,221981599,181/303/116/,0.32306020325854673/0.11387526138177832/0.5630645353596749/,2/
2,222685271,3227/166/738/,1.0611076975617372E-8/0.9684813369346681/0.03151865245425485/,1/
0,209480632,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
0,190906082,53/61/56/,0.3560920262997404/0.3070593496198232/0.33684862408043637/,0/2/
0,205097164,56/56/68/,0.35585191093340746/0.35585191093340746/0.2882961781331851/,0/1/
0,193527265,66/66/93/,0.37476735273712064/0.37476735273712064/0.2504652945257588/,0/1/
0,179592844,131/131/247/,0.41402964566427447/0.41402964566427447/0.17194070867145111/,0/1/
1,175798979,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,192685232,56/56/51/,0.3224840638296153/0.3224840638296153/0.3550318723407692/,0/1/2/
1,170384165,53/70/56/,0.37370834692002314/0.2727787037014866/0.3535129493784903/,0/2/
1,227519141,77/66/93/,0.3371552082715792/0.3973122468238661/0.26553254490455475/,1/
1,191460114,110/88/146/,0.339243199054976/0.43437502016808627/0.22638178077693763/,1/
2,165743739,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,172161373,70/70/56/,0.3050262786788956/0.3050262786788956/0.3899474426422088/,2/
2,172239288,100/100/68/,0.2785473251569826/0.2785473251569826/0.44290534968603473/,2/
2,193700131,163/163/93/,0.24355971642265864/0.24355971642265864/0.5128805671546827/,2/
2,202218838,528/71/77/,9.114421812274646E-4/0.5203465868843732/0.47874197093439935/,1/2/
0,190002852,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
0,174774309,53/51/56/,0.33521600655674466/0.3483600802490606/0.3164239131941947/,0/1/2/
0,154782733,61/56/70/,0.33948695217216585/0.37061167340638174/0.2899013744214525/,0/1/
0,159540025,65/93/163/,0.5316881018488717/0.3478650504326183/0.12044684771851001/,0/
0,198611761,86/146/289/,0.6254999996721922/0.31384403446041065/0.060655965867397195/,0/
1,218951492,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,199506118,54/70/70/,0.4007747337654535/0.29961263311727326/0.29961263311727326/,0/
1,158277355,65/100/100/,0.45937868984714275/0.2703106550764286/0.2703106550764286/,0/
1,179861527,90/163/163/,0.5272356701219932/0.2363821649390034/0.2363821649390034/,0/
1,177427727,239/528/528/,0.6250454353849402/0.18747728230752989/0.18747728230752989/,0/
2,181343842,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,152565190,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
2,178566142,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
2,190650018,163/163/57/,0.12167141247940508/0.12167141247940508/0.7566571750411899/,2/
2,175173553,289/65/74/,0.01761508892836677/0.5246310502787626/0.45775386079287067/,1/
0,172654459,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,170296290,53/53/56/,0.33944798309499363/0.33944798309499363/0.32110403381001285/,0/1/2/
0,179030690,50/61/70/,0.4029680611410105/0.3247874705155017/0.27224446834348776/,0/
0,205731866,53/80/100/,0.493747412252457/0.29947294368488836/0.20677964406265467/,0/
0,179023484,62/120/163/,0.6251865062674837/0.24899058751708902/0.1258229062154273/,0/
1,150561271,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,164026285,53/70/70/,0.40652917305207875/0.2967354134739606/0.2967354134739606/,0/
1,205148938,60/100/100/,0.4906487216326648/0.25467563918366753/0.25467563918366753/,0/
1,239549651,74/74/289/,0.4861712860024315/0.4861712860024315/0.02765742799513701/,0/1/
1,217542457,154/154/972/,0.4987268527034268/0.4987268527034268/0.002546294593146268/,0/1/
2,175503401,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,157243757,70/70/56/,0.3050262786788956/0.3050262786788956/0.3899474426422088/,2/
2,174966218,100/53/51/,0.1657007080834069/0.40912852615461764/0.42517076576197543/,1/2/
2,172703308,289/81/51/,0.006543947534995279/0.35728742932469687/0.6361686231403079/,2/
2,177184269,972/71/58/,1.0382493864228014E-7/0.44513699167763426/0.5548629044974271/,2/
0,182239313,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,161920838,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,165109832,53/70/70/,0.40652917305207875/0.2967354134739606/0.2967354134739606/,0/
0,185999642,77/163/163/,0.6009480594457822/0.19952597027710886/0.19952597027710886/,0/
0,189115673,110/289/289/,0.714933171277143/0.14253341436142855/0.14253341436142855/,0/
1,186751860,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,208085985,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,181379496,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,190117962,163/163/163/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,198654857,289/289/289/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,185845999,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,204622632,56/56/51/,0.3224840638296153/0.3224840638296153/0.3550318723407692/,0/1/2/
2,251059504,70/70/56/,0.3050262786788956/0.3050262786788956/0.3899474426422088/,2/
2,189943897,60/163/93/,0.5659414277729748/0.10458142955816696/0.3294771426688582/,0/
2,189627086,74/289/146/,0.6945500139623314/0.03951172673757724/0.2659382593000914/,0/
0,175460441,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
0,141892713,51/56/56/,0.3550318723407692/0.3224840638296153/0.3224840638296153/,0/1/2/
0,175252324,51/70/70/,0.4187851248963649/0.29060743755181756/0.29060743755181756/,0/
0,170563744,72/163/163/,0.6349305844279763/0.18253470778601186/0.18253470778601186/,0/
0,205847590,104/65/289/,0.34888728446506806/0.6299610510836022/0.021151664451329676/,1/
1,165033815,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,161302953,53/53/56/,0.33944798309499363/0.33944798309499363/0.32110403381001285/,0/1/2/
1,228114999,60/60/68/,0.3475736145163964/0.3475736145163964/0.3048527709672072/,0/1/
1,188529441,77/77/93/,0.3552974824793142/0.3552974824793142/0.28940503504137166/,0/1/
1,193382084,176/176/247/,0.3745931380020179/0.3745931380020179/0.2508137239959642/,0/1/
2,192203849,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,192133309,54/70/50/,0.35557973924705805/0.2598290813892312/0.38459117936371057/,0/2/
2,196061258,65/100/50/,0.3514456790878004/0.17693468429942596/0.4716196366127737/,2/
2,178542432,90/163/57/,0.32781679957169835/0.09311490096423715/0.5790682994640645/,2/
2,177339590,239/68/110/,0.05153047822808627/0.6142698412324795/0.33419968053943416/,1/
0,185052060,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,169178924,53/70/54/,0.36878923045042283/0.26918812236983286/0.3620226471797444/,0/2/
0,174106147,60/53/65/,0.3278719187556717/0.37325158024464045/0.29887650099968793/,1/
0,168049868,110/53/141/,0.22538780536501204/0.6476678925662948/0.12694430206869314/,1/
0,167912867,89/90/425/,0.49680470560725665/0.49131520701334896/0.011880087379394425/,0/1/
1,150440534,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,173370990,53/53/70/,0.36631055954632374/0.36631055954632374/0.26737888090735246/,0/1/
1,168726131,60/56/100/,0.38934575246133063/0.41764977031390194/0.19300447722476738/,0/1/
1,176437061,57/66/163/,0.4957689164389503/0.4245108267310956/0.07972025682995416/,0/
1,185751278,95/71/528/,0.41700426843590815/0.5819763383430885/0.0010193932210034208/,1/
2,176896340,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,186613996,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
2,211945794,57/163/57/,0.46279129296858107/0.07441741406283787/0.46279129296858107/,0/2/
2,195645689,110/528/61/,0.3119844774027611/3.682541150053724E-4/0.6876472684822335/,2/
2,216456964,315/1779/113/,0.14530244466129447/3.846072524741489E-7/0.854697170731453/,2/
0,169228249,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
0,197595775,51/53/56/,0.3483600802490606/0.33521600655674466/0.3164239131941947/,0/1/2/
0,168249987,53/52/70/,0.3643454122116495/0.3712851169886189/0.2643694707997317/,0/1/
0,181389298,60/59/100/,0.39522201101633225/0.4018642427093952/0.20291374627427264/,0/1/
0,186589859,77/74/163/,0.42399744818834584/0.4413011123045093/0.1347014395071448/,0/1/
1,161341269,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,171083734,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,176484840,56/59/163/,0.47579431837767944/0.45140009626923105/0.07280558535308947/,0/1/
1,198532668,92/65/528/,0.3989148365111231/0.6005457714643887/5.393920244882421E-4/,1/
1,174341550,232/122/1779/,0.2902211233151362/0.7097778755215544/1.0011633093640798E-6/,1/
2,148814300,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
2,154102641,70/61/56/,0.28990137442145236/0.3394869521721658/0.3706116734063816/,1/2/
2,182260265,100/80/68/,0.2546934893044713/0.340330053357161/0.40497645733836773/,2/
2,169056888,65/201/146/,0.7039935420357674/0.08967240832654823/0.20633404963768442/,0/
2,176726619,117/648/437/,0.9280554116693955/0.010309764355532358/0.061634823975072174/,0/
0,167750952,53/56/56/,0.34579115857101506/0.32710442071449247/0.32710442071449247/,0/1/2/
0,180768672,86/66/55/,0.2398832647404809/0.3428507650742152/0.41726597018530387/,2/
0,215800167,353/55/55/,0.002436931391638725/0.49878153430418065/0.49878153430418065/,1/2/
0,218222775,158/178/178/,0.3618459791122916/0.31907701044385417/0.31907701044385417/,0/
0,262856741,192/176/2946/,0.47741646611871363/0.5225834504037367/8.347754959814036E-8/,0/1/
1,157771451,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,176771655,52/54/70/,0.37383090337746894/0.35998692671477106/0.26618216990776/,0/1/
1,182032962,74/90/163/,0.47323303480677853/0.3823187205968607/0.14444824459636077/,0/
1,207236556,71/65/528/,0.4770643927550849/0.522466343797733/4.6926344718212746E-4/,0/1/
1,194679660,135/122/1779/,0.4736014531879636/0.5263978043119023/7.425001341717437E-7/,1/
2,177887062,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,188581728,56/56/53/,0.32710442071449247/0.32710442071449247/0.34579115857101506/,0/1/2/
2,203374723,70/70/61/,0.3168340880154897/0.3168340880154897/0.36633182396902075/,2/
2,187920014,163/163/120/,0.29182500538453293/0.29182500538453293/0.4163499892309342/,2/
2,195231473,289/289/201/,0.28201126332747123/0.28201126332747123/0.43597747334505754/,2/
0,156658317,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,179221948,61/61/70/,0.3490544204330145/0.3490544204330145/0.30189115913397085/,0/1/
0,194465114,120/120/163/,0.3702452103881432/0.3702452103881432/0.2595095792237136/,0/1/
0,210714693,357/357/528/,0.3816448678638302/0.3816448678638302/0.23671026427233968/,0/1/
0,206837091,1177/1177/1779/,0.3846340252669563/0.3846340252669563/0.2307319494660875/,0/1/
1,172222618,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
1,172687685,70/56/70/,0.3050262786788956/0.3899474426422088/0.3050262786788956/,1/
1,188808802,100/68/100/,0.2785473251569826/0.44290534968603473/0.2785473251569826/,1/
1,183685449,163/93/163/,0.24355971642265864/0.5128805671546827/0.24355971642265864/,1/
1,195065005,528/247/528/,0.195880333354441/0.6082393332911181/0.195880333354441/,1/
2,169132337,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,148066949,56/56/53/,0.32710442071449247/0.32710442071449247/0.34579115857101506/,0/1/2/
2,165251708,56/56/53/,0.32710442071449247/0.32710442071449247/0.34579115857101506/,0/1/2/
2,155670332,70/70/61/,0.3168340880154897/0.3168340880154897/0.36633182396902075/,2/
2,166146615,100/100/80/,0.30487168320885744/0.30487168320885744/0.39025663358228513/,2/
0,144593726,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,162135186,53/53/70/,0.36631055954632374/0.36631055954632374/0.26737888090735246/,0/1/
0,169403514,60/60/100/,0.39697363041311345/0.39697363041311345/0.2060527391737731/,0/1/
0,178822044,69/110/289/,0.625051808825463/0.34797138685300844/0.026976804321528516/,0/
0,193962071,144/300/972/,0.7438731684345872/0.25366347292393715/0.0024633586414756726/,0/
1,161913073,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
