Real_Goal,Time,Cost,Prob,Results
0,133390178,56/53/56/,0.32710442071449247/0.34579115857101506/0.32710442071449247/,0/1/2/
0,138719385,62/79/52/,0.34091822558764306/0.2473706759129792/0.41171109849937776/,2/
0,143486101,368/585/61/,0.007020842592014/2.120110756987912E-4/0.9927671463322871/,2/
0,160204248,128/340/358/,0.7345047158798679/0.1419941079472177/0.12350117617291444/,0/
0,202007878,171/7392/9622/,1.0/5.850684291751784E-19/1.3693933249411805E-24/,0/
1,131713377,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,128057784,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
1,135561232,100/55/56/,0.18424767146416876/0.41151781896494677/0.40423450957088447/,1/2/
1,146825487,65/65/100/,0.3863350762227192/0.3863350762227192/0.22732984755456162/,0/1/
1,144034357,84/84/277/,0.4754543311364045/0.4754543311364045/0.04909133772719098/,0/1/
2,133071022,50/53/50/,0.3398039776495762/0.32039204470084753/0.3398039776495762/,0/1/2/
2,141856394,74/65/74/,0.31785399416768056/0.3642920116646389/0.31785399416768056/,1/
2,151169040,81/222/315/,0.8085469227919541/0.14485402613913598/0.04659905106890989/,0/
2,169499011,164/1194/1792/,0.9980069704154395/0.0019412576150849752/5.1771969475577375E-5/,0/
2,189308978,2202/657/27880/,0.08722293848311925/0.9127770615168808/9.830725447778099E-19/,1/
0,126406342,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
0,137526918,53/51/70/,0.36227290397054573/0.37647789911809126/0.261249196911363/,0/1/
0,145754831,56/57/100/,0.4090432034237157/0.40192958945055685/0.18902720712572743/,0/1/
0,149759032,59/104/289/,0.6693422850481783/0.3161749077920016/0.014482807159820055/,0/
0,149421480,104/285/972/,0.8484338803035126/0.15134812281260707/2.1799688388028377E-4/,0/
1,129503167,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,137775315,56/56/53/,0.32710442071449247/0.32710442071449247/0.34579115857101506/,0/1/2/
1,133980820,70/53/50/,0.2580124274623045/0.3600853495930155/0.3819022229446798/,1/2/
1,142679231,100/56/56/,0.18769203841858234/0.4061539807907088/0.4061539807907088/,1/2/
1,141050155,60/66/70/,0.3629606426453475/0.32895920633813075/0.3080801510165218/,0/1/
2,135742289,56/50/53/,0.3139288571912815/0.3531219446718367/0.3329491981368819/,1/2/
2,138979823,100/56/59/,0.1916836052525183/0.4147914849323589/0.3935249098151228/,1/2/
2,150618525,289/88/107/,0.05465451268968319/0.5229358254660372/0.4224096618442795/,1/
2,161973147,1779/361/517/,0.011916528590504264/0.5988753414869268/0.3892081299225689/,1/
2,166312080,10170/1946/2894/,0.008986754789963252/0.6138103849575655/0.37720286025247135/,1/
0,128087710,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,139440667,56/61/70/,0.37061167340638174/0.33948695217216585/0.2899013744214525/,0/1/
0,139666667,68/80/100/,0.40497645733836773/0.340330053357161/0.2546934893044713/,0/
0,144594700,93/120/163/,0.4493933774743003/0.33719607319043804/0.21341054933526163/,0/
0,141604572,247/357/528/,0.5092168215660438/0.3267925331425165/0.16399064529143972/,0/
1,128467989,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
1,136511331,53/53/56/,0.33944798309499363/0.33944798309499363/0.32110403381001285/,0/1/2/
1,144242783,61/61/53/,0.3164872759462787/0.3164872759462787/0.36702544810744253/,2/
1,139529887,120/120/77/,0.2677034598820532/0.2677034598820532/0.46459308023589374/,2/
1,150970554,65/201/110/,0.6123423269077153/0.07799817455045281/0.309659498541832/,0/
2,131390215,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,127785680,56/53/50/,0.31392885719128144/0.3329491981368818/0.35312194467183666/,1/2/
2,132903905,70/61/50/,0.27224446834348776/0.3247874705155017/0.4029680611410105/,2/
2,139891431,163/120/50/,0.08005543722038488/0.18602045017392507/0.7339241126056901/,2/
2,141327072,289/201/59/,0.019398228902588414/0.08408670214254282/0.8965150689548688/,2/
0,123538249,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
0,129474313,53/51/56/,0.33521600655674466/0.3483600802490606/0.3164239131941947/,0/1/2/
0,132764806,61/56/70/,0.33948695217216585/0.37061167340638174/0.2899013744214525/,0/1/
0,137298812,120/93/163/,0.33719607319043804/0.4493933774743003/0.21341054933526163/,1/
0,138795458,201/146/289/,0.3329655695678405/0.48405026266570844/0.18298416776645102/,1/
1,132075644,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,136292190,53/51/56/,0.33521600655674466/0.3483600802490606/0.3164239131941947/,0/1/2/
1,137297287,61/56/53/,0.3070593496198232/0.33684862408043637/0.3560920262997404/,1/2/
1,153401508,57/66/77/,0.3899228337579419/0.3338782626972109/0.27619890354484733/,0/
1,150142350,61/88/110/,0.4760431368491392/0.3079768453739315/0.21598001777692946/,0/
2,146287969,56/53/56/,0.32710442071449247/0.34579115857101506/0.32710442071449247/,0/1/2/
2,146382758,50/50/289/,0.497705335796265/0.497705335796265/0.0045893284074700405/,0/1/
2,164217859,50/50/3221/,0.5/0.5/4.966745690710522E-28/,0/1/
2,165191206,181/303/116/,0.32306020325854673/0.11387526138177832/0.5630645353596749/,2/
2,189818432,3227/5239/738/,0.03323582279318275/0.00218372075105069/0.9645804564557666/,2/
0,129205195,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
0,132462857,53/61/56/,0.3560920262997404/0.3070593496198232/0.33684862408043637/,0/2/
0,135924693,60/80/68/,0.38497876635363687/0.2773608394598336/0.33766039418652943/,0/
0,140926870,77/120/93/,0.41827817286885505/0.2410163190835339/0.340705508047611/,0/
0,145819519,176/357/247/,0.49279968714049016/0.1772398512904391/0.32996046156907066/,0/
1,127445124,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,135100137,56/51/51/,0.31231877223642546/0.3438406138817872/0.3438406138817872/,0/1/2/
1,135494910,53/56/56/,0.34579115857101506/0.32710442071449247/0.32710442071449247/,0/1/2/
1,145733323,60/93/93/,0.46203233607188887/0.26898383196405556/0.26898383196405556/,0/
1,147120644,74/146/146/,0.5663201141866427/0.2168399429066786/0.2168399429066786/,0/
2,128749948,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
