Real_Goal,Time,Cost,Prob,Results
0,112110599,50/59/50/,0.3523330787056102/0.29533384258877954/0.3523330787056102/,0/2/
0,114404089,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,116724962,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,112849830,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,100442998,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,108863011,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,113534121,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,115184015,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,120088544,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,103279624,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,107954733,59/50/50/,0.29533384258877954/0.3523330787056102/0.3523330787056102/,1/2/
2,106441667,63/63/63/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,109547109,69/69/50/,0.289735010817791/0.289735010817791/0.4205299783644179/,2/
2,113015826,69/69/50/,0.289735010817791/0.289735010817791/0.4205299783644179/,2/
0,104980121,61/61/50/,0.30857406286040057/0.30857406286040057/0.382851874279199/,2/
0,106851256,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,109799359,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,123116606,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,116022745,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,100977115,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,107717670,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,110557084,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,119691316,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,117921907,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,108756499,54/50/50/,0.31613773249241023/0.34193113375379486/0.34193113375379486/,0/1/2/
2,111890094,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,116045450,69/50/50/,0.2562224091308084/0.3718887954345958/0.3718887954345958/,1/2/
2,114890747,66/66/50/,0.2968668070565973/0.2968668070565973/0.4062663858868054/,2/
2,115738251,66/66/50/,0.2968668070565973/0.2968668070565973/0.4062663858868054/,2/
0,106341194,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,104934561,60/79/50/,0.34416320875963685/0.23712014872492218/0.41871664251544105/,2/
0,111389565,50/57/50/,0.3482199706728124/0.3035600586543751/0.3482199706728124/,0/2/
0,115867253,50/57/50/,0.3482199706728124/0.3035600586543751/0.3482199706728124/,0/2/
0,122117190,50/57/50/,0.3482199706728124/0.3035600586543751/0.3482199706728124/,0/2/
1,107940972,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
1,113144240,65/50/50/,0.2714526638004373/0.36427366809978134/0.36427366809978134/,1/2/
1,119012699,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,121926206,50/69/50/,0.3718887954345958/0.2562224091308084/0.3718887954345958/,0/2/
1,119872309,50/69/50/,0.3718887954345958/0.2562224091308084/0.3718887954345958/,0/2/
2,107265750,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,101006051,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,110182851,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,120107527,50/65/50/,0.36427366809978134/0.2714526638004373/0.36427366809978134/,0/2/
2,125082153,69/84/69/,0.3562372832656528/0.28752543346869436/0.3562372832656528/,0/2/
0,110009737,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,114287078,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,113789828,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,118201998,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,116557744,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,102187819,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,109766533,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,115382206,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,113415406,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,123490823,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,98963305,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,112937952,59/100/50/,0.3787061588313655/0.16949764437577772/0.4517961967928567/,2/
2,117294546,59/59/50/,0.3131851573190976/0.3131851573190976/0.37362968536180485/,2/
2,113518451,59/59/50/,0.3131851573190976/0.3131851573190976/0.37362968536180485/,2/
2,117394332,59/59/50/,0.3131851573190976/0.3131851573190976/0.37362968536180485/,2/
0,99431284,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,110397263,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,107997290,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,110533170,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,118142822,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,104170677,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,107372692,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,110924063,50/65/50/,0.36427366809978134/0.2714526638004373/0.36427366809978134/,0/2/
1,114650829,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,123628858,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,103144597,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,111074136,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,112465974,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,111200298,50/71/50/,0.375589656691296/0.24882068661740805/0.375589656691296/,0/2/
