Real_Goal,Time,Cost,Prob,Results
0,156148392,91/91/91/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,185409282,91/404/454/,0.9499929430855061/0.031635523266006854/0.018371533648487145/,0/
0,208173387,2946/95/132/,7.533662703469834E-14/0.5951788699222632/0.4048211300776615/,1/2/
0,212062980,11924/12288/11584/,0.33346096685650856/0.3231465314266574/0.34339250171683405/,0/1/2/
0,230821292,96/91/91/,0.32136737114910136/0.3393163144254493/0.3393163144254493/,0/1/2/
1,163237247,91/91/91/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,231094539,454/91/132/,0.011651548371778429/0.6025021612782134/0.3858462903500082/,1/2/
1,193703913,266/327/297/,0.37228190626897323/0.29624504315809014/0.3314730505729367/,0/1/2/
1,207947420,7019/7670/7356/,0.34909334853977103/0.3181758820301713/0.3327307694300578/,0/1/2/
1,221966012,94/122/126/,0.4067108735744025/0.30288878943124375/0.29040033699435386/,0/1/2/
2,148300065,91/91/92/,0.3345388669949359/0.3345388669949359/0.33092226601012836/,0/1/2/
2,179995655,91/91/91/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,178764535,423/129/362/,0.08199001151729064/0.7869273177686473/0.13108267071406207/,1/
2,205180314,91/9821/2975/,0.9999999999999757/1.171218561657043E-46/2.4311519899621896E-14/,0/
2,210938026,91/91/91/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,155029511,91/91/91/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,161407319,101/92/101/,0.32241303255506176/0.35517393488987636/0.32241303255506176/,0/1/2/
0,164713657,115/93/202/,0.37593718984704605/0.4750711747308417/0.14899163542211213/,0/1/
0,183041631,176/181/175/,0.33583094803066427/0.3264245424458579/0.3377445095234778/,0/1/2/
0,176425939,317/93/340/,0.07923873734354328/0.8587209463914288/0.06204031626502788/,1/
1,155059366,91/91/91/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,162530531,91/94/94/,0.34061865875933645/0.3296906706203317/0.3296906706203317/,0/1/2/
1,195507724,139/91/91/,0.2288376166337926/0.38558119168310373/0.38558119168310373/,1/2/
1,194781111,741/732/91/,8.527772376387317E-4/9.404179919253919E-4/0.9982068047704359/,2/
1,193638300,95/95/1393/,0.4999996643270002/0.4999996643270002/6.71345999563611E-7/,0/1/
2,139278482,91/91/91/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,164447324,140/140/140/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,178207027,353/186/176/,0.1590521475103612/0.4085992901348364/0.43234856235480246/,1/2/
2,186716213,2870/128/1003/,5.864426445046638E-10/0.9988683488410612/0.0011316505724960316/,1/
2,189157406,6784/7824/4918/,0.30573956316211076/0.24747474895592328/0.446785687881966/,0/2/
0,146236242,91/91/91/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,156105607,140/140/140/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,166876449,96/96/353/,0.4829313607679693/0.4829313607679693/0.03413727846406137/,0/1/
