Obs,Real_Goal,STime,Cost,Prob,Results
1,0,150460946/15770161/9361276/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
3,0,112936404/19445793/11586442/,54/54/54/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
4,0,141965128/15240664/11780889/,53/50/65/,0.35076317346133185/0.3720152342310437/0.27722159230762433/,0/1/
6,0,111059595/19647575/17480444/,53/50/141/,0.4466930386204095/0.4737573039721275/0.07954965740746305/,0/1/
8,0,105570244/13198945/15327133/,60/50/425/,0.45097825363158506/0.5486702105336727/3.5153583474241895E-4/,1/
1,1,106517912/14734714/12740917/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
3,1,112324175/23010263/12468931/,70/61/54/,0.2844603094161391/0.3350333561648165/0.3805063344190445/,2/
5,1,115027074/31716525/18698705/,163/120/90/,0.2068474423354055/0.33179224352723435/0.46136031413736006/,2/
7,1,130771160/40043410/26939763/,528/64/53/,8.331742037432048E-5/0.44921201455273385/0.5507046680268918/,2/
10,1,121468510/33705411/11960700/,3221/86/81/,1.207001997743229E-17/0.48476081890642025/0.5152391810935797/,1/2/
2,2,106672683/17881491/14227629/,53/50/51/,0.3225200078952674/0.34206087000915686/0.3354191220955758/,0/1/2/
4,2,110929682/17248438/10755572/,80/65/51/,0.24503737016693358/0.32697125723438053/0.42799137259868586/,2/
7,2,111744035/23592034/10416656/,357/86/81/,0.017481470437196844/0.47628648698159637/0.5062320425812068/,1/2/
10,2,123223709/26702191/6086336/,2125/376/51/,4.758762693309873E-18/0.0019267346633274752/0.9980732653366725/,2/
13,2,125357527/32523583/9835248/,11727/2074/71/,4.926617828052032E-71/8.282640052340491E-13/0.9999999999991717/,2/
2,0,106378572/17702548/9554891/,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
4,0,108872815/19514256/10395533/,53/60/56/,0.3540599834512493/0.3110136226420688/0.3349263939066819/,0/2/
6,0,117783314/19256884/9501051/,81/69/54/,0.25789054726401067/0.3207676655308355/0.42134178720515375/,2/
9,0,128871060/26296939/14708764/,75/57/144/,0.3747814750645793/0.5111627080306391/0.11405581690478156/,1/
12,0,132746027/13966328/13868111/,67/68/744/,0.5036643676152112/0.496311734665312/2.3897719476852904E-5/,0/1/
1,1,96146169/13267691/11130985/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
3,1,113180541/24967784/17579317/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
4,1,124522164/24356689/18015329/,51/56/56/,0.3550318723407692/0.3224840638296153/0.3224840638296153/,0/1/2/
6,1,116564359/36708113/17580428/,55/100/100/,0.527578044921821/0.2362109775390895/0.2362109775390895/,0/
8,1,110787544/24609547/11247284/,62/66/277/,0.5072450496994031/0.4760401293675413/0.016714820933055586/,0/1/
2,2,102025816/17263945/12250392/,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
4,2,107204416/29294186/10983238/,100/100/50/,0.2143392379333584/0.2143392379333584/0.5713215241332831/,2/
6,2,107644872/43865788/24715394/,289/289/74/,0.051076889785869335/0.051076889785869335/0.8978462204282613/,2/
8,2,107274398/38342052/19088387/,972/78/78/,6.0854555966735435E-6/0.4999969572722016/0.4999969572722016/,1/2/
11,2,103358400/49732094/20182284/,5758/245/69/,4.682450601756099E-36/0.07486274678346595/0.9251372532165341/,2/
1,0,110839811/16114392/13683191/,50/51/50/,0.33550481664848303/0.32899036670303383/0.33550481664848303/,0/1/2/
3,0,112809394/14363960/9959700/,61/52/50/,0.29122998079771845/0.3474371743055168/0.36133284489676465/,1/2/
5,0,109807756/25246830/11864530/,52/52/70/,0.3687262655621035/0.3687262655621035/0.26254746887579317/,0/1/
7,0,112227548/20143464/9056349/,52/52/161/,0.4699496415551461/0.4699496415551461/0.06010071688970773/,0/1/
