Obs,Real_Goal,STime,Cost,Prob,Results
4,0,127344304/12943176/10154646/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
10,0,142205774/12145862/7693369/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
17,0,134747821/9927152/12002973/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
24,0,149816554/10111637/9419893/,50/86/50/,0.4010149225095337/0.1979701549809325/0.4010149225095337/,0/2/
33,0,146613259/12595185/10111327/,50/74/50/,0.38100539832523905/0.23798920334952192/0.38100539832523905/,0/2/
3,1,112190643/8966500/6661401/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
9,1,117456907/12402269/7174630/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
14,1,124249836/9167562/10338665/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
20,1,129295015/10680594/7919833/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
28,1,138761152/11475423/9074303/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
3,2,110533041/8951934/7707855/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
8,2,122729299/9343232/8569095/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
12,2,137912324/12755999/9358269/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
17,2,125126235/10527837/9773421/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
24,2,133301796/9743114/8056267/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
4,0,117702864/9597492/8314376/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
11,0,117993727/12952289/9434748/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
17,0,125194519/10201714/10184539/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
24,0,132137640/15363278/11017586/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
34,0,141547004/14642787/10087010/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
4,1,114842092/12787533/8429414/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
12,1,172902061/13945799/10514097/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
20,1,136635874/13070493/9406155/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
28,1,135292405/11466329/10150201/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
39,1,143455619/16406920/11900813/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,107003469/11224703/5958386/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
9,2,120980490/14058885/11248039/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
15,2,136419010/10927469/7073365/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
21,2,124235069/13143834/12939162/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
29,2,130814241/12843989/13114982/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
6,0,117963999/8920018/6967126/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
16,0,124941197/10410959/9960224/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
