Real_Goal,Time,Cost,Prob,Results
0,158444551,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
0,168722066,51/61/50/,0.3518959496397583/0.28924008955071007/0.35886396080953153/,0/2/
0,160413077,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
0,170692976,77/56/74/,0.2857557803763861/0.4130458417978977/0.3011983778257161/,1/
0,165246276,56/56/181/,0.4735782503407334/0.4735782503407334/0.05284349931853318/,0/1/
1,146417879,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,174886975,70/50/50/,0.25250358864793193/0.37374820567603406/0.37374820567603406/,1/2/
1,149816589,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
1,176064091,70/50/60/,0.2705047906381162/0.40039304260634806/0.3291021667555358/,1/
1,197425403,208/92/57/,0.045663558031340555/0.3374105919703506/0.6169258499983089/,2/
2,160924823,53/53/51/,0.32903279161733134/0.32903279161733134/0.3419344167653373/,0/1/2/
2,150177276,80/50/55/,0.22555827791851885/0.4061870867772781/0.36825463530420316/,1/2/
2,158084365,357/50/55/,0.0012732145665026303/0.5238224025060807/0.47490438292741655/,1/2/
2,181148975,2125/92/104/,1.7073203611768412E-10/0.5322133825697625/0.4677866172595055/,1/
2,193880830,11727/58/505/,1.2739784518627982E-86/0.999487793925036/5.122060749640814E-4/,1/
0,148530570,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
0,193323436,56/56/53/,0.32710442071449247/0.32710442071449247/0.34579115857101506/,0/1/2/
0,182484041,68/68/81/,0.3535719664122806/0.3535719664122806/0.2928560671754388/,0/1/
0,192778359,65/71/338/,0.5183813962226613/0.4733344241983114/0.008284179579027232/,0/1/
0,207668970,75/149/153/,0.5760323333560812/0.21756106786065701/0.20640659878326195/,0/
1,145920170,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,169106060,51/54/50/,0.33753286282920664/0.31825067153011033/0.34421646564068303/,0/1/2/
1,188196854,51/65/50/,0.35974511282370736/0.27338633923776484/0.36686854793852774/,0/2/
1,174377726,60/62/59/,0.33511812433294214/0.3241316454181523/0.3407502302489056/,0/1/2/
1,181509315,51/110/120/,0.6301840278290605/0.20263300784238758/0.16718296432855206/,0/
2,156878756,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
2,193897413,100/100/53/,0.22790490137079322/0.22790490137079322/0.5441901972584136/,2/
2,163246549,62/64/69/,0.3492117714051401/0.3382998056471484/0.31248842294771145/,0/1/
2,202940453,69/92/72/,0.3734130302439002/0.2688392717223312/0.35774769803376855/,0/2/
2,178930059,215/343/72/,0.12099607227859079/0.02095408105226871/0.8580498466691405/,2/
0,187162974,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,173220962,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
