Obs,Real_Goal,STime,Cost,Prob,Results
2,0,112327818/13304529/9845923/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
4,0,123696448/21634477/8268479/,51/51/56/,0.3438406138817872/0.3438406138817872/0.31231877223642546/,0/1/2/
6,0,133864872/22980571/16444572/,51/51/100/,0.4184577660140189/0.4184577660140189/0.16308446797196222/,0/1/
8,0,129924372/16565495/15271713/,51/51/277/,0.49678171151880873/0.49678171151880873/0.006436576962382462/,0/1/
11,0,138881309/26751975/24977511/,68/68/151/,0.43472166275123403/0.43472166275123403/0.13055667449753194/,0/1/
2,1,114903763/24008258/8640362/,56/50/56/,0.3200156642329245/0.35996867153415113/0.3200156642329245/,1/
6,1,119485041/31663772/11392663/,289/50/289/,0.009054001456680819/0.9818919970866383/0.009054001456680819/,1/
10,1,119819360/44284514/9441151/,3221/50/3221/,9.933491381421044E-28/1.0/9.933491381421044E-28/,1/
14,1,122777603/28573198/11522881/,141/50/116/,0.11643981417006222/0.693456316897336/0.19010386893260164/,1/
20,1,118777761/17540058/12373300/,414/82/519/,0.01789537109990115/0.9770541562111962/0.005050472688902654/,1/
1,2,116478730/13343597/7168088/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,121420389/14676217/7909448/,50/50/54/,0.34193113375379486/0.34193113375379486/0.31613773249241023/,0/1/2/
5,2,112815078/17858069/7657418/,70/57/50/,0.26521646389558046/0.342218115440535/0.3925654206638846/,2/
7,2,110474668/21208956/7987196/,65/61/50/,0.2920960933137002/0.3159279582490381/0.3919759484372618/,2/
9,2,106659897/25372122/6412366/,65/80/63/,0.35425711432411905/0.28024044341231524/0.36550244226356576/,0/2/
2,0,122899969/13202617/5649505/,53/51/56/,0.33521600655674466/0.3483600802490606/0.3164239131941947/,0/1/2/
4,0,122339613/16280985/8185957/,80/68/100/,0.340330053357161/0.40497645733836773/0.2546934893044713/,1/
6,0,115399907/17087306/9489968/,201/146/289/,0.3329655695678405/0.48405026266570844/0.18298416776645102/,1/
8,0,119295116/19619707/9172655/,648/70/70/,1.4567420012131371E-4/0.4999271628999393/0.4999271628999393/,1/2/
11,0,125674580/20213913/7519648/,94/218/110/,0.4725676478458468/0.12811364849241294/0.39931870366174027/,0/
1,1,110367599/16869796/14620117/,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
3,1,111601898/18210770/7626547/,51/50/61/,0.3518959496397583/0.35886396080953153/0.28924008955071007/,0/1/
4,1,111865785/13875236/8954880/,57/56/80/,0.3723464509862965/0.37893648313648753/0.24871706587721595/,0/1/
6,1,114299341/13850783/10250462/,104/100/201/,0.41268768184887467/0.42935970851945493/0.15795260963167046/,0/1/
8,1,117032100/13572300/10006842/,86/84/648/,0.4937898836740302/0.5055462368219799/6.638795039899668E-4/,0/1/
2,2,121695204/18606156/7136106/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
6,2,119475665/19193549/9881058/,59/62/62/,0.3445354618357616/0.3277322690821193/0.3277322690821193/,0/1/2/
10,2,170695534/22932016/14008562/,76/56/59/,0.2654064741793131/0.37696023658167815/0.35763328923900867/,1/2/
14,2,145505886/21915718/8494775/,269/80/59/,0.01740598090757297/0.40618709455377866/0.5764069245386483/,2/
20,2,174889784/23849755/17194217/,566/363/326/,0.20227807387322325/0.37631947911617875/0.4214024470105979/,2/
1,0,132403196/13040061/6160655/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
2,0,111097761/12329396/7850267/,50/50/56/,0.3461393630355498/0.3461393630355498/0.3077212739289003/,0/1/
3,0,119744569/16404558/9601619/,50/50/70/,0.37374820567603406/0.37374820567603406/0.25250358864793193/,0/1/
4,0,137914635/36179580/18666475/,50/50/100/,0.4210235682097254/0.4210235682097254/0.15795286358054916/,0/1/
5,0,119381319/13795467/14538900/,50/50/58/,0.3502846123015536/0.3502846123015536/0.29943077539689283/,0/1/
2,1,122751758/17880371/10683568/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
5,1,117986232/17859607/9860720/,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
7,1,119070145/24525429/13555872/,59/59/161/,0.4581516234397706/0.4581516234397706/0.08369675312045878/,0/1/
10,1,115952016/27077106/8585419/,59/59/887/,0.4999997460922612/0.4999997460922612/5.078154776245553E-7/,0/1/
14,1,119876361/29962863/25616141/,59/59/149/,0.4498162176582742/0.4498162176582742/0.10036756468345168/,0/1/
1,2,112025414/15113939/9612916/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,133470417/18115922/10299958/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
5,2,116149310/17612989/8876032/,57/50/50/,0.3035600586543751/0.3482199706728124/0.3482199706728124/,1/2/
7,2,122575296/16418176/5126255/,110/79/50/,0.1644906056240724/0.3020814240701546/0.533427970305773/,2/
9,2,162513096/21973545/7986362/,315/61/50/,0.003057223233443639/0.4449221045117877/0.5520206722547687/,2/
1,0,111269685/12460172/5763302/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
2,0,134170529/12945131/5092052/,50/53/56/,0.3531219446718367/0.3329491981368819/0.3139288571912815/,0/1/
3,0,114690646/16147766/4979993/,50/52/70/,0.3791984725154459/0.3646157487547968/0.2561857787297573/,0/1/
5,0,118749521/23205897/7006075/,50/52/163/,0.4829466874465197/0.4643741491991082/0.05267916335437205/,0/1/
6,0,131551326/15187807/5372788/,50/52/289/,0.5074173584482924/0.48790375882716436/0.004678882724543279/,0/1/
1,1,114264424/12221503/6924299/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,1,126049791/16753906/7907824/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
5,1,137811085/28259483/15061174/,54/57/57/,0.34556268949824465/0.32721865525087773/0.32721865525087773/,0/1/2/
7,1,125361069/18498403/7003565/,60/63/74/,0.364042251787494/0.3465716604008072/0.2893860878116988/,0/1/
10,1,119296150/22789476/7591051/,69/71/128/,0.416265716020139/0.40454070757751415/0.17919357640234682/,0/1/
1,2,140688187/11270292/7386563/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,196673011/30845359/17101504/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
5,2,121924626/14885571/8603222/,50/54/54/,0.35098421032717386/0.32450789483641307/0.32450789483641307/,0/1/2/
7,2,138047335/11819556/11020260/,50/55/88/,0.41993849333957195/0.3807218440692471/0.199339662591181/,0/1/
9,2,115388345/13409730/10487246/,50/55/222/,0.5152207973922068/0.4671060529032588/0.01767314970453438/,0/1/
1,0,110595025/12070763/7548049/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,0,142435424/27300594/11668988/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,0,120555765/20952342/8255397/,50/50/52/,0.3376617865619698/0.3376617865619698/0.32467642687606046/,0/1/2/
5,0,106009941/11568063/12885544/,50/50/60/,0.35436517010321616/0.35436517010321616/0.29126965979356767/,0/1/
6,0,108786384/14644431/18980246/,50/50/57/,0.3482199706728124/0.3482199706728124/0.3035600586543751/,0/1/
2,1,112263943/19888553/8406042/,56/50/56/,0.3200156642329245/0.35996867153415113/0.3200156642329245/,1/
4,1,112107865/22361923/12272018/,53/53/52/,0.33123034649646926/0.33123034649646926/0.33753930700706153/,0/1/2/
6,1,184173409/29073160/14696455/,53/63/62/,0.37349219592733596/0.31035348583090955/0.3161543182417545/,0/
9,1,147567692/26459645/11941694/,77/67/67/,0.3014913989291763/0.34925430053541184/0.34925430053541184/,1/2/
