Real_Goal,Time,Cost,Prob,Results
0,257380009,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,212753980,53/56/70/,0.37370834692002314/0.3535129493784903/0.2727787037014866/,0/1/
0,250187649,53/60/163/,0.49780089878213774/0.4372786197851362/0.06492048143272612/,0/
0,181314956,53/66/528/,0.5598487614121118/0.44006653773585486/8.470085203334034E-5/,0/
0,215294393,53/89/95/,0.5068827214621661/0.2602422665405051/0.23287501199732874/,0/
1,177318211,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
1,215442294,70/61/70/,0.3168340880154897/0.36633182396902075/0.3168340880154897/,1/
1,236169413,163/53/163/,0.10343555043047438/0.7931288991390513/0.10343555043047438/,1/
1,249902241,64/59/528/,0.4790781697596551/0.5207120027489879/2.098274913570128E-4/,0/1/
1,239181038,84/108/77/,0.35347739218211066/0.2598558934444444/0.3866667143734451/,0/2/
2,206754107,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,212467780,70/70/54/,0.29961263311727326/0.29961263311727326/0.4007747337654535/,2/
2,209864856,100/100/65/,0.27031065507642865/0.27031065507642865/0.4593786898471428/,2/
2,333480815,289/289/59/,0.020739858696903493/0.020739858696903493/0.958520282606193/,2/
2,265957296,972/972/59/,2.463119144421308E-7/2.463119144421308E-7/0.999999507376171/,2/
0,210660627,56/56/51/,0.3224840638296153/0.3224840638296153/0.3550318723407692/,0/1/2/
0,257092170,100/100/60/,0.25467563918366753/0.25467563918366753/0.4906487216326648/,2/
0,216881792,289/289/74/,0.051076889785869335/0.051076889785869335/0.8978462204282613/,2/
0,254641843,1779/1779/252/,0.002380735120851732/0.002380735120851732/0.9952385297582965/,2/
0,209942539,10170/10170/1297/,0.0010721941982690603/0.0010721941982690603/0.9978556116034618/,2/
1,218554952,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,208421172,61/54/61/,0.3189053414245498/0.3621893171509004/0.3189053414245498/,1/
1,213521438,120/90/120/,0.2949409101457381/0.4101181797085239/0.2949409101457381/,1/
1,221249112,69/239/71/,0.4854379384518363/0.04279751417243243/0.47176454737573137/,0/2/
1,244778143,131/767/135/,0.505501634351299/0.004085194961684089/0.4904131706870169/,0/2/
2,225147267,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,234880143,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
2,220997986,100/100/56/,0.24015725988861727/0.24015725988861727/0.5196854802227655/,2/
2,226841372,163/163/70/,0.1752648151951823/0.1752648151951823/0.6494703696096354/,2/
2,210616436,71/528/58/,0.4450513416391741/1.9251656791186478E-4/0.554756141792914/,2/
0,163532789,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,215093292,54/70/70/,0.4007747337654535/0.29961263311727326/0.29961263311727326/,0/
0,216703568,65/100/100/,0.45937868984714275/0.2703106550764286/0.2703106550764286/,0/
0,266867222,90/163/163/,0.5272356701219932/0.2363821649390034/0.2363821649390034/,0/
0,266532260,71/61/528/,0.45963163061186657/0.5400791420827744/2.8922730535894134E-4/,1/
1,250346644,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
1,180666017,56/56/70/,0.35942468042350306/0.35942468042350306/0.2811506391529939/,0/1/
1,270019194,68/56/100/,0.3565398636384192/0.44008697104910965/0.20337316531247107/,1/
1,207883113,66/61/64/,0.3208449584038635/0.3477915034171203/0.3313635381790161/,0/1/2/
1,250955717,68/66/115/,0.3958600276195712/0.407854881865535/0.1962850905148939/,0/1/
2,210029359,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,228511651,70/70/56/,0.3050262786788956/0.3050262786788956/0.3899474426422088/,2/
2,197557656,163/163/93/,0.24355971642265864/0.24355971642265864/0.5128805671546827/,2/
2,250999891,528/528/247/,0.19588033335444097/0.19588033335444097/0.608239333291118/,2/
2,207131698,1779/1779/784/,0.18011468627127258/0.18011468627127258/0.6397706274574548/,2/
0,195004397,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
0,220646585,50/51/56/,0.3484814859990372/0.34171506988574785/0.3098034441152147/,0/1/
0,302999111,50/56/70/,0.38992315433434105/0.3466454919598828/0.2634313537057762/,0/
0,333137352,50/93/163/,0.6495881748722205/0.27955563651182275/0.07085618861595673/,0/
0,342935971,50/146/289/,0.8609908956779542/0.1310699288864718/0.007939175435574188/,0/
1,198722401,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,214314446,53/70/61/,0.3857686266149734/0.2815817916939791/0.3326495816910475/,0/
1,194466499,53/56/80/,0.3917742869160023/0.37060259638238824/0.2376231167016094/,0/1/
1,232936408,81/61/201/,0.3960332305621658/0.5467976288650589/0.05716914057277525/,1/
1,242707685,64/108/648/,0.6629965222877687/0.33692038893518694/8.308877704416718E-5/,0/
2,176611359,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
2,354251770,61/70/51/,0.3275341972961515/0.2754801418985362/0.3969856608053122/,2/
2,342538650,120/163/59/,0.23516443737356849/0.1148490131151403/0.6499865495112912/,2/
2,242222375,357/528/114/,0.10526933571597563/0.023797145730987117/0.8709335185530374/,2/
2,234333681,1177/74/62/,1.1273059158616343E-8/0.45252439977261766/0.5474755889543231/,2/
0,213248519,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,206372922,56/56/70/,0.35942468042350306/0.35942468042350306/0.2811506391529939/,0/1/
0,235837900,68/68/100/,0.3803858781882632/0.3803858781882632/0.2392282436234737/,0/1/
0,273728855,58/146/289/,0.8032356849248898/0.18075142641688435/0.016012888658225723/,0/
0,235342667,58/437/972/,0.9983798474480031/0.0016199657369736643/1.8681502324770854E-7/,0/
1,202242253,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,211934755,54/70/70/,0.4007747337654535/0.29961263311727326/0.29961263311727326/,0/
1,214957420,65/55/100/,0.36619711988077963/0.43779168661229434/0.19601119350692603/,1/
1,237202399,90/59/163/,0.33640061908923974/0.5639521655803142/0.09964721533044607/,1/
1,222799939,59/65/528/,0.5248681531918279/0.47492034454339604/2.1150226477594593E-4/,0/1/
2,196301069,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,221794180,70/70/51/,0.29060743755181756/0.29060743755181756/0.4187851248963649/,2/
2,253732409,100/100/57/,0.24397215229935376/0.24397215229935376/0.5120556954012924/,2/
2,223639882,289/68/104/,0.024872060921729278/0.6119457733125989/0.3631821657656718/,1/
2,217927077,972/67/60/,1.6986953530949417E-7/0.47134283601808097/0.5286569941123836/,2/
0,213619196,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
0,236324536,51/61/70/,0.3969856608053122/0.3275341972961515/0.2754801418985362/,0/
0,209453304,51/55/100/,0.43183701005717756/0.3998642636302168/0.16829872631260556/,0/1/
0,202211283,51/65/163/,0.5319137795716801/0.4063645399925462/0.06172168043577362/,0/
0,161108291,51/75/71/,0.4327083207235765/0.27274176050219295/0.2945499187742304/,0/
1,230720674,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,212841982,51/70/70/,0.4187851248963649/0.29060743755181756/0.29060743755181756/,0/
1,218609371,57/100/100/,0.5120556954012924/0.24397215229935376/0.24397215229935376/,0/
1,253173598,104/289/289/,0.7443605703606264/0.12781971481968676/0.12781971481968676/,0/
1,264959461,78/80/67/,0.3178033278723984/0.3085922915788176/0.3736043805487839/,2/
2,203258722,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,248123237,70/54/54/,0.27208767259689687/0.3639561637015516/0.3639561637015516/,1/2/
2,279309689,100/65/50/,0.17693468429942596/0.3514456790878004/0.4716196366127737/,2/
2,247392739,163/56/57/,0.07165059575564044/0.4682463056038456/0.46010309864051385/,1/2/
2,260442685,528/92/61/,3.3323309185144637E-4/0.37741485975378214/0.6222519071543663/,2/
0,202231231,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,182807710,70/52/52/,0.26254746887579317/0.3687262655621035/0.3687262655621035/,1/2/
0,226125563,100/59/52/,0.17727078092164153/0.38423844290382064/0.43849077617453774/,2/
0,205966828,57/74/60/,0.37098376361190033/0.2767334724122784/0.3522827639758212/,0/2/
0,231249734,63/67/71/,0.3543699169221849/0.3328997290248267/0.31273035405298855/,0/1/
1,179475005,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,198183164,61/54/70/,0.33503335616481644/0.3805063344190444/0.28446030941613903/,1/
1,195590725,80/65/100/,0.3340293552156856/0.419264340922669/0.24670630386164538/,1/
1,206283755,120/90/163/,0.3317922435272344/0.4613603141373601/0.20684744233540553/,1/
1,221784509,75/78/528/,0.5091976873765821/0.4894893186449759/0.00131299397844203/,0/1/
2,194866814,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,174172947,70/70/52/,0.293736004362442/0.293736004362442/0.41252799127511597/,2/
2,220889456,163/163/74/,0.18953240892483195/0.18953240892483195/0.620935182150336/,2/
2,223985518,528/528/56/,2.532310247149734E-4/2.532310247149734E-4/0.99949353795057/,2/
2,243089289,1779/1779/101/,7.168527102148035E-8/7.168527102148035E-8/0.9999998566294579/,2/
