Obs,Real_Goal,STime,Cost,Prob,Results
2,0,195088695/26390916/22557974/,53/51/51/,0.3248418044242478/0.3375790977878761/0.3375790977878761/,0/1/2/
6,0,205105690/30833852/28715050/,72/56/51/,0.2592113400497633/0.35260061755886085/0.3881880423913759/,1/2/
10,0,299355319/43611568/38383616/,422/74/66/,0.0026025448150870803/0.4689609919249155/0.5284364632599974/,2/
14,0,220661033/32672715/36708901/,209/66/135/,0.0801987904617017/0.6777895160535718/0.24201169348472637/,1/
19,0,251177631/36049462/51830579/,556/66/113/,4.453859382775409E-4/0.6682208550098878/0.3313337590518346/,1/
2,1,175890043/27099521/22245496/,56/53/56/,0.32710442071449247/0.34579115857101506/0.32710442071449247/,0/1/2/
6,1,207029699/37319805/33948476/,56/57/81/,0.3805826569641282/0.3739639964317894/0.24545334660408247/,0/1/
10,1,178940755/36266039/25278290/,252/74/68/,0.03498310196149711/0.46154302986056284/0.50347386817794/,1/2/
14,1,185592086/37672704/34291571/,279/99/242/,0.11768330418640037/0.7119425027749946/0.17037419303860518/,1/
19,1,197598855/53080723/58367599/,104/152/159/,0.4493675337020408/0.28449004346474327/0.2661424228332159/,0/
4,2,152418187/23599823/11602141/,50/100/100/,0.5713215241332831/0.2143392379333584/0.2143392379333584/,0/
10,2,160309097/29430161/11921245/,50/3221/3221/,1.0/9.933491381421044E-28/9.933491381421044E-28/,0/
17,2,200455953/41470680/24415769/,424/142/157/,0.06823631382995389/0.4902938258689466/0.4414698603010995/,1/2/
24,2,205010219/56689334/37291222/,186/208/175/,0.33932912497245094/0.29945690174492906/0.3612139732826199/,0/2/
33,2,227946393/68873602/43342942/,435/461/261/,0.2598541452270181/0.23530530766470362/0.5048405471082782/,2/
3,0,147049851/17447430/29277681/,61/70/70/,0.36633182396902075/0.3168340880154897/0.3168340880154897/,0/
9,0,163998936/23916321/28376789/,206/1779/1779/,0.9989991323495451/5.004338252275486E-4/5.004338252275486E-4/,0/
14,0,176348647/37052666/39515184/,96/104/115/,0.3645711102259311/0.33570990041371424/0.2997189893603547/,0/1/
19,0,194698218/41119349/45558627/,145/170/176/,0.37717003320492926/0.31781302098224257/0.3050169458128282/,0/
27,0,184661522/47966803/52875583/,188/239/202/,0.37145673256594297/0.28360746615973653/0.34493580127432055/,0/2/
2,1,143433077/21942544/15091716/,51/50/53/,0.3354191220955758/0.34206087000915686/0.3225200078952674/,0/1/2/
5,1,187122307/26467341/22388880/,63/62/66/,0.3367574135422685/0.3421454181275806/0.3210971683301509/,0/1/2/
8,1,163169668/33003055/25566349/,108/74/61/,0.20556669150457313/0.355724875673528/0.4387084328218989/,2/
12,1,171200364/27430579/29890137/,68/58/84/,0.3393077932426377/0.401978725485311/0.2587134812720513/,1/
16,1,176992098/35374729/39647585/,81/71/171/,0.41059310106294095/0.4717700059248257/0.1176368930122334/,1/
3,2,145540961/23891492/16638017/,61/70/50/,0.3247874705155017/0.27224446834348776/0.4029680611410105/,2/
7,2,201965140/36983883/25956749/,357/65/62/,0.004715560598449437/0.48579583388366165/0.509488605517889/,1/2/
11,2,184801362/43445525/40813753/,158/80/72/,0.13968180255888/0.40661229837883117/0.4537058990622888/,2/
15,2,185034299/37815543/43118535/,144/117/105/,0.2677498435916446/0.3454231220533321/0.3868270343550234/,2/
21,2,226092266/38575111/43377025/,182/131/122/,0.24139698439975357/0.3654308114077474/0.393172204192499/,1/2/
2,0,132640945/17750514/17110420/,53/56/53/,0.33944798309499363/0.32110403381001285/0.33944798309499363/,0/1/2/
6,0,162811497/23408100/21717389/,74/59/60/,0.281942081113407/0.36202079818345145/0.3560371207031414/,1/2/
9,0,182598523/26177102/30162975/,75/74/68/,0.32037193294731564/0.32504881301390265/0.3545792540387817/,0/1/2/
13,0,177389459/30207984/33091224/,255/74/79/,0.044205123237107805/0.4938214556468153/0.46197342111607687/,1/2/
18,0,186491404/24413543/37899543/,239/74/320/,0.09648217290013715/0.870752912878475/0.03276491422138799/,1/
3,1,149190524/14472156/17755926/,52/70/70/,0.412527991275116/0.29373600436244207/0.29373600436244207/,0/
8,1,164802037/16271991/39067363/,97/972/66/,0.3863483714482748/8.226645674022627E-7/0.6136508058871579/,2/
13,1,199480948/28065801/42241407/,98/98/107/,0.3432768370865712/0.3432768370865712/0.31344632582685766/,0/1/2/
18,1,468063030/66429851/59670107/,98/113/89/,0.3387932527843285/0.28678229699818025/0.37442445021749127/,0/2/
25,1,186301202/31064427/53165690/,117/210/154/,0.45755434049622573/0.2080461773356084/0.33439948216816595/,0/
2,2,131661634/22593308/20306354/,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
5,2,146542780/23658721/22160360/,53/57/50/,0.33499114084617754/0.309721254421983/0.3552876047318394/,0/2/
8,2,146870127/27609131/23464789/,53/81/62/,0.4095199133829425/0.2438289639596095/0.346651122657448/,0/
11,2,149230165/32382319/20569281/,62/81/68/,0.3775294908560564/0.27923714015619483/0.3432333689877488/,0/2/
15,2,158206576/39596111/28219162/,62/119/68/,0.43219046951060125/0.17488078058392398/0.3929287499054747/,0/2/
2,0,131703866/22115396/18947938/,51/56/51/,0.3438406138817872/0.31231877223642546/0.3438406138817872/,0/1/2/
5,0,173457341/34033625/23145331/,57/56/59/,0.3352083351429812/0.3411410725163409/0.32365059234067783/,0/1/2/
7,0,270175934/41553345/45469050/,71/92/114/,0.4352830455770546/0.32516405263448345/0.23955290178846195/,0/
10,0,152192052/37645812/34815331/,64/399/573/,0.9938634281329097/0.005741690316034746/3.9488155105544615E-4/,0/
14,0,188707419/52580012/45310063/,64/140/96/,0.5203400813215973/0.161620635218673/0.3180392834597297/,0/
2,1,205240541/45935830/45056038/,56/50/51/,0.3098034441152148/0.34848148599903733/0.34171506988574796/,1/2/
4,1,157879117/25991973/20386140/,54/56/57/,0.3435003665020904/0.33123382378852934/0.3252658097093802/,0/1/2/
6,1,220091832/32736273/31728947/,54/54/58/,0.3413138901019762/0.3413138901019762/0.3173722197960475/,0/1/2/
9,1,227916408/45410417/41701491/,67/69/73/,0.34643288683235623/0.33639206719945414/0.3171750459681897/,0/1/2/
12,1,193440944/28933349/27914730/,78/96/85/,0.36880638089020384/0.29366031025053735/0.33753330885925886/,0/2/
2,2,175199104/56000351/24224796/,56/56/53/,0.32710442071449247/0.32710442071449247/0.34579115857101506/,0/1/2/
5,2,159247303/21143787/23130630/,53/77/52/,0.3766658314481283/0.2394939647026899/0.3838402038491818/,0/2/
8,2,152091349/22463027/23087190/,66/69/58/,0.323035021258926/0.3070201205431855/0.36994485819788847/,2/
12,2,165274425/29829585/21834082/,53/78/58/,0.39354883003503954/0.24770590827926808/0.35874526168569243/,0/2/
16,2,191838151/33163250/31791939/,68/116/73/,0.4117177310090714/0.20534383575713475/0.38293843323379384/,0/2/
2,0,171966214/23752841/17248960/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
5,0,157568995/24068849/21406481/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
8,0,159296915/23977551/27002670/,141/71/56/,0.11290273371889359/0.38552146019815536/0.501575806082951/,2/
11,0,184955512/33031392/26498581/,64/74/66/,0.3537189532821432/0.30328001682543865/0.3430010298924182/,0/2/
15,0,153786716/46036720/33123786/,64/74/80/,0.3789018568277954/0.3248719370213202/0.29622620615088435/,0/
2,1,138920064/32738203/27478591/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
6,1,168454735/24541952/21380097/,59/65/72/,0.36899882332993333/0.33388394256016407/0.2971172341099025/,0/1/
9,1,199112709/33129896/36364574/,71/181/122/,0.5849726332001213/0.12694923568137234/0.2880781311185065/,0/
13,1,178349021/36996586/30230909/,80/137/82/,0.4047992217280883/0.2002742128322846/0.3949265654396271/,0/2/
18,1,179125299/40150309/29819746/,97/138/99/,0.379086682471942/0.24948468876644883/0.3714286287616091/,0/2/
2,2,135956174/20465421/15094333/,53/50/56/,0.3329491981368819/0.3531219446718367/0.3139288571912815/,0/1/
6,2,204003615/27502273/26114029/,59/100/60/,0.4018642427093952/0.20291374627427264/0.39522201101633225/,0/2/
9,2,168042628/28391662/37961855/,201/86/64/,0.06624460952110343/0.3886133401380329/0.5451420503408636/,2/
13,2,179818704/41405464/37635712/,101/86/64/,0.24835613661301773/0.3128215754612793/0.43882228792570294/,2/
18,2,171751039/41414267/38768241/,200/134/95/,0.16738682031364305/0.33288844147198016/0.4997247382143768/,2/
3,0,158708066/33773444/22046374/,50/70/70/,0.4253154096331565/0.2873422951834218/0.2873422951834218/,0/
8,0,216187564/38710159/47896051/,50/972/71/,0.6015109415386216/8.46994411870063E-9/0.39848904999143414/,0/
13,0,248544832/40657284/41668602/,72/128/196/,0.6070610101121245/0.2818869232753423/0.1110520666125331/,0/
18,0,159523182/37064845/41602682/,86/143/115/,0.44725042965252465/0.23228063383386172/0.32046893651361374/,0/
25,0,150907020/39106499/39522636/,86/227/115/,0.5223859146471176/0.10330822130549579/0.37430586404738675/,0/
2,1,164802728/23645660/24216487/,50/56/50/,0.3461393630355498/0.3077212739289003/0.3461393630355498/,0/2/
6,1,153994819/29633538/27190614/,69/88/58/,0.34134040969026574/0.24736039194884918/0.41129919836088513/,2/
9,1,186025099/34828571/26748048/,73/67/64/,0.30814668425356806/0.3379451517843197/0.35390816396211217/,1/2/
12,1,176054123/26783546/32079492/,102/67/75/,0.24035054155211144/0.4021416259253248/0.35750783252256374/,1/
17,1,157548793/31957630/34432092/,98/143/158/,0.4586667877121217/0.29113251431923454/0.25020069796864375/,0/
2,2,129267475/20661160/20508461/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
6,2,154672083/26353268/23919636/,62/81/59/,0.3597323300802387/0.2620914688744071/0.37817620104535427/,0/2/
9,2,159936173/27925087/29059840/,81/72/67/,0.2967253578440404/0.3387152998558286/0.364559342300131/,1/2/
13,2,205517586/162271956/66538445/,87/104/95/,0.3653057713945758/0.3011332670829926/0.3335609615224316/,0/2/
18,2,160056517/41941750/38956647/,62/119/96/,0.5031265548844139/0.20358423162435915/0.29328921349122694/,0/
2,0,150179022/35516169/16570669/,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
6,0,139617384/24006977/23886691/,68/62/63/,0.314216387920497/0.3456131124432966/0.34017049963620627/,0/1/2/
9,0,219296487/39415602/37572118/,61/124/217/,0.6931134915386361/0.25090257640619573/0.0559839320551681/,0/
12,0,144414864/34918558/35844511/,61/93/98/,0.4656769904341742/0.2779283114491781/0.2563946981166476/,0/
17,0,279128888/42833153/38073458/,105/140/147/,0.41812270327405077/0.30054162355376585/0.28133567317218333/,0/
2,1,144417630/24912207/16357761/,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
6,1,160459893/28233892/23280688/,60/69/68/,0.3649747680235553/0.3149101118459845/0.3201151201304601/,0/
9,1,181801597/26979506/28133457/,81/63/70/,0.2847125740225555/0.3771828786835455/0.338104547293899/,1/
13,1,180571324/32363678/29869794/,167/104/151/,0.2508326005076317/0.45704679713579766/0.2921206023565706/,1/
18,1,186760970/38312659/47100658/,145/343/140/,0.4382798769123194/0.10761955569006568/0.4541005673976149/,0/2/
2,2,135874727/24318896/20598255/,51/56/50/,0.34171506988574796/0.3098034441152148/0.34848148599903733/,0/2/
6,2,143100821/24189406/23064897/,63/65/55/,0.3206689473096145/0.3094185801241505/0.369912472566235/,2/
10,2,165158221/27514608/28536132/,63/87/61/,0.36875748312515916/0.2503956899643446/0.3808468269104962/,0/2/
14,2,174760775/30948820/32018521/,90/93/87/,0.3332042386108065/0.32203644489442756/0.344759316494766/,0/1/2/
19,2,178611162/24921889/44824350/,128/122/141/,0.339018400480022/0.355965876031773/0.30501572348820505/,0/1/
2,0,190396258/29041804/18454861/,50/53/53/,0.3465308105078227/0.3267345947460887/0.3267345947460887/,0/1/2/
5,0,197246970/28649571/22681263/,62/55/57/,0.3099293815182864/0.3511959992274044/0.3388746192543091/,1/2/
8,0,223816394/26827377/25312099/,196/68/57/,0.047454761538817676/0.43124372620013385/0.5213015122610485/,2/
11,0,167219531/30006816/31269884/,113/93/77/,0.25781198120983057/0.3331659854707537/0.4090220333194156/,2/
15,0,176449587/51854408/48749068/,118/114/80/,0.27403007823409403/0.28790212855952924/0.4380677932063767/,2/
2,1,160334084/23486665/20357926/,51/56/56/,0.3550318723407692/0.3224840638296153/0.3224840638296153/,0/1/2/
5,1,170833102/30607567/32567101/,63/56/60/,0.3140005848777948/0.35502984846306174/0.3309695666591435/,1/2/
7,1,189810943/53034871/37604783/,66/92/57/,0.35630455427672786/0.22758185880660362/0.4161135869166685/,2/
10,1,170457110/37518559/47498509/,54/56/57/,0.3435003665020904/0.33123382378852934/0.3252658097093802/,0/1/2/
14,1,207530645/33354821/45437496/,65/56/81/,0.34172887438332267/0.40017917909199924/0.2580919465246781/,1/
2,2,185855174/29961269/23651745/,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
5,2,163056842/53668960/22308402/,54/55/72/,0.36997715529294734/0.36331108222559805/0.26671176248145456/,0/1/
8,2,142946080/28562315/28450379/,134/62/60/,0.13124414351479827/0.4272576164371582/0.4414982400480436/,1/2/
12,2,167800885/38869389/28298636/,110/101/60/,0.22579804453155292/0.2616955944665921/0.5125063610018549/,2/
16,2,169371294/44355639/22325605/,155/146/60/,0.1448155407228957/0.16783842878755922/0.6873460304895451/,2/
2,0,141213113/24741651/15993926/,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
6,0,134948678/29805892/26120234/,50/141/83/,0.5911927458848025/0.09926850731926712/0.3095387467959304/,0/
10,0,144211231/53714951/42246742/,50/75/72/,0.442062584771913/0.27076611071302353/0.28717130451506345/,0/
14,0,138442059/46430848/39526909/,110/75/72/,0.23265884912209067/0.37578804282917627/0.391553108048733/,1/2/
20,0,139924776/26776474/28344603/,92/923/87/,0.4857805775537112/3.848738388279005E-5/0.514180935062406/,0/2/
2,1,228791256/38093325/39114382/,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
5,1,188681766/37614810/29607425/,90/63/51/,0.20843171760258633/0.3503183327701301/0.4412499496272836/,2/
8,1,189471747/34803760/36115938/,50/54/51/,0.34421646564068303/0.31825067153011033/0.33753286282920664/,0/1/2/
11,1,221455611/39346977/22372010/,60/64/61/,0.34243407187969505/0.32069976624840374/0.33686616187190116/,0/1/2/
15,1,190378682/51383445/30913517/,374/93/89/,0.021085916660843734/0.47858200859133554/0.5003320747478208/,1/2/
2,2,172393443/27653311/22718223/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
6,2,154983876/26876278/26697824/,51/104/65/,0.47062381160818995/0.16983515738543278/0.35954103100637735/,0/
10,2,195545537/42401481/45254014/,59/119/67/,0.44582098902765915/0.16400837630599494/0.39017063466634594/,0/
14,2,194262767/61097071/52480684/,119/108/90/,0.28540429897738656/0.3220754673701239/0.3925202336524896/,2/
20,2,174623646/42833128/35049325/,100/194/108/,0.43138253234767954/0.17008565671971088/0.3985318109326096/,0/2/
2,0,126618817/19978026/16040391/,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
5,0,217374256/29773799/29223616/,53/72/51/,0.3658794760476361/0.253894636332457/0.3802258876199069/,0/2/
7,0,143699088/19625209/25435687/,86/75/51/,0.23833146396913937/0.29447699130635013/0.4671915447245104/,2/
10,0,248782074/30713299/53276659/,74/131/95/,0.44975147821283673/0.21033366685822236/0.3399148549289409/,0/
14,0,170718892/35233048/50809396/,74/86/70/,0.34453624505687325/0.2909598284351099/0.36450392650801683/,0/2/
2,1,115763464/24752324/16694691/,56/50/56/,0.3200156642329245/0.35996867153415113/0.3200156642329245/,1/
