Real_Goal,Time,Cost,Prob,Results
0,214335078,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
0,214763583,53/77/57/,0.3891378709672069/0.2495075712595593/0.3613545577732338/,0/2/
0,208183993,86/53/55/,0.216545681396633/0.3989805368274232/0.3844737817759438/,1/2/
0,229933489,376/53/68/,0.0014347140346558428/0.5681849783706171/0.430380307594727/,1/
0,262200393,93/191/289/,0.6771180779818982/0.2387202775746742/0.08416164444342747/,0/
1,258378438,2147483647/1074/2147483647/,0.0/1.0/0.0/,1/
1,486041219,2147483647/1240035/33206/,0.0/1.6466665994998862E-16/0.9999999999999999/,2/
1,630016494,2147483647/2306247/2147483647/,0.0/1.0/0.0/,1/
1,720883157,2147483647/166859/2147483647/,0.0/1.0/0.0/,1/
1,977722077,108697/102050/798145/,0.4834500279842128/0.5159872492553556/5.627227604314998E-4/,0/1/
2,191118937,56/53/56/,0.32710442071449247/0.34579115857101506/0.32710442071449247/,0/1/2/
2,214581310,60/55/56/,0.31571292754743496/0.3451983080538877/0.3390887643986773/,0/1/2/
2,238712072,66/95/56/,0.35803765844649593/0.2152642282643591/0.426698113289145/,2/
2,292882295,90/89/56/,0.26086262888791817/0.2654795471010529/0.4736578240110289/,2/
2,297123009,77/89/353/,0.5300928639281203/0.45450369905095284/0.015403437020926959/,0/
0,240040969,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,277246234,56/56/289/,0.4958405290850381/0.4958405290850381/0.008318941829923808/,0/1/
0,271253908,56/67/95/,0.4293716316363086/0.35401538123251536/0.21661298713117602/,0/
0,401956726,80/368/627/,0.97112573965339/0.02774069307796598/0.00113356726864405/,0/
0,287855613,80/105/179/,0.49284912872001696/0.361969923804498/0.14518094747548502/,0/
1,195584693,70/53/70/,0.2967354134739606/0.40652917305207875/0.2967354134739606/,1/
1,271107468,212/196/53/,0.046849439784665055/0.06300633943436279/0.8901442207809721/,2/
1,289988866,131/126/87/,0.2697464797841517/0.2855167612992352/0.44473675891661313/,2/
1,312625620,1519/100/102/,3.996004937515715E-7/0.5049501315124206/0.4950494688870856/,1/2/
1,352337044,578/166/186/,0.04301970392337482/0.507108056349809/0.4498722397268162/,1/
2,205666024,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
2,253331214,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
2,240028213,88/55/74/,0.24469466910836446/0.4411111564284989/0.3141941744631367/,1/
2,251130688,82/55/62/,0.24698791054424246/0.4000070801826558/0.35300500927310174/,1/
2,307280854,269/55/72/,0.012440671291130473/0.5681580400777564/0.4194012886311133/,1/
0,255199047,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,229776359,60/56/56/,0.3179253247111386/0.34103733764443067/0.34103733764443067/,0/1/2/
0,254084656,60/56/151/,0.4395019948367849/0.47145218879539647/0.08904581636781855/,0/1/
0,285396582,60/77/93/,0.427542104584855/0.3235534256653961/0.24890446974974892/,0/
0,323828565,146/92/135/,0.25557473508314116/0.4567608881921956/0.2876643767246632/,1/
1,190447006,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
1,236644795,146/51/55/,0.07710494005047837/0.4791867656017773/0.44370829434774434/,1/2/
1,219365043,66/57/62/,0.3087126207132909/0.3605329047567632/0.3307544745299459/,1/2/
1,270765370,363/57/171/,0.004465211459272241/0.8732122395522816/0.1223225489884462/,1/
1,234301679,333/73/120/,0.01910168445470732/0.6411670529691628/0.3397312625761299/,1/
2,191023690,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
2,218144113,100/50/56/,0.16569574359411748/0.44166222519659215/0.39264203120929025/,1/
2,238711716,74/65/65/,0.30374851529952607/0.34812574235023697/0.34812574235023697/,1/2/
2,258465420,66/67/60/,0.3239285174393955/0.31866150407194554/0.3574099784886589/,0/2/
2,282019038,66/76/69/,0.3549167595726795/0.3057077409305788/0.3393754994967416/,0/2/
0,204557876,50/51/56/,0.3484814859990372/0.34171506988574785/0.3098034441152147/,0/1/
0,215538777,50/68/60/,0.3961076421823051/0.27831256636565366/0.32557979145204125/,0/
0,231858390,55/56/58/,0.3412806695122009/0.335240462766058/0.3234788677217412/,0/1/2/
0,254716984,71/101/79/,0.3915304222049867/0.25811276227706126/0.3503568155179521/,0/
0,267867140,89/65/116/,0.3222890409021304/0.46362922516558125/0.21408173393228824/,1/
1,211470958,70/50/70/,0.2873422951834218/0.4253154096331565/0.2873422951834218/,1/
1,355887861,528/60/528/,4.651912423294399E-4/0.9990696175153412/4.651912423294399E-4/,1/
1,311369414,91/68/89/,0.29196891893401233/0.40747545100326077/0.30055563006272695/,1/
1,334169212,133/97/915/,0.409124933360348/0.5907349907965754/1.4007584307671237E-4/,1/
1,322645156,166/136/186/,0.3216494868483543/0.40039057358653507/0.2779599395651106/,1/
2,163462212,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,194782201,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,221496650,131/62/56/,0.12371731667255828/0.4151025402538166/0.4611801430736251/,1/2/
2,244855152,82/71/65/,0.2877573435727743/0.3399451342082543/0.3722975222189714/,1/2/
2,279568920,178/71/65/,0.08620748355377915/0.4361425377132673/0.4776499787329535/,1/2/
0,235131016,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,233997213,56/163/56/,0.4644640784857034/0.07107184302859319/0.4644640784857034/,0/2/
0,263537937,62/71/80/,0.3819191539559229/0.3310772740556767/0.2870035719884003/,0/
0,277635013,77/113/520/,0.6120968094936813/0.3858126904976476/0.002090500008671096/,0/
0,270933393,92/156/4663/,0.6655601653275723/0.33443983467242766/3.001788184005413E-22/,0/
1,235220343,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,291753593,972/50/972/,1.4081113567947132E-8/0.9999999718377728/1.4081113567947132E-8/,1/
1,288917789,128/50/128/,0.15116104425161364/0.6976779114967727/0.15116104425161364/,1/
1,341240839,865/66/219/,6.007920550912085E-6/0.9075027040806933/0.09249128799875568/,1/
1,312826871,27902/66/185/,3.154453480458966E-181/0.855217029076259/0.14478297092374104/,1/
2,200943122,50/56/56/,0.35996867153415113/0.3200156642329245/0.3200156642329245/,0/
2,214604679,62/56/65/,0.32682596461823776/0.36310460791363125/0.31006942746813115/,0/1/
2,259519378,196/56/55/,0.03908618618024708/0.4761672270877917/0.48474658673196125/,1/2/
2,291703555,90/67/90/,0.293904094819159/0.41219181036168207/0.293904094819159/,1/
2,242899913,411/67/65/,0.002676581502092546/0.4911068069192487/0.5062166115786587/,1/2/
0,205839664,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,209444112,54/57/57/,0.34556268949824465/0.32721865525087773/0.32721865525087773/,0/1/2/
0,236848545,54/65/72/,0.3937600275564778/0.3223834438933221/0.2838565285502001/,0/
0,277992592,72/65/84/,0.33948454665286715/0.377469221933875/0.28304623141325774/,1/
0,260517992,77/65/306/,0.4483254356405501/0.5377197799505921/0.013954784408857779/,1/
1,247459285,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
1,267447540,163/57/57/,0.07441741406283787/0.46279129296858107/0.46279129296858107/,1/2/
1,224180953,65/110/110/,0.497167780606547/0.2514161096967265/0.2514161096967265/,0/
1,248513484,126/54/75/,0.13830469960453282/0.5121154707484812/0.349579829646986/,1/
1,244173720,296/54/266/,0.01187983389230628/0.9676227901238758/0.020497375983817925/,1/
2,204742250,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
2,219005708,93/51/50/,0.178502165071952/0.40672209630714085/0.41477573862090716/,1/2/
2,322896246,437/64/56/,6.686088292405182E-4/0.46465888214878964/0.5346725090219698/,2/
2,281757849,103/83/115/,0.3189072525352359/0.4046390981719181/0.276453649292846/,1/
2,364837519,611/95/117/,0.0025729800524645885/0.5556089839869603/0.44181803596057506/,1/
0,229979889,50/56/50/,0.3461393630355498/0.3077212739289003/0.3461393630355498/,0/2/
0,194885463,53/52/53/,0.33123034649646926/0.33753930700706153/0.33123034649646926/,0/1/2/
0,264692330,63/57/62/,0.3198588219714542/0.35471973293124015/0.32542144509730553/,0/1/2/
0,321870126,59/64/64/,0.35210166305292356/0.3239491684735383/0.3239491684735383/,0/1/2/
0,276854298,59/89/74/,0.41922895160969775/0.2542752125904656/0.32649583579983665/,0/
1,211755272,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
1,208819609,107/69/57/,0.18890987500596237/0.3637411409099767/0.4473489840840609/,2/
1,251578791,67/107/257/,0.6186299687502164/0.34352916417699264/0.03784086707279107/,0/
1,358649935,389/108/127/,0.03962870861785067/0.5219310401031094/0.4384402512790399/,1/
1,352147972,94/438/142/,0.6134588159857137/0.016412783299956178/0.3701284007143302/,0/
2,229925394,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
2,209699867,100/65/53/,0.18868665490102765/0.36076828295675273/0.45054506214221957/,2/
2,259841765,64/62/53/,0.3064038733424541/0.317964937186318/0.37563118947122787/,2/
2,298992235,64/70/53/,0.3204333102767451/0.28673632445260955/0.39283036527064535/,2/
2,271468260,128/70/53/,0.12598150956918389/0.368783304478637/0.5052351859521792/,2/
0,195828646,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
0,229965214,68/53/54/,0.27653624205812455/0.3650811525058083/0.3583826054360671/,1/2/
0,233876024,146/81/54/,0.10430822236874064/0.34007574579576566/0.5556160318354937/,2/
0,283627847,69/64/92/,0.3594611303429825/0.38820328265853227/0.25233558699848524/,0/1/
0,246946096,78/74/78/,0.3273556896526912/0.34528862069461747/0.3273556896526912/,0/1/2/
1,218058689,56/53/51/,0.3164239131941947/0.33521600655674466/0.3483600802490606/,0/1/2/
