Real_Goal,Time,Cost,Prob,Results
0,202845632,56/51/50/,0.3098034441152148/0.34171506988574796/0.34848148599903733/,1/2/
0,242700742,68/71/59/,0.32122696703152265/0.30556054298350516/0.3732124899849723/,2/
0,270388736,83/76/96/,0.34015677219958873/0.37252930167939735/0.28731392612101386/,0/1/
0,268872315,83/125/81/,0.3811165903076346/0.22835700543759108/0.3905264042547742/,0/2/
0,342513308,83/279/114/,0.5591701387930729/0.05422382872977679/0.3866060324771503/,0/
1,386511426,56/50/53/,0.3139288571912815/0.3531219446718367/0.3329491981368819/,1/2/
1,451814903,63/59/107/,0.39227309759629597/0.41931605415328693/0.1884108482504172/,0/1/
1,240556046,66/68/68/,0.3399995025320746/0.3300002487339627/0.3300002487339627/,0/1/2/
1,274411621,66/68/68/,0.3399995025320746/0.3300002487339627/0.3300002487339627/,0/1/2/
1,230976084,66/68/68/,0.3399995025320746/0.3300002487339627/0.3300002487339627/,0/1/2/
2,263814691,100/100/100/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,231544035,72/75/74/,0.34098134758636167/0.3272524483059037/0.33176620410773466/,0/1/2/
2,392145894,165/116/98/,0.2170175054030803/0.35599885526409936/0.42698363933282035/,2/
2,371435602,181/198/219/,0.36732460240035897/0.3345677295143761/0.29810766808526495/,0/1/
2,352133464,264/308/193/,0.30873703511878614/0.24608715746732412/0.4451758074138898/,2/
0,194652180,70/70/51/,0.29060743755181756/0.29060743755181756/0.4187851248963649/,2/
0,273873018,54/71/71/,0.4051489474290184/0.2974255262854908/0.2974255262854908/,0/
0,318410012,78/132/101/,0.4440031710115956/0.2241437081811772/0.33185312080722723/,0/
0,327225298,144/154/136/,0.3344772017272645/0.3109325539227721/0.3545902443499636/,0/2/
0,487579758,185/650/351/,0.6703642142528804/0.05502684560445867/0.2746089401426609/,0/
1,380968760,56/56/51/,0.3224840638296153/0.3224840638296153/0.3550318723407692/,0/1/2/
1,204275359,62/51/54/,0.2939543357673862/0.3632033594584271/0.34284230477418676/,1/2/
1,238968863,66/72/92/,0.3856964707483769/0.35265790384317147/0.26164562540845165/,0/1/
1,235447897,72/84/71/,0.34959320308177255/0.29592425755469365/0.3544825393635339/,0/2/
1,238008866,85/97/84/,0.3472016981866269/0.30148775546209067/0.3513105463512825/,0/2/
2,200059509,70/70/51/,0.29060743755181756/0.29060743755181756/0.4187851248963649/,2/
2,222882328,71/71/61/,0.3149580451924479/0.3149580451924479/0.3700839096151041/,2/
2,275493722,80/178/72/,0.42069477755302326/0.10988581963621054/0.4694194028107662/,2/
2,264436207,80/132/164/,0.5317012529623055/0.27980878758025246/0.18848995945744196/,0/
2,311325817,137/171/156/,0.37693118988916546/0.29461983755255433/0.3284489725582802/,0/
0,183286418,50/56/53/,0.3531219446718367/0.3139288571912815/0.3329491981368819/,0/2/
0,213971254,69/59/52/,0.27887616034209/0.33678577941035753/0.3843380602475524/,2/
0,242377609,237/80/60/,0.030941412109019868/0.405802251690951/0.5632563362000292/,2/
0,280179649,81/114/60/,0.33409908721037945/0.1945042494159075/0.47139666337371317/,2/
0,276016417,81/109/60/,0.3286388848733872/0.20766851698844083/0.46369259813817204/,2/
1,180712370,52/70/50/,0.3646157487547968/0.2561857787297573/0.3791984725154459/,0/2/
1,202690184,74/972/56/,0.4217022011199432/6.066846091088958E-8/0.5782977382115959/,2/
1,237017622,96/86/110/,0.33634139898395504/0.37731079632422954/0.2863478046918154/,1/
1,287644456,127/177/92/,0.32883089397120663/0.19207947332108416/0.4790896327077092/,2/
1,300221048,149/117/347/,0.4002765117036254/0.5249704777858063/0.0747530105105684/,1/
2,217872691,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
2,209027702,52/57/50/,0.33937325857894823/0.3076803267222445/0.3529464146988072/,0/2/
2,252062514,58/89/63/,0.3983983442241173/0.23557483668332144/0.36602681909256124/,0/2/
2,245041384,77/85/73/,0.338630391082692/0.30393112483081364/0.35743848408649437/,0/2/
2,279979186,77/110/96/,0.41003143960315275/0.2685821740262245/0.3213863863706228/,0/
0,207304245,56/56/51/,0.3224840638296153/0.3224840638296153/0.3550318723407692/,0/1/2/
0,234270657,56/66/72/,0.38545412217805775/0.3234302825465345/0.29111559527540776/,0/
0,226906957,69/83/55/,0.3264958357998367/0.25427521259046565/0.4192289516096977/,2/
0,234254147,71/91/79/,0.37703062399396603/0.2855875500131778/0.3373818259928561/,0/
0,260400220,71/150/104/,0.508612417167607/0.16977330461414797/0.321614278218245/,0/
1,189541794,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,222583213,57/50/50/,0.3035600586543751/0.3482199706728124/0.3482199706728124/,1/2/
1,234245105,60/55/65/,0.33244932440854374/0.3634977673894738/0.3040529082019822/,0/1/
1,256019091,206/55/67/,0.03597955152857215/0.5334574628957771/0.43056298557565076/,1/
