Real_Goal,Time,Cost,Prob,Results
0,172875934,53/51/51/,0.3248418044242478/0.3375790977878761/0.3375790977878761/,0/1/2/
0,182558738,201/64/63/,0.05511636015730889/0.46875094329398176/0.4761326965487094/,1/2/
0,219238887,105/293/137/,0.5237946218818429/0.08890023259270806/0.3873051455254491/,0/
0,223209861,101/123/114/,0.3722558199354044/0.30003376892737454/0.32771041113722105/,0/
0,252930165,119/367/1181/,0.887507938744084/0.11236480882669994/1.2725242921612074E-4/,0/
1,196225893,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,179639926,289/60/60/,0.011575224543714024/0.49421238772814297/0.49421238772814297/,1/2/
1,203882148,124/110/164/,0.3531260238529572/0.4005950743318071/0.24627890181523565/,1/
1,219470893,93/87/134/,0.37062785091892353/0.39677932911792346/0.23259281996315304/,0/1/
1,241565958,203/102/136/,0.17913186392898744/0.47756712640483107/0.34330100966618154/,1/
2,173892781,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,244224510,65/65/289/,0.49174455640163456/0.49174455640163456/0.016510887196730818/,0/1/
2,344082400,107/212/96/,0.40669608632446175/0.13777087277608788/0.45553304089945035/,2/
2,314301646,718/167/102/,0.0016469665462814328/0.3466964808371993/0.6516565526165192/,2/
2,244735075,16744/3176/133/,1.4577708507218198E-54/1.3728593833559084E-10/0.9999999998627142/,2/
0,190040157,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,199214805,53/56/56/,0.34579115857101506/0.32710442071449247/0.32710442071449247/,0/1/2/
0,229533043,65/93/93/,0.433175995494596/0.28341200225270197/0.28341200225270197/,0/
0,232202177,66/58/69/,0.323035021258926/0.36994485819788847/0.3070201205431855/,1/
0,284704448,124/66/131/,0.2337870580951477/0.5556187372699956/0.21059420463485687/,1/
1,165933288,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,214864079,52/54/56/,0.34598804793399013/0.3331751680519487/0.32083678401406124/,0/1/2/
1,188764344,52/90/93/,0.5129309642711727/0.25042516452200564/0.23664387120682165/,0/
1,189028384,58/74/65/,0.37727332882630377/0.2876612274624383/0.33506544371125785/,0/
1,220041590,113/59/191/,0.2679431547013642/0.6590338169166833/0.07302302838195263/,1/
2,144926093,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,195247263,100/56/56/,0.18769203841858234/0.4061539807907088/0.4061539807907088/,1/2/
2,190325348,65/77/69/,0.3603672614648398/0.30045725582507177/0.33917548271008835/,0/2/
2,226383634,191/277/63/,0.11560798310203636/0.030158144272790365/0.8542338726251733/,2/
2,212495037,938/189/75/,9.571831344410908E-6/0.18242377766000956/0.817566650508646/,2/
0,171400878,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,166897118,100/56/56/,0.18769203841858234/0.4061539807907088/0.4061539807907088/,1/2/
0,235421510,60/56/88/,0.37249901393668344/0.39957833526965786/0.22792265079365875/,0/1/
0,200837050,68/64/361/,0.4820449653112202/0.5126410333937742/0.005314001295005735/,0/1/
0,246505294,68/133/1946/,0.7195093207768353/0.2804906792220767/1.0881119227979493E-12/,0/
1,214629025,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,196693437,70/50/54/,0.2598290813892313/0.3845911793637107/0.35557973924705816/,1/2/
1,201201847,163/70/57/,0.08204119262001687/0.40775632201490486/0.5102024853650783/,2/
1,232152993,77/75/68/,0.31558351632656567/0.3248647250989716/0.3595517585744628/,1/2/
1,219341305,90/67/80/,0.28082846725393174/0.39385362898641935/0.325317903759649/,1/
2,208516119,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,222740875,54/52/54/,0.3291144278487413/0.34177114430251737/0.3291144278487413/,0/1/2/
2,257207197,65/52/55/,0.2868916492795679/0.36664263780176704/0.3464657129186652/,1/2/
2,303606118,90/60/65/,0.24143898508258654/0.39481609337837925/0.36374492153903415/,1/2/
2,383273720,59/57/62/,0.3350448576393077/0.3467996323838812/0.318155509976811/,0/1/2/
0,174657509,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
0,210746882,50/56/51/,0.34848148599903733/0.3098034441152148/0.34171506988574796/,0/2/
0,191391147,56/68/57/,0.35806783937235714/0.2900914296980569/0.3518407309295859/,0/2/
0,187425279,70/55/55/,0.27667715766201717/0.36166142116899147/0.36166142116899147/,1/2/
0,191083842,65/90/66/,0.3745804428071294/0.2564717960528471/0.3689477611400236/,0/2/
1,170717713,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,195639703,70/54/61/,0.28446030941613903/0.38050633441904447/0.3350333561648165/,1/
1,187002795,100/65/52/,0.18487406771909384/0.35782793298725674/0.4572979992936494/,2/
1,174968728,163/90/52/,0.07642634899978738/0.302985821133797/0.6205878298664156/,2/
1,179243395,78/62/63/,0.28105986158351476/0.3623229463665431/0.3566171920499421/,1/2/
2,184842865,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,202544040,70/53/61/,0.2815817916939791/0.3857686266149734/0.3326495816910475/,1/
2,192646935,100/60/80/,0.23177279869163392/0.44652495131371006/0.321702249994656/,1/
2,176959259,163/77/55/,0.07984467299883022/0.37084991743641527/0.5493054095647545/,2/
2,193073980,68/68/64/,0.3264270724033706/0.3264270724033706/0.3471458551932587/,0/1/2/
0,208662931,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
0,194605475,56/52/52/,0.31677794623961325/0.3416110268801933/0.3416110268801933/,0/1/2/
0,213069719,93/74/57/,0.2354145850255265/0.32666473126518836/0.43792068370928516/,2/
0,208177008,69/171/71/,0.4535695315016055/0.10563668667182693/0.44079378182656753/,0/2/
0,285352480,92/517/154/,0.6562643548813607/0.006798290711668515/0.33693735440697076/,0/
1,181444395,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,208247816,70/50/50/,0.25250358864793193/0.37374820567603406/0.37374820567603406/,1/2/
1,200990751,54/53/56/,0.3353081312490595/0.3415753921762628/0.3231164765746777/,0/1/2/
1,212509325,65/81/100/,0.42138089605955775/0.3306673626690899/0.2479517412713523/,0/
1,235832180,68/71/75/,0.3495305343316612/0.3346591873385899/0.31581027832974884/,0/1/2/
2,176133346,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,194176148,52/50/50/,0.3246764268760604/0.33766178656196977/0.33766178656196977/,0/1/2/
2,218592102,59/56/50/,0.30735304670361685/0.3259749720381515/0.3666719812582317/,2/
2,199269816,74/70/57/,0.29308489108674773/0.3140109365146216/0.3929041723986307/,2/
2,197828899,67/59/50/,0.28046970557075107/0.32810328847447157/0.3914270059547774/,2/
0,154072093,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
0,209194717,70/50/52/,0.2561857787297573/0.3791984725154459/0.3646157487547968/,1/2/
0,197692676,100/50/59/,0.16949764437577772/0.4517961967928567/0.3787061588313655/,1/
0,222985417,68/55/57/,0.28749277455080613/0.36261460826853925/0.34989261718065456/,1/2/
0,202523157,62/55/72/,0.3367442426664533/0.3815812176566515/0.2816745396768951/,1/
1,193344095,50/50/53/,0.3398039776495762/0.3398039776495762/0.32039204470084753/,0/1/2/
1,191271449,65/65/59/,0.3220434643963898/0.3220434643963898/0.35591307120722027/,0/1/2/
1,255779241,69/141/107/,0.5158353805152434/0.18442009052977545/0.2997445289549812/,0/
1,255957681,63/70/293/,0.5197804430222532/0.4659281778473997/0.014291379130347061/,0/
1,255542012,126/218/1638/,0.6735742038268046/0.3264212474724845/4.548700711046905E-6/,0/
2,175337920,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,224929221,61/50/50/,0.28723860772370124/0.3563806961381494/0.3563806961381494/,1/2/
2,198568017,52/50/56/,0.33731815359450984/0.3508091162589585/0.3118727301465317/,0/1/
2,203489520,79/59/54/,0.24912754829002834/0.3583826861062319/0.39248976560373966/,1/2/
2,256042814,83/59/68/,0.26484102115311464/0.3950963763047505/0.340062602542135/,1/
0,181422859,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
0,168443889,50/56/51/,0.34848148599903733/0.3098034441152148/0.34171506988574796/,0/2/
0,201538450,56/68/57/,0.35806783937235714/0.2900914296980569/0.3518407309295859/,0/2/
0,197153849,54/54/55/,0.33534737670880865/0.33534737670880865/0.32930524658238286/,0/1/2/
0,256922504,88/54/66/,0.2300238151831939/0.42682097628084636/0.3431552085359597/,1/
1,214541246,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,200531284,52/52/50/,0.3289479341185263/0.3289479341185263/0.34210413176294735/,0/1/2/
1,196742414,59/52/53/,0.3066488733442035/0.3499459904885282/0.34340513616726825/,1/2/
1,208485027,60/57/58/,0.32381643542106936/0.34100629442132824/0.3351772701576024/,0/1/2/
1,207339159,77/57/101/,0.32542716514645137/0.4594206594853997/0.21515217536814898/,1/
2,196018267,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,169213596,70/51/54/,0.26306440063300485/0.37909373140264724/0.35784186796434797/,1/2/
2,180951879,163/59/54/,0.06719837329114142/0.44521536490369007/0.48758626180516856/,1/2/
2,210404523,528/62/66/,3.1622813949511554E-4/0.5157045538124042/0.48397921804810073/,1/2/
2,219520442,98/81/61/,0.24202996226573462/0.3183830055112852/0.4395870322229802/,2/
0,174424365,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,276402674,50/52/53/,0.3443032433613443/0.3310624751311149/0.32463428150754076/,0/1/2/
0,227405940,53/74/55/,0.37857994342316414/0.2566051116929821/0.36481494488385374/,0/2/
0,242144151,86/56/55/,0.22481394946623282/0.38413246521299305/0.39105358532077417/,1/2/
0,218935526,66/106/158/,0.5543962270720313/0.30516869347056363/0.14043507945740508/,0/
1,231234481,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,234729096,56/61/50/,0.32987401207683725/0.2990681830323647/0.37105780489079804/,2/
1,197237558,68/80/56/,0.32846274864384317/0.266106636450975/0.40543061490518184/,2/
1,213304304,93/56/70/,0.22670957907593695/0.433890682205711/0.3393997387183522/,1/
1,195691488,63/56/161/,0.4329270356821988/0.48949596681048385/0.07757699750731736/,1/
2,196702982,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,208151001,52/50/54/,0.33316252455544454/0.3464872837837131/0.3203501916608424/,0/1/2/
2,197721640,59/56/65/,0.33850926767162187/0.35680272912543737/0.30468800320294076/,0/1/
2,202318617,107/56/53/,0.15899094771425035/0.4088268482246208/0.43218220406112895/,1/2/
2,197670627,293/97/53/,0.008074191536205925/0.3043877476544477/0.6875380608093463/,2/
0,163006421,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,199724932,50/61/56/,0.37105780489079804/0.2990681830323647/0.32987401207683725/,0/
0,221066106,50/51/68/,0.37268909519336646/0.365452643329262/0.2618582614773716/,0/1/
0,204112849,50/51/93/,0.41477573862090716/0.40672209630714085/0.178502165071952/,0/1/
0,165921135,55/51/247/,0.47508794633156987/0.5130755031606342/0.011836550507795935/,0/1/
1,177787076,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
1,186132464,56/52/51/,0.3143776772656598/0.3395150017823794/0.3461073209519608/,0/1/2/
1,183269311,68/52/51/,0.2668817961425424/0.3630346037986327/0.3700836000588248/,1/2/
1,207159105,93/60/55/,0.2094784721706937/0.3776269072096887/0.41289462061961757/,1/2/
1,231318851,247/56/61/,0.01796632812371112/0.5125388634275371/0.46949480844875174/,1/2/
2,179719318,50/50/51/,0.33550481664848303/0.33550481664848303/0.32899036670303383/,0/1/2/
2,205308255,54/52/51/,0.322726419887558/0.335380767420158/0.34189281269228405/,0/1/2/
2,193658232,65/55/57/,0.29859006352162487/0.35696689137632204/0.34444304510205304/,1/2/
2,223587678,141/68/104/,0.1788885264295611/0.5152920714638426/0.30581940210659625/,1/
2,226162224,425/141/60/,0.001987850616360483/0.20909562174665997/0.7889165276369796/,2/
0,184598545,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,197253653,50/61/51/,0.3588639608095316/0.2892400895507101/0.35189594963975834/,0/2/
0,201605876,70/120/72/,0.40539737699204287/0.20046555003544372/0.39413707297251344/,0/2/
0,222309078,65/72/166/,0.4726254847703674/0.42506524800045076/0.10230926722918186/,0/
0,196593755,60/158/505/,0.8324621568975629/0.16697271011727996/5.651329851571179E-4/,0/
1,171400781,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,231069036,54/54/61/,0.3471627338076755/0.3471627338076755/0.3056745323846491/,0/1/
1,218004311,65/53/80/,0.33263325150509754/0.4154086599344932/0.2519580885604092/,1/
1,202608053,141/58/201/,0.18367216884612747/0.749894206419184/0.06643362473468839/,1/
1,188635865,425/101/84/,0.009854696350967444/0.44572975342350774/0.5444155502255247/,2/
2,186526845,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
2,186928197,61/51/61/,0.31132829688334085/0.3773434062333182/0.31132829688334085/,1/
2,171337375,52/57/80/,0.4000673715413327/0.3640507711666712/0.2358818572919961/,0/1/
2,212769220,60/72/56/,0.34687846421610413/0.2810262708661578/0.3720952649177382/,0/2/
2,189913614,117/166/62/,0.25950123796406765/0.11922157008998488/0.6212771919459474/,2/
0,184646937,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,188867620,50/54/51/,0.34421646564068303/0.31825067153011033/0.33753286282920664/,0/1/2/
0,185000081,56/65/57/,0.35254108752975183/0.3010488184037137/0.3464100940665345/,0/2/
0,235302224,70/90/72/,0.366739449779843/0.2767076431632015/0.35655290705695547/,0/2/
0,196429965,59/62/60/,0.3407502302489056/0.3241316454181523/0.33511812433294214/,0/1/2/
1,181425604,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
1,210712608,70/56/50/,0.2634313537057762/0.34664549195988276/0.389923154334341/,2/
1,235070067,100/54/53/,0.17446591522829952/0.40894523454557186/0.4165888502261285/,1/2/
1,204263068,289/65/58/,0.010448039682184015/0.4654592441712846/0.5240927161465314/,2/
1,232917551,972/134/83/,1.6398634505186976E-5/0.3527054420094146/0.6472781593560802/,2/
2,180188912,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
2,201444118,53/51/51/,0.3248418044242478/0.3375790977878761/0.3375790977878761/,0/1/2/
2,178937590,61/56/56/,0.3141331700928854/0.3429334149535572/0.3429334149535572/,0/1/2/
2,204868948,120/66/63/,0.17355923186696984/0.4035373042748936/0.42290346385813654/,1/2/
2,183643908,64/88/59/,0.3626836141507145/0.243114096933879/0.3942022889154065/,0/2/
0,185761311,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
0,175431536,51/50/61/,0.3518959496397583/0.35886396080953153/0.28924008955071007/,0/1/
0,205521999,51/56/53/,0.3483600802490606/0.3164239131941947/0.33521600655674466/,0/1/2/
0,191781415,59/70/59/,0.35304618329449067/0.2939076334110187/0.35304618329449067/,0/2/
0,230732206,66/65/72/,0.34148718242653064/0.3467006266985926/0.31181219087487677/,0/1/
1,189517689,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
1,204259567,61/50/51/,0.2892400895507101/0.3588639608095316/0.35189594963975834/,1/2/
1,163428793,53/50/57/,0.33499114084617754/0.3552876047318394/0.309721254421983/,0/1/
1,220030054,56/57/72/,0.3652484119701105/0.3588964271789753/0.2758551608509143/,0/1/
1,248583576,62/71/64/,0.3526552581508745/0.3057090495216882/0.3416356923274373/,0/2/
