Real_Goal,Time,Cost,Prob,Results
0,193230296,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,273607286,163/163/163/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,267653976,63/83/528/,0.5772622874213693/0.4223341114789622/4.036010996684778E-4/,0/
0,284419956,185/298/3221/,0.6473764100107879/0.35262353722369894/5.2765513061120936E-8/,0/
0,328196611,316/2587/30702/,0.9992266752481748/7.733247518252839E-4/2.3464667636363527E-42/,0/
1,234282301,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,237040542,50/61/56/,0.37105780489079804/0.2990681830323647/0.32987401207683725/,0/
1,233786461,57/52/58/,0.324649830643932/0.3567683815112526/0.3185817878448153/,0/1/
1,260299664,95/64/97/,0.27926651406689995/0.4499289360196931/0.27080454991340686/,1/
1,268067857,237/64/242/,0.06156020120868673/0.8814374484786797/0.05700235031263358/,1/
2,206905754,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
2,231970564,65/66/62/,0.32970402354570416/0.3245119423529124/0.3457840341013834/,0/1/2/
2,267792980,206/212/75/,0.13281571420344204/0.12273348200462847/0.7444508037919295/,2/
2,317594041,1920/1946/245/,0.001101549011487489/9.91066467840211E-4/0.9979073845206723/,2/
2,336621444,17046/17176/279/,9.851804670648394E-27/6.1926861309511095E-27/1.0/,2/
0,186422790,50/51/56/,0.3484814859990372/0.34171506988574785/0.3098034441152147/,0/1/
0,215445892,56/60/60/,0.3491058771932084/0.32544706140339585/0.32544706140339585/,0/1/2/
0,230126501,59/69/110/,0.4397737236616438/0.3722604201666766/0.1879658561716796/,0/
0,257201495,78/117/126/,0.4640283225473628/0.28323436626419096/0.2527373111884461/,0/
0,309476608,69/528/558/,0.9976605466485752/0.001416615006624762/9.228383447999846E-4/,0/
1,201396294,70/70/70/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,308843501,113/1779/115/,0.5043857379401538/2.269697613369785E-7/0.4956140350900849/,0/2/
1,346167399,183/52597/176/,0.490114282793143/1.2166078387437828E-129/0.5098857172068569/,0/2/
