Real_Goal,Time,Cost,Prob,Results
0,162584685,1464/79/1464/,3.028842954451129E-8/0.999999939423141/3.028842954451129E-8/,1/
0,225363099,194/85062/114/,0.3327769007447127/1.047E-321/0.6672230992552872/,2/
0,265430413,575/243607585/2099/,0.9337537153795328/0.0/0.06624628462046733/,0/
0,304749895,1365/5854/8834/,0.9600477608044609/0.035900306935379704/0.0040519322601594914/,0/
0,324515029,5258/1780/996026055/,0.12424450634386419/0.8757554936561358/0.0/,1/
1,157263902,72/72/84/,0.35107224879528554/0.35107224879528554/0.29785550240942893/,0/1/2/
1,173760716,80/244/95/,0.5094282488642632/0.06726214911524475/0.423309602020492/,0/2/
1,190302782,80/276/112/,0.5673494805606674/0.05046209171381169/0.38218842772552103/,0/
1,196927376,80/1089/2029/,0.9999961087685948/3.891195913926388E-6/3.5491343782225005E-11/,0/
1,193643898,80/2093/101353/,0.9999999999838943/1.6105635858525155E-11/0.0/,0/
2,147401793,76/72/72/,0.32126995915714623/0.33936502042142686/0.33936502042142686/,0/1/2/
2,178235093,336/72/72/,0.01326090360670691/0.49336954819664647/0.49336954819664647/,1/2/
2,167053964,1992/161/72/,2.917641061091368E-12/0.22808112518284016/0.7719188748142422/,2/
2,158512396,27026/1937/72/,4.407568865145675E-161/8.029127848699965E-12/0.9999999999919709/,2/
2,158077558,669176/52891/72/,0.0/5.849516963E-315/1.0/,2/
0,152677108,84/84/84/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,167700582,88/86/88/,0.3307693441187724/0.33846131176245525/0.3307693441187724/,0/1/2/
0,182649472,92/89/211/,0.43469993243886695/0.44943413599322546/0.11586593156790753/,0/1/
0,187510119,92/89/160/,0.3994176995196404/0.4129560077841893/0.18762629269617032/,0/1/
0,171832924,92/89/4138/,0.4916674381858806/0.5083325618141193/1.4713694630628392E-20/,0/1/
1,148804302,76/76/84/,0.3446708280028714/0.3446708280028714/0.3106583439942573/,0/1/2/
1,176672507,261/79/1464/,0.09321472052167162/0.9067852520132256/2.7465102881354164E-8/,1/
1,183452662,102/79/107/,0.3055764348740281/0.40736107051733844/0.2870624946086333/,1/
1,190085799,102/79/1974/,0.42861601831043056/0.5713839816600861/2.94833970444068E-11/,1/
1,197322673,242/240/325/,0.36805572589000646/0.3711228392632608/0.2608214348467327/,0/1/
2,155558041,72/72/73/,0.33485191252575214/0.33485191252575214/0.3302961749484957/,0/1/2/
2,165896936,125/72/73/,0.19586386598864605/0.4048219148118522/0.3993142191995017/,1/2/
2,201642545,557/98/73/,8.419326335020325E-4/0.4159842616796701/0.5831738056868279/,2/
2,160507360,7525/950/73/,1.8423358683149502E-44/7.12886530300022E-6/0.999992871134697/,2/
2,170327661,191900/27230/73/,0.0/4.166716820804691E-160/1.0/,2/
0,159185486,72/122/122/,0.4979460931250926/0.25102695343745374/0.25102695343745374/,0/
0,274140477,83/368/722/,0.9670156817208411/0.03250381832450425/4.8049995465451756E-4/,0/
0,195562351,83/140/20975/,0.6634197805185791/0.33658021948142086/6.405404492899488E-109/,0/
0,194387239,2212/140/1019817/,4.149798483975691E-7/0.9999995850201516/0.0/,1/
0,282504865,346/18700/164747665/,1.0/1.0683179272588314E-23/0.0/,0/
1,174434453,84/84/242/,0.46385289859015477/0.46385289859015477/0.07229420281969047/,0/1/
1,205568466,2938/101/95/,7.093810095268282E-14/0.48438008427695/0.515619915722979/,1/2/
1,236755193,16455/2782/209/,2.5243500563468212E-34/4.773715019517034E-6/0.9999952262849804/,2/
1,226218131,2629756/380/488/,0.0/0.5703954032223432/0.4296045967776569/,1/
1,235044478,2147483647/519/977/,0.0/0.7069815992441078/0.29301840075589214/,1/
2,157347320,72/84/84/,0.37080530042662035/0.31459734978668985/0.31459734978668985/,0/1/2/
2,198489540,155/75/261/,0.24312683947982633/0.6966024390400948/0.06027072148007886/,1/
2,214702582,481/122/254/,0.03868677108109002/0.716370073640509/0.24494315527840085/,1/
2,195402856,14047/884/153/,6.514185094802886E-40/0.008605139616872856/0.9913948603831271/,2/
2,212938632,668503/49818/153/,0.0/8.710229261505446E-141/1.0/,2/
0,171814379,75/75/75/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,230062507,137/137/137/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
0,301300308,191/2569/2569/,0.9999916418867508/4.1790566245116025E-6/4.1790566245116025E-6/,0/
0,300843969,1737/947/16945/,0.30294070613359625/0.6970592611834528/3.268295088156696E-8/,1/
0,390372085,1956/3014/1992718/,0.6319574252810923/0.3680425747189076/0.0/,0/
1,159157219,96/80/72/,0.2751556005735387/0.342583300102737/0.3822610993237243/,1/2/
1,293145752,83/322/72/,0.4544450564080874/0.01720335487341224/0.5283515887185004/,0/2/
1,189559210,1224/76/122/,2.1610526265660693E-7/0.6450616974739054/0.35493808642083186/,1/
1,180260980,70347/76/627/,0.0/0.9992203177882764/7.79682211723684E-4/,1/
1,182871538,6101335/76/236/,0.0/0.888738729693731/0.11126127030626894/,1/
2,149188638,73/73/72/,0.33180780423065626/0.33180780423065626/0.3363843915386875/,0/1/2/
2,170513891,146/73/83/,0.16598595688347764/0.4451403715796665/0.3888736715368559/,1/2/
2,185264704,93/73/471/,0.4317106949685846/0.5656785288406452/0.002610776190770374/,1/
2,204705237,1654/1413/136/,1.5411495164725532E-5/8.949992236331864E-5/0.9998950885824719/,2/
2,198097847,88650/73/181/,0.0/0.8114499865975923/0.18855001340240776/,1/
0,160350445,96/72/72/,0.2646546851146654/0.36767265744266725/0.36767265744266725/,1/2/
0,172841850,4857/76/76/,5.410417881864927E-28/0.5/0.5/,1/2/
