Real_Goal,Time,Cost,Prob,Results
0,157450806,56/57/57/,0.33724330117950846/0.3313783494102458/0.3313783494102458/,0/1/2/
0,179614434,63/65/57/,0.3251933717656809/0.3141709412998302/0.36063568693448894/,2/
0,293494642,56/65/62/,0.3631046079136312/0.31006942746813104/0.3268259646182377/,0/
0,202905614,69/88/64/,0.3537947213265366/0.2641214854266829/0.38208379324678055/,2/
0,228778905,65/88/208/,0.5493553322210046/0.3877111559785382/0.06293351180045721/,0/
1,161829727,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,203797127,63/67/58/,0.330809168801133/0.3091247971545154/0.36006603404435167/,2/
1,249390096,56/103/86/,0.4928038910921415/0.21605865128758986/0.2911374576202687/,0/
1,300469352,59/164/59/,0.4600294354493428/0.07994112910131429/0.4600294354493428/,0/2/
1,259841529,172/104/324/,0.31785234575307236/0.6074112056771547/0.07473644856977292/,1/
2,262190916,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,185175902,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,233523934,57/255/291/,0.9518271346436413/0.031330445786288394/0.0168424195700703/,0/
2,291360767,427/451/341/,0.31073905381025757/0.2896803478042031/0.3995805983855393/,2/
2,309504811,285/286/621/,0.4337674841723299/0.4322534630797502/0.13397905274791982/,0/1/
0,222549483,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,244846724,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,338267074,156/167/187/,0.36321981200015957/0.3386423377137549/0.2981378502860855/,0/
0,338953484,287/344/110/,0.15326325977566158/0.09171111490787637/0.7550256253164621/,2/
0,403766034,413/552/445/,0.3787276705205651/0.2707155414613084/0.3505567880181265/,0/
1,159232048,57/56/56/,0.32944616355045375/0.3352769182247731/0.3352769182247731/,0/1/2/
1,225042360,60/59/60/,0.3314763662246637/0.3370472675506726/0.3314763662246637/,0/1/2/
1,217115650,60/64/72/,0.3625882229319665/0.3395747324453108/0.29783704462272276/,0/1/
1,205367093,87/68/69/,0.27662011433197414/0.36431083857452107/0.3590690470935047/,1/2/
1,341357676,119/100/67/,0.2236779111098454/0.29578087261900343/0.48054121627115115/,2/
2,171782760,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,184908429,56/80/75/,0.4214275928236318/0.27660634177849397/0.3019660653978742/,0/
2,325433829,64/111/97/,0.4791245903434739/0.232498493541198/0.2883769161153281/,0/
2,234541442,95/83/79/,0.29557491826242016/0.3434090613288931/0.36101602040868674/,1/2/
2,322632538,118/249/232/,0.5826631955791829/0.19378881315868718/0.22354799126212999/,0/
0,150904237,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,258794518,63/69/71/,0.35803702084917455/0.32599641724081274/0.31596656191001277/,0/
0,191171258,100/99/88/,0.3168926052001573/0.32047327472016174/0.36263412007968093/,2/
0,213604309,59/99/113/,0.5208369198453373/0.26740659087280216/0.21175648928186053/,0/
0,223716664,73/99/61/,0.3483083925605774/0.2290026176221081/0.4226889898173145/,2/
1,167519561,58/56/56/,0.3255821859433239/0.337208907028338/0.337208907028338/,0/1/2/
1,183719687,59/56/83/,0.36894966844514704/0.3888881669817562/0.2421621645730968/,0/1/
1,248390523,161/149/79/,0.2020638925896188/0.23476474962958896/0.5631713577807923/,2/
1,224322543,161/188/137/,0.3319777256469981/0.2729846868065448/0.39503758754645707/,2/
1,277829373,214/134/330/,0.3093918550067068/0.5595882275220186/0.1310199174712745/,1/
2,154504809,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,187437346,59/66/56/,0.3403125112054783/0.3009840666139627/0.358703422180559/,0/2/
2,200519174,59/67/60/,0.34981611198859414/0.3061497277837573/0.34403416022764843/,0/2/
2,188455265,79/116/95/,0.4084236294369782/0.257187384859242/0.33438898570377973/,0/
2,193472614,79/85/95/,0.3641031784139663/0.3377943521250802/0.2981024694609534/,0/
0,153566369,57/56/57/,0.3313783494102458/0.33724330117950846/0.3313783494102458/,0/1/2/
0,202274675,66/65/58/,0.31622457679944477/0.32162999461252295/0.3621454285880323/,2/
0,191936794,63/59/56/,0.3121719698655912/0.3348657348605634/0.35296229527384526/,1/2/
0,203115502,79/56/56/,0.2503669924065216/0.3748165037967392/0.3748165037967392/,1/2/
0,196049530,79/94/149/,0.44525755640735865/0.36913147935155244/0.18561096424108892/,0/
1,162661526,56/56/57/,0.3352769182247731/0.3352769182247731/0.32944616355045375/,0/1/2/
1,175012741,61/57/58/,0.32005280001803765/0.3429043342873815/0.337042865694581/,1/2/
1,187407420,61/62/67/,0.34581000795244266/0.3402771668105187/0.31391282523703856/,0/1/
1,204142101,86/93/98/,0.35792892118095515/0.33025816024262955/0.3118129185764153/,0/
1,236174529,112/75/126/,0.28910671801053606/0.4704256822368162/0.24046759975264773/,1/
2,238504197,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,331633902,59/57/58/,0.3276030051188693/0.3390966885556208/0.3333003063255098/,0/1/2/
2,229367713,61/88/69/,0.3958989364019561/0.2561274306504891/0.3479736329475549/,0/
2,198527823,59/108/69/,0.43698960866431646/0.19310667363423845/0.3699037177014451/,0/
2,209174743,98/84/108/,0.3259392860303568/0.3842975057602475/0.2897632082093957/,1/
0,154252051,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,184507413,63/63/63/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,191413644,57/63/63/,0.3567039425310457/0.3216480287344772/0.3216480287344772/,0/
0,204214873,80/103/86/,0.3729385738500174/0.28074958275319795/0.34631184339678467/,0/
0,253603224,80/103/121/,0.42451993263621673/0.3195802266513869/0.2558998407123964/,0/
1,151336852,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,255190565,59/79/63/,0.37706846151394663/0.2701813589046306/0.35275017958142274/,0/
1,258694416,97/57/61/,0.20604797509703424/0.410659417430821/0.3832926074721448/,1/
1,258763184,117/90/116/,0.29793243860210566/0.4008430849624018/0.30122447643549255/,1/
1,261296619,163/250/162/,0.38571911120915153/0.22618812898053917/0.3880927598103093/,0/2/
2,185443051,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,183308988,59/56/59/,0.32743500187684216/0.3451299962463158/0.32743500187684216/,0/1/2/
2,198163462,56/69/82/,0.4115576448623517/0.32762803314800354/0.2608143219896448/,0/
2,233012729,165/130/82/,0.19073731114695616/0.290784921953134/0.5184777668999099/,2/
2,237418400,127/258/163/,0.4729927915118669/0.16997351799964597/0.35703369048848715/,0/
0,177518760,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,195821889,56/56/64/,0.3485470336514755/0.3485470336514755/0.3029059326970491/,0/1/
0,215654923,107/217/68/,0.3375070985990812/0.06853767845109293/0.5939552229498258/,2/
0,228627433,142/256/200/,0.4723290597766106/0.21282561171372716/0.31484532850966235/,0/
0,217356788,142/138/200/,0.3720181965017967/0.3828792812052885/0.2451025222929148/,0/1/
1,152386899,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,187200951,62/58/69/,0.33803523607316177/0.36174760646898807/0.3002171574578502/,1/
1,198528854,98/85/80/,0.29214656898795816/0.34300651874870824/0.36484691226333343/,1/2/
1,196254087,77/85/106/,0.3858000940449755/0.3481924143156592/0.26600749163936527/,0/
1,211790988,159/99/107/,0.2220176477565805/0.40454252999574314/0.37343982224767636/,1/
2,154526718,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
2,191659915,75/58/71/,0.29376462889202154/0.3918638499570314/0.314371521150947/,1/
2,210692298,67/97/87/,0.41867841755951046/0.2693271077502419/0.3119944746902476/,0/
2,207983360,71/170/75/,0.45479371719270884/0.11498985962954267/0.43021642317774855/,0/2/
2,222769234,75/209/162/,0.6712264902791832/0.11511696825124325/0.2136565414695735/,0/
0,148409471,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,179848607,61/74/60/,0.3540334376367207/0.28608146450174576/0.35988509786153355/,0/2/
0,199715993,72/61/56/,0.28273185518231564/0.34291458623222504/0.37435355858545927/,2/
0,212178154,72/140/152/,0.5786362340195926/0.2279593138203231/0.19340445216008434/,0/
0,254783954,186/94/98/,0.16236477771566896/0.4276335216038866/0.4100017006804445/,1/2/
1,180456183,57/56/57/,0.3313783494102458/0.33724330117950846/0.3313783494102458/,0/1/2/
1,185260342,59/62/61/,0.3426481637021205/0.3259370155645946/0.33141482073328504/,0/1/2/
1,202579346,68/78/91/,0.38735423399877966/0.3350943290577684/0.27755143694345186/,0/
1,220658590,65/78/64/,0.35282897840531724/0.2888719351975203/0.35829908639716246/,0/2/
1,233134940,276/61/269/,0.029253639267577167/0.9379962215751517/0.03275013915727105/,1/
2,325737933,57/56/56/,0.32944616355045375/0.3352769182247731/0.3352769182247731/,0/1/2/
2,209692793,76/79/62/,0.3122710834529392/0.2977495271549279/0.38997938939213295/,2/
2,257071514,76/69/74/,0.3190653249211847/0.3526217180692506/0.32831295700956464/,1/
2,223692144,72/73/71/,0.333311900896415/0.3287145687594874/0.3379735303440976/,0/1/2/
2,257724313,250/89/286/,0.13066564162368707/0.7817465594678468/0.08758779890846623/,1/
0,165125262,56/56/56/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
0,184165234,59/62/66/,0.35197496021551405/0.33480893884446516/0.31321610094002084/,0/1/
0,197990803,56/88/66/,0.41502440681542996/0.2367332124791041/0.34824238070546604/,0/
0,201060306,81/73/66/,0.2960554548103131/0.33360236813436317/0.37034217705532363/,2/
0,214371874,205/83/120/,0.12462437285321568/0.5325544513324687/0.34282117581431565/,1/
1,150985851,57/56/56/,0.32944616355045375/0.3352769182247731/0.3352769182247731/,0/1/2/
1,172664228,60/63/59/,0.336923164875445/0.3204912282254287/0.34258560689912637/,0/2/
1,191811004,61/58/67/,0.3383559481343222/0.3560054002495922/0.3056386516160857/,0/1/
1,198955169,61/63/67/,0.34770301358448474/0.33666576456623726/0.315631221849278/,0/1/
