Obs,Real_Goal,STime,Cost,Prob,Results
2,0,217958371/38177934/19743238/,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
5,0,224910105/38022011/16350670/,70/58/93/,0.34450425451922634/0.42220723458978565/0.2332885108909881/,1/
7,0,139522782/35204210/19177384/,78/97/247/,0.5252172824984737/0.4129414103269101/0.06184130717461612/,0/
10,0,142085248/35232226/15374200/,282/414/1408/,0.6075537416070145/0.3810800810205648/0.011366177372420707/,0/
14,0,172724173/41769240/14915027/,2510/241/13413/,8.472347967020036E-5/0.9999152765203297/2.2983820955097058E-24/,1/
1,1,163790069/55680903/16521980/,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
3,1,198896626/32495080/19262084/,54/56/53/,0.3353081312490595/0.3231164765746777/0.3415753921762628/,0/1/2/
5,1,202728959/36649112/21571580/,90/93/57/,0.2691044268139965/0.25553908438790446/0.4753564887980991/,2/
7,1,138264716/37991306/20592481/,62/64/95/,0.3904705506644311/0.3782693546359867/0.23126009469958225/,0/1/
9,1,146026514/37579476/20109547/,115/84/237/,0.37339406987790985/0.5377212116613111/0.08888471846077915/,1/
2,2,133520005/17962715/17368021/,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
5,2,208979933/28339161/28734358/,163/163/54/,0.10803892129683644/0.10803892129683644/0.7839221574063271/,2/
8,2,321365567/73609287/37694109/,972/71/92/,2.1037248611238643E-6/0.5724029072962615/0.4275949889788775/,1/
12,2,132259821/53691224/39559315/,10170/368/744/,2.1364389217913445E-12/0.7347719563694309/0.26522804362843266/,1/
16,2,166802215/55958338/40259207/,89380/3151/6912/,1.0092896190854611E-12/0.7673147963514704/0.2326852036475203/,1/
2,0,131726838/29439778/21283030/,56/51/56/,0.3224840638296153/0.3550318723407692/0.3224840638296153/,0/1/2/
4,0,254546261/35847759/26875260/,100/56/60/,0.19300447722476738/0.41764977031390194/0.38934575246133063/,1/2/
6,0,182854475/50144153/38153399/,56/71/74/,0.40034694400553766/0.3077148789217293/0.29193817707273306/,0/
9,0,175161399/31243543/23883083/,151/66/252/,0.2093125784102108/0.7443307121000596/0.04635670948972961/,1/
12,0,214245120/47803903/30306330/,71/137/1297/,0.714362408943164/0.2856375622928766/2.8763959272033805E-8/,0/
3,1,146054056/27460547/19062997/,51/70/51/,0.371204934820225/0.25759013035955/0.371204934820225/,0/2/
9,1,198897880/52575964/25546195/,505/63/505/,9.99504392366697E-4/0.9980009912152665/9.99504392366697E-4/,1/
15,1,178775150/67556014/36703864/,112/144/136/,0.39031556361465636/0.2940558480680917/0.315628588317252/,0/
21,1,208808822/108297308/57190073/,2020/123/2293/,2.2698376340623094E-7/0.9999997479062513/2.5109985227367916E-8/,1/
30,1,313298013/112995091/59718905/,686/194/2958/,0.07425610548374686/0.9257432479029043/6.466133488265076E-7/,1/
2,2,121146764/22935105/17192280/,56/56/50/,0.32001566423292443/0.32001566423292443/0.3599686715341511/,2/
6,2,143684578/31808430/18448139/,289/110/79/,0.04136598512003226/0.38759420451073473/0.571039810369233/,2/
10,2,142464301/43664282/18895329/,3221/938/87/,3.4132400624064594E-16/6.311717334813817E-5/0.9999368828266516/,2/
14,2,146068185/42760282/19768855/,30702/8872/87/,8.127121992034265E-152/4.4114288409284173E-44/1.0/,2/
19,2,149592490/58691136/17057863/,421249/170/87/,0.0/0.2802580784246349/0.7197419215753652/,2/
1,0,169438932/21467053/13947133/,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
3,0,231742491/28883852/14709293/,54/61/53/,0.34517135767714574/0.3032056696636881/0.35162297265916614/,0/2/
5,0,133165480/30679315/26207197/,90/57/77/,0.24889971712505557/0.4396661065601346/0.3114341763148099/,1/
7,0,203793569/52733738/22935246/,62/95/176/,0.5694786432970957/0.33727943055930093/0.09324192614360334/,0/
9,0,184163027/71719150/24413776/,62/237/528/,0.9409199024517981/0.058503128917681564/5.76968630520363E-4/,0/
1,1,131351615/27306469/15308839/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,1,166160574/30731568/14092412/,61/61/61/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
4,1,172258685/31351411/13312812/,51/54/80/,0.3973821881380628/0.37510508014190647/0.22751273172003075/,0/1/
6,1,171272389/44267707/18772332/,77/59/72/,0.2909714872921499/0.3927704248747976/0.31625808783305254/,1/
8,1,234830440/37560614/13706782/,69/72/151/,0.4409225275875079/0.4224250534391695/0.13665241897332261/,0/1/
2,2,136871534/22986447/16223982/,56/51/56/,0.3224840638296153/0.3550318723407692/0.3224840638296153/,0/1/2/
5,2,139482096/24372531/20695854/,163/93/56/,0.0913261326593284/0.31184527475425394/0.5968285925864176/,2/
7,2,179921928/25124843/20676933/,528/247/56/,2.447190577787379E-4/0.03385816332597713/0.9658971176162442/,2/
10,2,199593819/32688188/17321351/,3221/1408/56/,7.677634833397757E-25/4.998499549362179E-11/0.999999999950015/,2/
